Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Technology Partnerships for Crossing the Language Barrier
Table of Contents
Papers
A Hybrid Approach to Multilingual Text Processing: Information Extraction and Machine Translation	Chinatsu Aone and Hatte Blejer and Mary Ellen Okurowski and Carol Van Ess-Dykema	http://www.mt-archive.info/AMTA-1994-Aone.pdf		Papers	A Hybrid Approach to Multilingual Text Processing: Information Extraction and Machine Translation -- Chinatsu Aone, Hatte Blejer, Mary Ellen Okurowski and Carol Van Ess-Dykema; pp. 1-7 [PDF, 157KB]
Representing Text Meaning for Multilingual Knowledge-Based Machine Translation	Lynn Carlson and Elizabeth Cooper and Ronald Dolan and Steven Maiorano	http://www.mt-archive.info/AMTA-1994-Carlson.pdf		Papers	Representing Text Meaning for Multilingual Knowledge-Based Machine Translation -- Lynn Carlson, Elizabeth Cooper, Ronald Dolan, Steven Maiorano; pp. 8-15 [PDF, 159KB]
Using Partially Aligned Parallel Text and Part-of-speech Information in Word Alignment	Jyun-Sheng Chang and Huey-Chyun Chen	http://www.mt-archive.info/AMTA-1994-Chang.pdf		Papers	Using Partially Aligned Parallel Text and Part-of-speech Information in Word Alignment -- Jyun-Sheng Chang and Huey-Chyun Chen; pp. 16-23 [PDF, 145KB]
Reengineering Linguistic Resources for Machine Translation in Medical Applications	G.Deville and E. Herbigniaux and P. Mousel and G. Thienpont	http://www.mt-archive.info/AMTA-1994-Deville.pdf		Papers	Reengineering Linguistic Resources for Machine Translation in Medical Applications -- G.Deville, E. Herbigniaux, P. Mousel and G. Thienpont; pp.24-31 [PDF, 142KB]
Stylistic Choice in Machine Translation	Chrysanne DiMarco	http://www.mt-archive.info/AMTA-1994-DiMarco.pdf		Papers	Stylistic Choice in Machine Translation -- Chrysanne DiMarco; pp.32-39 [PDF, 132KB]
The Case for a MT Developers' Tool with a Two-Component View of the Interlingua	Bonnie Dorr and Clare Voss	http://www.mt-archive.info/AMTA-1994-Dorr.pdf		Papers	The Case for a MT Developers' Tool with a Two-Component View of the Interlingua -- Bonnie Dorr and Clare Voss; pp. 40-47 [PDF, 143KB]
Korean to English Translation Using Synchronous TAGs	D. Egedi and M. Palmer and H.S. Park and A. Joshi	http://www.mt-archive.info/AMTA-1994-Egedi.pdf		Papers	Korean to English Translation Using Synchronous TAGs -- D. Egedi, M. Palmer, H.S. Park, A. Joshi; pp.48-55 [PDF, 153KB]
PANGLYZER: Spanish Language Analysis System	David Farwell and Steven Helmreich and Wanying Jin and Mark Casper and Jim Hargrave and Hugo Molina-Salgado and Fuliang Weng	http://www.mt-archive.info/AMTA-1994-Farwell.pdf		Papers	PANGLYZER: Spanish Language Analysis System -- David Farwell, Steven Helmreich, Wanying Jin, Mark Casper, Jim Hargrave, Hugo Molina-Salgado, Fuliang Weng; pp. 56-64 [PDF, 143KB]
Error Classification for MT Evaluation	Mary Flanagan	http://www.mt-archive.info/AMTA-1994-Flanagan-1.pdf		Papers	Error Classification for MT Evaluation -- Mary Flanagan; pp. 65-72 [PDF, 119KB]
Integrating Translations from Multiple Sources within the PANGLOSS Mark III Machine Translation System	Robert Frederking and Sergei Nirenburg and David Farwell and Steven Helmreich and Eduard Hovy and Kevin Knight and Stephen Beale and Constantino Domashnev and Donalee Attardo and Dean Grannes and Ralf Brown	http://www.mt-archive.info/AMTA-1994-Frederking.pdf		Papers	Integrating Translations from Multiple Sources within the PANGLOSS Mark III Machine Translation System -- Robert Frederking, Sergei Nirenburg, David Farwell, Steven Helmreich, Eduard Hovy, Kevin Knight, Stephen Beale, Constantino Domashnev, Donalee Attardo, Dean Grannes, Ralf Brown; pp. 73-80 [PDF, 137KB]
Aligning Noisy Parallel Corpora Across Language Groups: Word Pair Feature Matching by Dynamic Time Warping	Pascale Fung and Kathleen McKeown	http://www.mt-archive.info/AMTA-1994-Fung.pdf		Papers	Aligning Noisy Parallel Corpora Across Language Groups: Word Pair Feature Matching by Dynamic Time Warping -- Pascale Fung and Kathleen McKeown; pp. 81-88 [PDF, 217KB]
Complex Verb Transfer Phenomena in the SLT System	Björn Gambäck and Ivan Bretan	http://www.mt-archive.info/AMTA-1994-Gamback.pdf		Papers	Complex Verb Transfer Phenomena in the SLT System -- Björn Gambäck and Ivan Bretan; pp. 89-96 [PDF, 173KB]
The Logos Translatability Index	Claudia Gdaniec	http://www.mt-archive.info/AMTA-1994-Gdaniec.pdf		Papers	The Logos Translatability Index -- Claudia Gdaniec; pp. 97-105 [PDF, 122KB]
An Adaptation of Lexical Conceptual Structures to Multilingual Processing in an Existing Text Understanding System	Bonnie Glover Stalls and Robert Belvin and Alfredo Arnaiz and Christine Montgomery and Robert Stumberger	http://www.mt-archive.info/AMTA-1994-Glover-Stalls.pdf		Papers	An Adaptation of Lexical Conceptual Structures to Multilingual Processing in an Existing Text Understanding System -- Bonnie Glover Stalls, Robert Belvin, Alfredo Arnaiz, Christine Montgomery, Robert Stumberger; pp. 106-113 [PDF, 186KB]
PaTrans - A MT System: Development and Implementation of and Experiences from a MT-system	Viggo Hansen	http://www.mt-archive.info/AMTA-1994-Hansen.pdf		Papers	PaTrans - A MT System: Development and Implementation of and Experiences from a MT-system -- Viggo Hansen; pp. 114-121 [PDF, 128KB]
