Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Expanding MT Horizons
Table of Contents
Papers
An example-based approach to machine translation	Bróna Collins and Pádraig Cunningham and Tony Veale	http://www.mt-archive.info/90/AMTA-1996-Collins.pdf		Papers	An example-based approach to machine translation -- Bróna Collins, Pádraig Cunningham, and Tony Veale; pp.1-13 [PDF, 259KB]
A controlled skip parser	Kenji Yamada	http://www.mt-archive.info/90/AMTA-1996-Yamada.pdf		Papers	A controlled skip parser -- Kenji Yamada; pp.14-23 [PDF, 155KB]
Juggling with words: some insights from the human translation process	Claude Bédard	http://www.mt-archive.info/90/AMTA-1996-Bedard.pdf		Papers	Juggling with words: some insights from the human translation process -- Claude Bédard; pp.24-33 [PDF, 160KB]
Bilingual concordancers:a new tool for bilingual lexicographers	Lucie Langlois	http://www.mt-archive.info/90/AMTA-1996-Langlois.pdf		Papers	Bilingual concordancers:a new tool for bilingual lexicographers -- Lucie Langlois; pp.34-42 [PDF, 143KB]
Translation differences and pragmatics-based MT	Stephen Helmreich and David Farwell	http://www.mt-archive.info/90/AMTA-1996-Helmreich.pdf		Papers	Translation differences and pragmatics-based MT -- Stephen Helmreich and David Farwell; pp.43-55 [PDF, 162KB]
Abstraction and underspecification in semantic transfer	Bernd Abb and Bianka Buschbeck-Wolf and Christel Tschernitschek	http://www.mt-archive.info/90/AMTA-1996-Abb.pdf		Papers	Abstraction and underspecification in semantic transfer -- Bernd Abb, Bianka Buschbeck-Wolf, and Christel Tschernitschek; pp.56-65 [PDF, 186KB]
Lexical knowledge from large corpora and its application to text generation	Isahara Hitoshi and Inui Hiroko and Uchida Yuriko	http://www.mt-archive.info/90/AMTA-1996-Isahara.pdf		Papers	Lexical knowledge from large corpora and its application to text generation -- Isahara Hitoshi, Inui Hiroko, and Uchida Yuriko; pp.66-75 [PDF, 362KB]
Capturing motion verb generalizations in synchronous tree adjoining grammars	Martha Palmer and Joseph Rosenzweig	http://www.mt-archive.info/90/AMTA-1996-Palmer.pdf		Papers	Capturing motion verb generalizations in synchronous tree adjoining grammars -- Martha Palmer and Joseph Rosenzweig; pp.76-85 [PDF, 177KB] 
Evolution of the Logos grammar: system design and development methodology	Patricia Schmid and Claudia Gdaniec	http://www.mt-archive.info/90/AMTA-1996-Schmid.pdf		Papers	Evolution of the Logos grammar: system design and development methodology -- Patricia Schmid and Claudia Gdaniec; pp.86-95 [PDF, 169KB]
Two principles and six techniques for rapid MT development	Sergei Nirenburg and Stephen Beale and Stephen Helmreich and Kavi Mahesh and Evelyne Viegas and Rémi Zajac	http://www.mt-archive.info/90/AMTA-1996-Nirenburg.pdf		Papers	Two principles and six techniques for rapid MT development -- Sergei Nirenburg, Stephen Beale, Stephen Helmreich, Kavi Mahesh, Evelyne Viegas, and Rémi Zajac; pp. 96-105 [PDF, 159KB]
Adaptation of the DARPA machine translation evlauation paradigm to end-to-end systems	John S.White and Theresa A. O'Connell	http://www.mt-archive.info/90/AMTA-1996-White-1.pdf		Papers	Adaptation of the DARPA machine translation evlauation paradigm to end-to-end systems -- John S.White and Theresa A. O'Connell; pp.106-114 [PDF, 141KB]
Combining machine readable lexical resources and bilingual corpora for broad word sense disambiguation	Jason J.S.Chang and Jen-Nan Chen and Huei-Hong Sheng and Sur-Jin Ker	http://www.mt-archive.info/90/AMTA-1996-Chang.pdf		Papers	Combining machine readable lexical resources and bilingual corpora for broad word sense disambiguation -- Jason J.S.Chang, Jen-Nan Chen, Huei-Hong Sheng, and Sur-Jin Ker; pp. 115-124 [PDF, 299KB]
Automatic construction of clean broad-coverage translation lexicons	I. Dan Melamed	http://www.mt-archive.info/90/AMTA-1996-Melamed.pdf		Papers	Automatic construction of clean broad-coverage translation lexicons -- I. Dan Melamed; pp. 125-134 [PDF, 431KB]
Bilingual sentence alignment: balancing robustness and accuracy	Michel Simard and Pierre Plamondon	http://www.mt-archive.info/90/AMTA-1996-Simard.pdf		Papers	Bilingual sentence alignment: balancing robustness and accuracy -- Michel Simard and Pierre Plamondon; pp. 135-144 [PDF, 230KB]
Line 'em up: advances in alignment technology and their impact on translation support tools	Elliott Macklovitch and Marie-Louise Hannan	http://www.mt-archive.info/90/AMTA-1996-Macklovitch.pdf		Papers	Line 'em up: advances in alignment technology and their impact on translation support tools -- Elliott Macklovitch and Marie-Louise Hannan; pp. 145-156 [PDF, 179KB]
Checking translations for inconsistency - a tool for the editor	Magnus Merkel	http://www.mt-archive.info/90/AMTA-1996-Merkel.pdf		Papers	Checking translations for inconsistency - a tool for the editor -- Magnus Merkel; pp. 157-167 [PDF, 38KB]
