Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Machine Translation: from Research to Real Users
5th conference of the Association for Machine Translation in the Americas, AMTA 2000,
Tiburon
Edited by Stephen D. Richardson
Berlin/Heidelberg/New York: Springer Verlag, 2002
ISBN: 3-540-44282-0
(Lecture Notes in Artificial Intelligence; Lecture Notes in Computer Science 2499)
Table of Contents
[For copyright reasons these papers are only available directly from the 
Technical papers
Automatic rule learning for resource-limited MT	Jaime Carbonell and Katharina Probst and Erik Peterson and Christian Monson and Alon Lavie and Ralf Brown and Lori Levin			Technical papers	Jaime Carbonell,Katharina Probst, Erik Peterson, Christian Monson, Alon Lavie, Ralf Brown, and Lori Levin: Automatic rule learning for resource-limited MT; pp. 1-10
Toward a hybrid integarted translation environment	Michael Carl and Andy Way and Reinhard Schäler			Technical papers	Michael Carl,Andy Way, and Reinhard Schäler: Toward a hybrid integarted translation environment ; pp. 11-20
Adaptive bilingual sentence alignment	Thomas C.Chuang and G.N.You and Jason Chang			Technical papers	Thomas C.Chuang, G.N.You, and Jason Chang: Adaptive bilingual sentence alignment ; pp. 21-30
DUSTer: a method for unraveling cross-language divergences for statistical word-level alignment	Bonnie J.Dorr and Lisa Pearl and Rebecca Hwa and Nizar Habash			Technical papers	Bonnie J.Dorr, Lisa Pearl,Rebecca Hwa, and Nizar Habash: DUSTer: a method for unraveling cross-language divergences for statistical word-level alignment; pp. 31-43
Text prediction with fuzzy alignment	George Foster and Philippe Langlais and Guy Lapalme			Technical papers	George Foster,Philippe Langlais,and Guy Lapalme: Text prediction with fuzzy alignment; pp. 44-53
Efficient integration of maximum entropy lexicon models within the training of statistical alignment models	Ismael Garcia Varea and Franz J.Och and Hermann Ney and Francisco Casacuberta			Technical papers	Ismael Garcia Varea, Franz J.Och, Hermann Ney, and Francisco Casacuberta: Efficient integration of maximum entropy lexicon models within the training of statistical alignment models; pp. 54-63
Using word formation rules to extend MT lexicons	Claudia Gdaniec and Esmé Manandise			Technical papers	Claudia Gdaniec and Esmé Manandise: Using word formation rules to extend MT lexicons; pp. 64-73
Example-based machine translation via the Web	Nano Gough and Andy Way and Mary Hearne			Technical papers	Nano Gough,Andy Way, and Mary Hearne: Example-based machine translation via the Web; pp. 74-83
handling translation divergences: combining statistical and symbolic techniques in generation-heavy machine translation	Nizar Habash and Bonnie Dorr			Technical papers	Nizar Habash and Bonnie Dorr: handling translation divergences: combining statistical and symbolic techniques in generation-heavy machine translation; pp. 84-93
Korean-Chinese machine translation based on verb patterns	Changhyun Kim and Munpyo Hong and Yinxia Huang and Young Kil Kim and Sung Il Yang and Young Ae Seo and Sung-Kwon Choi			Technical papers	Changhyun Kim, Munpyo Hong, Yinxia Huang, Young Kil Kim, Sung Il Yang, Young Ae Seo, and Sung-Kwon Choi: Korean-Chinese machine translation based on verb patterns; pp. 94-103
