Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Domain Adaptation in Machine Translation: Findings from the 2012 Johns Hopkins Summer Workshop	Hal Daumé and III and University of Maryland; Marine Carpuat and National Research Council and Canada; Alex Fraser and University of Stuttgart; Chris Quirk	http://www.mt-archive.info/10/AMTA-2012-Daume-abs.pdf		Keynote Presentations	Domain Adaptation in Machine Translation: Findings from the 2012 Johns Hopkins Summer Workshop
Trends in Adoption of MT as a Globalization Technology	Don DePalma and Chief Strategy Officer and Founder	http://www.mt-archive.info/10/AMTA-2012-DePalma-abs.pdf		Keynote Presentations	Trends in Adoption of MT as a Globalization Technology
Language Research at DARPA-Machine Translation and Beyond	Bonnie J. Dorr and Professor and University of Maryland; Program Manager	http://www.mt-archive.info/10/AMTA-2012-Dorr.pdf		Keynote Presentations	Language Research at DARPA-Machine Translation and Beyond
Duolingo: Learn a Language for Free while Helping to Translate the Web	Luis von Ahn and Associate Professor and Carnegie Mellon University; Founder	http://www.mt-archive.info/10/AMTA-2012-VonAhn.pdf		Keynote Presentations	Duolingo: Learn a Language for Free while Helping to Translate the Web
On Marketing and Poetry	Caitilin Walsh and President-Elect	http://www.mt-archive.info/10/AMTA-2012-Walsh-abs.pdf		Keynote Presentations	On Marketing and Poetry
Identifying Infrequent Translations by Aligning Non Parallel Sentences		http://www.mt-archive.info/10/AMTA-2012-Bourdaillet.pdf		Oral Presentations	Identifying Infrequent Translations by Aligning Non Parallel Sentences
Sample Selection for Large-scale MT Discriminative Training		http://www.mt-archive.info/10/AMTA-2012-Cao.pdf		Oral Presentations	Sample Selection for Large-scale MT Discriminative Training
One System, Many Domains: Open-Domain Statistical Machine Translation via Feature Augmentation	Jonathan Clark	http://www.mt-archive.info/10/AMTA-2012-Clark.pdf		Oral Presentations	One System, Many Domains: Open-Domain Statistical Machine Translation via Feature Augmentation
Identification of Fertile Translations in Comparable Corpora: A Morpho-Compositional Approach	Estelle Delpech and Béatrice Daille	http://www.mt-archive.info/10/AMTA-2012-Delpech.pdf		Oral Presentations	Identification of Fertile Translations in Comparable Corpora: A Morpho-Compositional Approach
Challenges in Predicting Machine Translation Utility for Human Post-Editors		http://www.mt-archive.info/10/AMTA-2012-Denkowski.pdf		Oral Presentations	Challenges in Predicting Machine Translation Utility for Human Post-Editors
