Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
AMTA 2012
Proceedings of the Tenth Conference of the
Association for Machine Translation in the Americas
Table of Contents
Keynote Presentations
Domain Adaptation in Machine Translation: Findings from the 2012 Johns Hopkins Summer Workshop	Hal Daumé and III and University of Maryland; Marine Carpuat and National Research Council and Canada; Alex Fraser and University of Stuttgart; Chris Quirk and Microsoft Research	http://www.mt-archive.info/10/AMTA-2012-Daume-abs.pdf		Keynote Presentations	Domain Adaptation in Machine Translation: Findings from the 2012 Johns Hopkins Summer Workshop
Trends in Adoption of MT as a Globalization Technology	Don DePalma and Chief Strategy Officer and Founder and Common Sense Advisory	http://www.mt-archive.info/10/AMTA-2012-DePalma-abs.pdf		Keynote Presentations	Trends in Adoption of MT as a Globalization Technology
Language Research at DARPA-Machine Translation and Beyond	Bonnie J. Dorr and Professor and University of Maryland; Program Manager and DARPA	http://www.mt-archive.info/10/AMTA-2012-Dorr.pdf		Keynote Presentations	Language Research at DARPA-Machine Translation and Beyond
Duolingo: Learn a Language for Free while Helping to Translate the Web	Luis von Ahn and Associate Professor and Carnegie Mellon University; Founder and Duolingo	http://www.mt-archive.info/10/AMTA-2012-VonAhn.pdf		Keynote Presentations	Duolingo: Learn a Language for Free while Helping to Translate the Web
On Marketing and Poetry	Caitilin Walsh and President-Elect and American Translators Association (ATA)	http://www.mt-archive.info/10/AMTA-2012-Walsh-abs.pdf		Keynote Presentations	On Marketing and Poetry
MT Research Papers 
Oral Presentations
Identifying Infrequent Translations by Aligning Non Parallel Sentences	Julien Bourdaillet and Philippe Langlais	http://www.mt-archive.info/10/AMTA-2012-Bourdaillet.pdf		Oral Presentations	Identifying Infrequent Translations by Aligning Non Parallel Sentences
Sample Selection for Large-scale MT Discriminative Training	Yuan Cao and Sanjeev Khudanpur	http://www.mt-archive.info/10/AMTA-2012-Cao.pdf		Oral Presentations	Sample Selection for Large-scale MT Discriminative Training
One System, Many Domains: Open-Domain Statistical Machine Translation via Feature Augmentation	Jonathan Clark and Alon Lavie and Chris Dyer	http://www.mt-archive.info/10/AMTA-2012-Clark.pdf		Oral Presentations	One System, Many Domains: Open-Domain Statistical Machine Translation via Feature Augmentation
Identification of Fertile Translations in Comparable Corpora: A Morpho-Compositional Approach	Estelle Delpech and Béatrice Daille and Emmanuel Morin and Claire Lemaire	http://www.mt-archive.info/10/AMTA-2012-Delpech.pdf		Oral Presentations	Identification of Fertile Translations in Comparable Corpora: A Morpho-Compositional Approach
Challenges in Predicting Machine Translation Utility for Human Post-Editors	Michael Denkowski and Alon Lavie	http://www.mt-archive.info/10/AMTA-2012-Denkowski.pdf		Oral Presentations	Challenges in Predicting Machine Translation Utility for Human Post-Editors
The Impact of Sentence Alignment Errors on Phrase-Based Machine Translation Performance	Cyril Goutte and Marine Carpuat and George Foster	http://www.mt-archive.info/10/AMTA-2012-Goutte.pdf		Oral Presentations	The Impact of Sentence Alignment Errors on Phrase-Based Machine Translation Performance
Pivot Lightly-Supervised Training for Statistical Machine Translation	Matthias Huck and Hermann Ney	http://www.mt-archive.info/10/AMTA-2012-Huck.pdf		Oral Presentations	Pivot Lightly-Supervised Training for Statistical Machine Translation
Interpolated Backoff for Factored Translation Models	Philipp Koehn and Barry Haddow	http://www.mt-archive.info/10/AMTA-2012-Koehn.pdf		Oral Presentations	Interpolated Backoff for Factored Translation Models
Building MT for a Severely Under-Resourced Language: White Hmong	William Lewis and Phong Yang	http://www.mt-archive.info/10/AMTA-2012-Lewis.pdf		Oral Presentations	Building MT for a Severely Under-Resourced Language: White Hmong
	Phrase-level System Combination for Machine Translation Based on Target-to-Target Decoding	http://www.mt-archive.info/10/AMTA-2012-Ma.pdf		Oral Presentations	
Phrase-level System Combination for Machine Translation Based on Target-to-Target Decoding	Wei-Yun Ma and Kathleen McKeown	http://www.mt-archive.info/10/AMTA-2012-Ma.pdf		Oral Presentations	Phrase-level System Combination for Machine Translation Based on Target-to-Target Decoding                 
	Lost and Found in Translation Impact of Machine Translated Results on Translingual Information Retrieval	http://www.mt-archive.info/10/AMTA-2012-Parton.pdf		Oral Presentations	
Lost & Found in Translation: Impact of Machine Translated Results on Translingual Information Retrieval	Kristen Parton and Nizar Habash and Kathleen McKeown	http://www.mt-archive.info/10/AMTA-2012-Parton.pdf		Oral Presentations	Lost & Found in Translation: Impact of Machine Translated Results on Translingual Information Retrieval
A Graph-based Strategy to Streamline Translation Quality Assessments	Daniele Pighin and Lluís Formiga and Lluís Màrquez	http://www.mt-archive.info/10/AMTA-2012-Pighin.pdf		Oral Presentations	A Graph-based Strategy to Streamline Translation Quality Assessments
Machine Translation with Binary Feedback: a Large-Margin Approach	Avneesh Saluja and Ian Lane and Ying Zhang	http://www.mt-archive.info/10/AMTA-2012-Saluja.pdf		Oral Presentations	Machine Translation with Binary Feedback: a Large-Margin Approach
HAL: Challenging Three Key Aspects of IBM-style Statistical Machine Translation	Christer Samuelsson	http://www.mt-archive.info/10/AMTA-2012-Samuelsson.pdf		Oral Presentations	HAL: Challenging Three Key Aspects of IBM-style Statistical Machine Translation
Compact Rule Extraction for Hierarchical Phrase-based Translation	Baskaran Sankaran and Gholamreza Haffari and Anoop Sarkar	http://www.mt-archive.info/10/AMTA-2012-Sankaran.pdf		Oral Presentations	Compact Rule Extraction for Hierarchical Phrase-based Translation
Non-linear n-best List Reranking with Few Features	Artem Sokolov and Guillaume Wisniewski and François Yvon	http://www.mt-archive.info/10/AMTA-2012-Sokolov.pdf		Oral Presentations	Non-linear n-best List Reranking with Few Features
Improved Domain Adaptation for Statistical Machine Translation	Wei Wang and Klaus Macherey and Wolfgang Macherey and Franz Och and Peng Xu	http://www.mt-archive.info/10/AMTA-2012-Wang.pdf		Oral Presentations	Improved Domain Adaptation for Statistical Machine Translation
Poster Presentations 
Detailed Analysis of Different Strategies for Phrase Table Adaptation in SMT	Jan Niehues and Alex Waibel	http://www.mt-archive.info/10/AMTA-2012-Niehues.pdf		Poster Presentations 	Detailed Analysis of Different Strategies for Phrase Table Adaptation in SMT                                                 
Machine Translation of Labeled Discourse Connectives	Thomas Meyer and Andrei Popescu-Belis and Najeh Hajlaoui and Andrea Gesmundo	http://www.mt-archive.info/10/AMTA-2012-Meyer.pdf		Poster Presentations 	Machine Translation of Labeled Discourse Connectives
A General Framework to Weight Heterogeneous Parallel Data for Model Adaptation in Statistical MT	Kashif Shah and Loïc Barrault and Holger Schwenk	http://www.mt-archive.info/10/AMTA-2012-Shah.pdf		Poster Presentations 	A General Framework to Weight Heterogeneous Parallel Data for Model Adaptation in Statistical MT 
Measuring User Productivity in Machine Translation Enhanced Computer Assisted Translation	Marcello Federico and Alessandro Cattelan and Marco Trombetti	http://www.mt-archive.info/10/AMTA-2012-Federico.pdf		Poster Presentations 	Measuring User Productivity in Machine Translation Enhanced Computer Assisted Translation
Hybrid Machine Translation Using Joint, Binarised Feature Vectors	Christian Federmann	http://www.mt-archive.info/10/AMTA-2012-Federmann.pdf		Poster Presentations 	Hybrid Machine Translation Using Joint, Binarised Feature Vectors
