Title	Authors	Pdf	Presentation	Volume_Name	Notes
Machine translation – ten years on: an overview of the conference	Derek Lewis	http://www.mt-archive.info/90/BCS-1994-Lewis-1.pdf			
Some notes on the state of the art: Where are we now in MT: what works and what doesn't?	Yorick Wilks	http://www.mt-archive.info/90/BCS-1994-Wilks.pdf			
The errant avocado returns- A personal Odyssey	Peter Wheeler	http://www.mt-archive.info/90/BCS-1994-Wheeler.pdf			
Research methods and system designs in machine translation: a ten-year review, 1984-1994	John Hutchins	http://www.mt-archive.info/90/BCS-1994-Hutchins.pdf			
The use of approximate string matching techniques in the alignment of sentences in parallel corpora	Anthony M McEnery and Michael P Oakes and Roger G Garside	http://www.mt-archive.info/90/BCS-1994-McEnery.pdf			
A semantic knowledge-based computational dictionary	Mohammed Y Al-Hafez and Alfred D Vella and Douglas Clarke	http://www.mt-archive.info/90/BCS-1994-Al-Hafez.pdf			
Anaphora resolution in a machine translation system	Horacio Saggion and Ariadne Carvalho	http://www.mt-archive.info/90/BCS-1994-Saggion.pdf			
Machine translation, ten years on: Discourse has yet to make a breakthrough	Ruslan Mitkov and Johann Haller	http://www.mt-archive.info/90/BCS-1994-Mitkov.pdf			
Aspects of an empirical approach to language processing	Terence Lewis	http://www.mt-archive.info/90/BCS-1994-Lewis-2.pdf			
The current state of the Commission's Systran MT system	Angeliki Petrits	http://www.mt-archive.info/90/BCS-1994-Petrits.pdf			
STYLUS - the MT product line for Russian: the current state	Svetlana Sokolova	http://www.mt-archive.info/90/BCS-1994-Sokolova.pdf			
Russian – a challenge to METAL?	Iris Höser and Barbara Rüdiger	http://www.mt-archive.info/90/BCS-1994-Hoeser.pdf			
Through the Looking Glass to the PARS land	Michael Blekhman	http://www.mt-archive.info/90/BCS-1994-Blekhman.pdf			
Terminological knowledge in multilingual language processing	Jörg Schütz	http://www.mt-archive.info/90/BCS-1994-Schutz.pdf			
Translation by meaning and style in LOLITA	Richard Morgan and Mark Smith and Sengan Short	http://www.mt-archive.info/90/BCS-1994-Morgan.pdf			
Providing factual information in MAT	Walther v.Hahn and Galja Angelova	http://www.mt-archive.info/90/BCS-1994-Hahn.pdf			
The experimental MT system of the project KIT-FAST	Wilhelm Weisweber	http://www.mt-archive.info/90/BCS-1994-Weisweber.pdf			
On parametering the choice of words in text generation and its usefulness in machine translation	Chadia Moghrabi	http://www.mt-archive.info/90/BCS-1994-Moghrabi.pdf			
Concept-based machine translation and interpretation	Bärbel Ripplinger	http://www.mt-archive.info/90/BCS-1994-Ripplinger.pdf			
The role of semantics in spoken dialogue translation systems	Scott McGlashan	http://www.mt-archive.info/90/BCS-1994-McGlashan.pdf			
Human strategies in translation and interpretation - What MT can learn from translators	Susanne Heizmann	http://www.mt-archive.info/90/BCS-1994-Heizmann.pdf			
Dialogue-Based MT and self-explaining documents as an alternative to MAHT and MT of controlled languages	Christian Boitet	http://www.mt-archive.info/90/BCS-1994-Boitet.pdf			
Natural language analysis and machine translation in pilot-ATC communication	Boh Wasyliw and Douglas Clarke	http://www.mt-archive.info/90/BCS-1994-Wasyliw.pdf			
Test suites: some issues in their use and design	Lorna Balkan	http://www.mt-archive.info/90/BCS-1994-Balkan.pdf			
Machine translation: ten years on: Where are the users?	Ursula Bernhard	http://www.mt-archive.info/90/BCS-1994-Bernhard.pdf			
Machine translation and philosophy of language	Alan Melby	http://www.mt-archive.info/90/BCS-1994-Melby.pdf			
The implications of machine translation	Alfred Vella and Dominic Vella	http://www.mt-archive.info/90/BCS-1994-Vella.pdf			
