Title	Authors	Pdf	Presentation	Volume_Name	Notes
Towards memory and template-based translation synthesis	Christos Malavazos and Stelios Piperidis and George Carayannis	http://www.mt-archive.info/00/BCS-2000-Malavazos.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
Building a lexicon for an English-Basque MT system from heterogeneous wide-coverage dictionaries	Arantxa Diaz de Ilarraza and Aingeru Mayor and Kepa Sarasola	http://www.mt-archive.info/00/BCS-2000-Diaz-1.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
An alignment architecture for translation memory bootstrapping	I oannis Triantafyllou and Iason Demiros and Christos Malavazos and Stelios Piperidis	http://www.mt-archive.info/00/BCS-2000-Triantafyllou.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
Applying machine translation resources for cross-language information access from spoken documents	Gareth Jones	http://www.mt-archive.info/00/BCS-2000-Jones.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
Effectiveness of layering translation rules based on transition networks in machine translation using inductive learning with genetic algorithms	Hiroshi Echizen-ya and Kenji Araki and Yoshio Momouchi and Koji Tochinai	http://www.mt-archive.info/00/BCS-2000-Echizen.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
Machine translation by semantic features	Uzzi Ornan and Israel Gutter	http://www.mt-archive.info/00/BCS-2000-Ornan.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
Learning machine translation strategies using commercial systems: discovering word reordering rules	Mikel L. Forcada	http://www.mt-archive.info/00/BCS-2000-Forcada.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
Machine translation and multilingual communication on the internet	Muhammad Abdus Salam	http://www.mt-archive.info/00/BCS-2000-Salam.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
An automated system for English-Arabic translation of scientific texts (SEATS)	Hoda M. O. Mokhtar and Nevin M. Darwish and Ahmed A. Rafea	http://www.mt-archive.info/00/BCS-2000-Mokhtar.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
An example-based MT system in news items domain from English to Indian languages	Sivaji Bandyopadhyay	http://www.mt-archive.info/00/BCS-2000-Bandyopadhyay.pdf			THEMATIC GROUPING: MACHINE TRANSLATION
EMILLE: building a corpus of South Asian languages	Anthony McEnery and Paul Baker and Rob Gaizauskas and Hamish Cunningham	http://www.mt-archive.info/00/BCS-2000-McEnery.pdf			GROUPING: MULTILINGUAL RESOURCES AND TOOLS
Reusability of wide-coverage linguistic resources in the construction of multilingual technical documentation	Arantxa Diaz de Ilarraza and Aingeru Mayor and Kepa Sarasola	http://www.mt-archive.info/00/BCS-2000-Diaz-2.pdf			GROUPING: MULTILINGUAL RESOURCES AND TOOLS
A part-of-speech tagger for Esperanto oriented to MT	Carlo Minnaja and Laura Paccagnella	http://www.mt-archive.info/00/BCS-2000-Minnaja.pdf			GROUPING: MULTILINGUAL RESOURCES AND TOOLS
From the UNL Hypergraph to GETA’s Multilevel Tree	Etienne Blanc	http://www.mt-archive.info/00/BCS-2000-Blanc.pdf			GROUPING: MULTILINGUAL RESOURCES AND TOOLS
Semi-automatic construction of multilingual lexicons	Lynne Cahill	http://www.mt-archive.info/00/BCS-2000-Cahill.pdf			GROUPING: MULTILINGUAL RESOURCES AND TOOLS
Evaluation of statistical tools for automatic extraction of lexical correspondences between parallel texts	Olivier Kraif	http://www.mt-archive.info/00/BCS-2000-Kraif.pdf			GROUPING: MULTILINGUAL RESOURCES AND TOOLS
Semantic approach to bridging reference resolution	Rafael Muñoz and Maximiliano Saiz-Noeda and Armando Suárez and Manual Palomar	http://www.mt-archive.info/00/BCS-2000-Munoz.pdf			THEMATIC GROUPING: ANAPHORA AND ELLIPSIS RESOLUTION
Evaluation environment for anaphora resolution	Catalina Barbu and Ruslan Mitkov	http://www.mt-archive.info/00/BCS-2000-Barbu.pdf			THEMATIC GROUPING: ANAPHORA AND ELLIPSIS RESOLUTION
NLP system oriented to anaphora resolution	Maximiliano Saiz-Noeda and Manual Palomar and David Farwell	http://www.mt-archive.info/00/BCS-2000-Saiz.pdf			THEMATIC GROUPING: ANAPHORA AND ELLIPSIS RESOLUTION
LINGUA: a robust architecture for text processing and anaphora resolution in Bulgarian	Hristo Tanev and Ruslan Mitkov	http://www.mt-archive.info/00/BCS-2000-Tanev.pdf			THEMATIC GROUPING: ANAPHORA AND ELLIPSIS RESOLUTION
Grammar specification for the recognition of temporal expressions	Estela Saquete and Patricio Martínez-Barco	http://www.mt-archive.info/00/BCS-2000-Saquete.pdf			THEMATIC GROUPING: ANAPHORA AND ELLIPSIS RESOLUTION
VASISTH: an ellipsis resolution algorithm for Indian languages	L. Sobha and B. Patnaik	http://www.mt-archive.info/00/BCS-2000-Sobha.pdf			THEMATIC GROUPING: ANAPHORA AND ELLIPSIS RESOLUTION
Generating personal profiles	Jim Cowie and Sergei Nirenburg and Hugo Molina-Salgado	http://www.mt-archive.info/00/BCS-2000-Cowie.pdf			THEMATIC GROUPING: AUTOMATIC ABSTRACTING AND GENERATION
A corpus-based English language assistant to Japanese software engineers	Masumi Narita	http://www.mt-archive.info/00/BCS-2000-Narita.pdf			THEMATIC GROUPING: AUTOMATIC ABSTRACTING AND GENERATION
Generating from a discourse model	Rodolfo Delmonte and Dario Bianchi and Emanuele Pianta	http://www.mt-archive.info/00/BCS-2000-Delmonte.pdf			THEMATIC GROUPING: AUTOMATIC ABSTRACTING AND GENERATION
