Title	Authors	Pdf	Presentation	Volume_Name	Pages	Abstract	Notes
"Multiple Uses of Machine Translation and Computerised Translation Tools"	"John Hutchins"				13-20	"For many years MT systems
and tools were used principally for the production of good-quality translations:
either MT in combination with controlled (restricted) input and/or with human
post-editing; or computer-based translation tools by translators. Since 1990
the situation has changed. Corporate use of MT with human assistance has
continued to expand (particularly in the area of localisation) and the use of translation
aids has increased (particularly with the coming of translation memories). But
the main change has been the ever expanding use of unrevised MT output, such as
online translation services (Babel Fish, Google, etc.), applications in
information extraction, document retrieval, intelligence analysis, electronic mail,
and much more."	
"French to Arabic Machine TranslationIsomorphic Syntax, Use of Terminal Sequences"	"Mohand Beddar"				38-42	"Languages are different
and each of them requires special processing. A machine translation system should
take into account syntactic and semantic particularities of each language. In
fact, syntactic and semantic models should be defined in both the source and
target languages and a link should be established between both the syntactic
and semantic models. In security protocols, French and Arabic syntax are quite similar.
Structures can be formalized to be isomorphic structures and terminal sequences
link these structures to the semantics of the language, therefore limiting semantic
ambiguities."	
"Remarks about Linguistic Analysis, Normalization and Translation of Spanish ""What to Do in Case of Fire"" Texts"	"Xavier Blanco"				43-48	"We intend to discuss, in a understandable way for no trained linguists, the key
points that can allow us to see the main invariable meaning of a cluster of
texts through the enormous multiplicity of possible paraphrases. As means of
example, we show how to formalize the core messages of a collection of Spanish
“What to Do in Case of Fire” texts. We keep our analysis to the simple phrase
level (i.e. no textual constraints as, for instance, cohesion or thematic progression,
will be discussed). At this level, we discuss mainly the following topics:
semantic labelling of facts; semantic labelling of entities; paradigmatic lexical
functions; syntagmatic lexical functions; grammatical
meanings. We give examples in different European languages concerning the
translation of our “What to Do in Case of Fire” texts. We show that linguistic
formalization can be regarded as sort of an interlingua
particularly well suited for translation of alert texts."	
"Controlled Languages and Machine Translation"	"Krzysztof Bogacki"				49-55	"We will examine
controlled languages in the context of machine translation. First we will
present principles governing the conversion of standard natural language texts
into controlled Polish. We will compare 6 converted texts with their standard
sources and comment on them. Then we will present the results of an experiment
which has turned out to be disappointing in this respect: the number of mistranslations
and various sorts of mistakes was sufficiently big to make us query the reasons
of such a result."	
"Achieving a Better Machine Translation from French to English via a Controlled Language"	"Tessa Cornally"				69-73	"This article discusses
how the use of a controlled language can improve Machine Translation results. More
specifically it is concerned with the sublanguage of oenology and examines the
structures specific to this domain."	
"English/Veneto Resource Poor Machine Translation with STILVEN"	"Rodolfo Delmonte and Antonella Bristot and Sara Tonelli and Emanuele Pianta"				82-89	"The paper reports ongoing
work for the implementation of a system for automatic translation from
English-to-Veneto and viceversa. The system does not
have parallel texts to work on because of the almost inexistence of such manual
translations. The project is called STILVEN and is financed by the Regional
Authorities of Veneto Region in Italy.
After the first year of activities, we managed to produce a prototype which
handles Venetian questions that have a structure very close to English. We will
present problems related to Veneto,
basic ideas, their implementation and results obtained."	
"Syntactic Problems in French-Russian Machine Translation of Periodicals"	"Ekaterina Ershova"				100-103	"French-Russian machine
translation is not a new-found field of study. Nevertheless this is a domain
that is very rich and fruitful in problems which still need to be resolved,
particularly syntactic problems. Moreover, limited to a certain subject field,
i.e. periodicals, MT “of high quality” is certain to be possible."	
"Translating Composite Sentences in Azerbaijani-English MT System"	"Rauf Fatullayev and Sevinc Mammadova and Abulfat Fatullayev"				104-113	"This article is dedicated
to the automation of the translation process of the composite sentences in the Azerbaijani
language in an Azerbaijani-English MT system. First the Azerbaijani composite
sentence is divided into simple sentences and English translation of the
sentence is synthesized by using the translations of the simple sentences."	
"Some Problems in a French-Chinese Machine Translation System"	"Gan Jin"				138-142	"The Chinese language is
very different from European languages with respect to morphology, lexica,
syntax and semantics. This complexity causes many problems in machine
translation systems. ‘Rang' is a Chinese character morphologically simple, but
its usage is very complicated. For a long time, linguists have been interested
in its complexity. With all the efforts, the linguists have not come to agreement
to this day as to the correct grammatical category. Some linguists consider it
as a preposition, others as a verb. In this article, we try to explain the real
usage of ‘Rang' sentence in a French-Chinese machine translation
system for a specific domain where safety is extremely important and we show
our methods of disambiguating verbs with respect to not only Chinese grammar
but also French grammar because the latter is our source language in the translation
system. Our objective is to create a reliable machine translation system."	
"French-Vietnamese Noun phrase Translation"	"Le Thi Sinh"				158-163	"Vietnamese is a noun
classifier language, while this is not the case for French. This is why we
encounter some problems when translating French noun phrases (NPs) into
Vietnamese. This article will suggest a simple algorithm for French-Vietnamese
NP translation after building a Vietnamese classifier-noun combination system
which makes up a considerable knot to be solved in the algorithm. All these are
realized basing on the results from the condensed comparative analyses of NPs
of the two languages under consideration."	
