Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Issues in Designing a Spoken Corpus of Irish	Elaine Uí Dhonnchadha and Alessio Frenda and Brian Vaughan	paper-1-Dhonnchadha.pdf			1	
Learning Morphological Rules for Amharic Verbs Using Inductive Logic Programming	Wondwossen Mulugeta and Michael Gasser	paper-2-Mulugeta.pdf			7	
The Database of Modern Icelandic Inflection	Kristín Bjarnadottir	paper-3-Bjarnadottir.pdf			13	
Natural Language Processing for Amazigh Language: Challenges and Future Directions	Fadoua Ataa Allah and Siham Boulaknadel	paper-4-Allah.pdf			19	
Compiling Apertium morphological dictionaries with HFST and using them in HFST applications	Tommi A. Pirinen and Francis M. Tyers	paper-5-Pirinen.pdf			25	
Automatic structuring and correction suggestion system for Hungarian clinical records	Borbála Siklósi and György Orosz and Attila Novák and Gábor Prószéky	paper-6-Siklósi.pdf			29	
Constraint Grammar based Correction of Grammatical Errors for North Sámi	Linda Wiechetek	paper-7-Wiechetek.pdf			35	
Toward a Rule-Based System for English-Amharic Translation	Michael Gasser	paper-8-Gasser.pdf			41	
Technological Tools for Dictionary and Corpora Building for Minority Languages: Example of the French-based Creoles	Paola Carrion Gonzalez and Emmanuel Cartier	paper-9-Gonzalez.pdf			47	
Describing Morphologically-rich Languages using Metagrammars: a Look at Verbs in Ikota	Denys Duchier and Brunelle Magnana Ekoukou and Yannick Parmentier and Simon Petitjean and Emannuel Schang	paper-10-Duchier.pdf			55	
A Corpus of Santome	Tjerk Hagemeijer and Iris Hendrickx and Abigail Tiny and Haldane Amaro	paper-11-Hagemeijer.pdf			61	
The Tagged Icelandic Corpus (MM)	Sigrún Helgadóttir and Á sta Svavarsdóttir and Eiríkur Rögnvaldsson and Kristín Bjarnadóttir and Hrafn Loftsson	paper-12-Helgadóttir.pdf			67	
Semi-automated extraction of morphological grammars for Nguni with special reference to Southern Ndebele	Laurette Pretorius and Sonja Bosch	paper-13-Pretorius.pdf			73	
Tagging and Verifying an Amharic News Corpus	Björn Gambäck	paper-14-Gambäck.pdf			79	
Resource-Light Bantu Part-of-Speech Tagging	Guy De Pauw and Gilles-Maurice de Schryver and Janneke van de Loo	paper-15-De Pauw.pdf			85	
POS Annotated 50M Corpus of Tajik Language	Gulshan Dovudov and Vít Suchomel and Pavel Šmerk	paper-16-Dovudov.pdf			93	
