Title	Authors	Pdf	Presentation	Notes
Automatic rule learning for resource-limited MT	Jaime Carbonell and Katharina Probst and Erik Peterson and Christian Monson and Alon Lavie and Ralf Brown and Lori Levin			Technical papers
Toward a hybrid integarted translation environment	Michael Carl and Andy Way and Reinhard Schäler			Technical papers
Adaptive bilingual sentence alignment	Thomas C.Chuang and G.N.You and Jason Chang			Technical papers
DUSTer: a method for unraveling cross-language divergences for statistical word-level alignment	Bonnie J.Dorr and Lisa Pearl and Rebecca Hwa and Nizar Habash			Technical papers
Text prediction with fuzzy alignment	George Foster and Philippe Langlais and Guy Lapalme			Technical papers
Efficient integration of maximum entropy lexicon models within the training of statistical alignment models	Ismael Garcia Varea and Franz J.Och and Hermann Ney and Francisco Casacuberta			Technical papers
Using word formation rules to extend MT lexicons	Claudia Gdaniec and Esmé Manandise			Technical papers
Example-based machine translation via the Web	Nano Gough and Andy Way and Mary Hearne			Technical papers
handling translation divergences: combining statistical and symbolic techniques in generation-heavy machine translation	Nizar Habash and Bonnie Dorr			Technical papers
Korean-Chinese machine translation based on verb patterns	Changhyun Kim and Munpyo Hong and Yinxia Huang and Young Kil Kim and Sung Il Yang and Young Ae Seo and Sung-Kwon Choi			Technical papers
Merging example-based and statistical machine translation: an experiment	Philippe Langlais and Michel Simard			Technical papers
Classification approach to word selection in machine translation	Hyo-Kyung Lee			Technical papers
Better contextual translation using machine learning	Arul Menezes			Technical papers
Fast and accurate sentence alignment of bilingual corpora	Robert C. Moore			Technical papers
Deriving semantic knowledge from descriptive texts using an MT system	Eric Nyberg and Teruko Mitamura and Kathryn Baker and David Svoboda and Brian Peterson and Jennifer Williams			Technical papers
using a large monolingual corpus to improve translation accuracy	Radu Soricut and Kevin Knight and daniel Marcu			Technical papers
Semi-automatic compilation of bilingual lexcion entries from cross-lingually relevant news articles on WWW news sites	Takehito Utsuro and Takashi Horiuchi and Yasunobu Chiba and Takeshi Hamamoto			Technical papers
Bootstrapping the lexicon building process for machine translation between 'new' languages	Ruvan Weerasinghe			Technical papers
A report on the experiences of implementing an MT system for use in a commercial environment	Anthony Clarke and Elisabeth Maier and Hans-Udo Stadler			User studies
Getting the message in: a global company's experience with the new generation of low-cost,high-performance machine translation systems	Vernon Morland			User studies
An assessment of machine translation for vehicle assembly process planning at Ford Motor Company	Nestor Rychtyckyj			User studies
Fluent Machines' EliMT system	Eli Abir and Steve Klein and David Miller and Michael Steinbaum			System descriptions
LogoMedia TRANSLATE,Version 2.0	Glenn A. Akers			System descriptions
Natural intelligence in a machine translation system	Howard J.Bender			System descriptions
Translation by the numbers: Language Weaver	Bryce Benjamin and Kevin Knight and Daniel Marcu			System descriptions
A new family of the PARS translation systems	Michael Blekhman and Andrei Kursin and Alia Rakova			System descriptions
MSR-MT: the Microsoft research machine translation system	Willaim B. Dolan and Jessie Pinkham and Stephen D.Richardson			System descriptions
The NESPOLE! speech-to-speech translation system	Alon Lavie and Lori Levin and Robert frederking and Fabio Pianesi			System descriptions
The KANTOO MT sytem: controlled language checker and lexical maintenance tool	Teriuko Mitamura and Eric Nyberg and Kathy Baker and Peter Cramer and Jeongwoo Ko and David Svoboda and Michael Duggan			System descriptions
Approaches to spoken translation	Christine A. Montgomery and Naicong Li			System descriptions
Example-based machine translation	Ralf Brown	http://www.mt-archive.info/00/AMTA-2002-Brown-tutorial.pdf		Tutorials
The state of the art in language modeling	Joshua Goodman	http://www.mt-archive.info/00/AMTA-2002-Goodman-tutorial.pdf		Tutorials
[Conference report in MT News International  no. 31, Winter 2002]		http://www.mt-archive.info/00/MTNI-31.pdf		
