Title	Authors	Pdf	Presentation	Pages	Volume_Name	Notes
Preface		http://www.mt-archive.info/05/AMTA-2006-preface.pdf				
Preface		http://www.mt-archive.info/05/AMTA-2006-preface.pdf				
Conference Organizers		http://www.mt-archive.info/05/AMTA-2006-organizers.pdf				
Program Committee -- Reviewers		http://www.mt-archive.info/05/AMTA-2006-reviewers.pdf				
Guarani: A Case Study in Resource Development for Quick Ramp-Up MT	Ahmed Abdelali and James Cowie and Steve Helmreich and Wanying Jin and Maria Pilar Milagros and Bill Ogden and Mansouri Rad and Ron Zacharski	http://www.mt-archive.info/05/AMTA-2006-Abdelali.pdf		pp. 1-9		
Constraining the Phrase-Based, Joint Probability Statistical Translation Model	Alexandra Birch and Chris Callison-Burch and Miles Osborne	http://www.mt-archive.info/05/AMTA-2006-Birch.pdf		pp. 10-18		
Context-Based Machine Translation	Jaime Carbonell and Steve Klein and David Miller and Mike Steinbaum and Tomer Grassiany and Jochen Frei	http://www.mt-archive.info/05/AMTA-2006-Carbonell.pdf		pp. 19-28		
Integration of POStag-based Source Reordering into SMT Decoding by an Extended Search Graph	Josep M.Crego and José B.Mariño	http://www.mt-archive.info/05/AMTA-2006-Crego.pdf		pp. 29-36		
Better Learning and Decoding for Syntax Based SMT Using PSDIG	Yuan Ding and Martha Palmer	http://www.mt-archive.info/05/AMTA-2006-Ding.pdf		pp.37-45		
The Added Value of Free Online MT Services	Federico Gaspari	http://www.mt-archive.info/05/AMTA-2006-Gaspari.pdf		pp.46-55		
Challenges in Building an Arabic-English GHMT System with SMT Components	Nizar Habash and Bonnie Dorr and Christof Monz	http://www.mt-archive.info/05/AMTA-2006-Habash.pdf		pp. 56-65		
Statistical Syntax-Directed Translation with Extended Domain of Locality	Liang Huang and Kevin Knight and Aravind Joshi	http://www.mt-archive.info/05/AMTA-2006-Huang.pdf		pp. 66-73		
Corpus Variations for Translation Lexicon Induction	Rebecca Hwa and Carol Nichols and Khalil Sima'an	http://www.mt-archive.info/05/AMTA-2006-Hwa.pdf		pp. 74-81		
Toward an Interagency Language Roundtable Based Assessment of Speech-to-Speech Translation Capabilities	Douglas Jones and Timothy Anderson and Sabine Atwell and Brian Delaney and James Dirgin and Michael Emots and Neil Granoein and Martha Herzog and Timothy Hunter and Sargon Jabri and Wade Shen and Jurgen Sottung	http://www.mt-archive.info/05/AMTA-2006-Jones.pdf		pp. 82-89		
Word-Based Alignment, Phrase-Based Translation: What's the Link?	Adam Lopez and Philip Resnik	http://www.mt-archive.info/05/AMTA-2006-Lopez.pdf		pp. 90-99		
Translation of Multiword Expressions Using Parallel Suffix Arrays	Paul McNamee and James Mayfield	http://www.mt-archive.info/05/AMTA-2006-McNamee.pdf		pp. 100-109		
Multi-Engine Machine Translation by Recursive Sentence Decomposition	Bart Mellebeek and Karolina Owczarzak and Josef Van Genabith and Andy Way	http://www.mt-archive.info/05/AMTA-2006-Mellebeek.pdf		pp. 110-118		
Toward Communicating Simple Sentences Using Pictorial Representations	Rada Mihalcea and Ben Leong	http://www.mt-archive.info/05/AMTA-2006-Mihalcea.pdf		pp. 119-127		
Induction of Probabilistic Synchronous Tree-Insertion Grammars for Machine Translation	Rebecca Nesson and Stuart Shieber and Alexander Rush	http://www.mt-archive.info/05/AMTA-2006-Nesson.pdf		pp. 128-137		
Improving Phrase-Based Statistical Machine Translation with Morpho-Syntactic Analysis and Transformation	Thai Phuong Nguyen and Akira Shimazu	http://www.mt-archive.info/05/AMTA-2006-Nguyen.pdf		pp. 138-147		
Wrapper Syntax for Example-based Machine Translation	Karolina Owczarzak and Bart Mellebeek and Declan Groves and Josef Van Genabith and Andy Way	http://www.mt-archive.info/05/AMTA-2006-Owczarzak.pdf		pp. 148-155		
Machine Translation for Languages Lacking Bitext via Multilingual Gloss Transduction	Brock Pytlik and David Yarowsky	http://www.mt-archive.info/05/AMTA-2006-Pytlik.pdf		pp. 156-165		
Direct Application of a Language Learner Test to MT Evaluation	Florence Reeder	http://www.mt-archive.info/05/AMTA-2006-Reeder-1.pdf		pp. 166-175		
Measuring MT Adequacy Using Latent Semantic Analysis	Florence Reeder	http://www.mt-archive.info/05/AMTA-2006-Reeder-2.pdf		pp. 176-184		
Minimally Supervised Morphological Segmentation with Applications to Machine Translation	Jason Riesa and David Yarowsky	http://www.mt-archive.info/05/AMTA-2006-Riesa.pdf		pp. 185-192		
Ambiguity Reduction for Machine Translation: Human-Computer Collaboration	Marcus Sammer and Kobi Reiter and Stephen Soderland and Katrin Kirchhoff and Oren Etzioni	http://www.mt-archive.info/05/AMTA-2006-Sammer.pdf		pp. 193-202		
Novel Probabilistic Finite-State Transducers for Cognate and Transliteration Modeling	Charles Schafer	http://www.mt-archive.info/05/AMTA-2006-Schafer.pdf		pp. 203-212		
Combining Linguistic and Statistical Methods for Bi-directional English Chinese Translation in the Flight Domain	Stephanie Seneff and Chao Wang and John Lee	http://www.mt-archive.info/05/AMTA-2006-Seneff.pdf		pp. 213-222		
A Study of Translation Edit Rate with Targeted Human Annotation	Matthew Snover and Bonnie Dorr and Rich Schwartz and Linnea Micciulla and John Makhoul	http://www.mt-archive.info/05/AMTA-2006-Snover.pdf		pp. 223-231		
Example-Based Machine Translation of the Basque Language	Nicolas Stroppa and Declan Groves and Andy Way and Kepa Sarasola	http://www.mt-archive.info/05/AMTA-2006-Stroppa.pdf		pp. 232-241		
Combining Evaluation Metrics via Loss Functions	Calandra Tate and Clare Voss	http://www.mt-archive.info/05/AMTA-2006-Tate.pdf		pp. 242-250		
Scalable Purely-Discriminative Training for Word and Tree Transducers	Benjamin Wellington and Joseph Turian and Chris Pike and Dan Melamed	http://www.mt-archive.info/05/AMTA-2006-Wellington.pdf		pp. 251-260		
The Potential and Limitations of MT Paradigm	Daniel Marcu and Alan Melby ( August ); expanded version with annotations added after the debate	http://www.mt-archive.info/05/AMTA-2006-Marcu-Melby.pdf			Invited talks	Invited talks
Invited talk	Joseph Olive	http://www.mt-archive.info/05/AMTA-2006-Olive.pdf			Invited talks	Invited talks
Evaluating MT prior to deployment	Donald A. DePalma	http://www.mt-archive.info/05/AMTA-2006-DePalma.pdf			User Track – presentations	User Track – presentations
Expecting the Unexpected: Using MT Operationally	Florence Reeder				User Track – presentations	User Track – presentations
The Added Value of Free Online MT Services	Federico Gaspari	http://www.mt-archive.info/05/AMTA-2006-Gaspari.pdf			User Track – presentations	User Track – presentations
