Title	Authors	Pdf	Presentation	Volume_Name
MT post-editing into the mother tongue of into a foreign language? Spanish-to-English MT translation output post-edited by translation trainees	Pilar Sánchez-Gijón and Olga Torres-Hostench	http://www.mt-archive.info/10/AMTA-2014-W2-Sanchez-Gijon.pdf		
Comparison of post-editing productivity between professional translators and lay users	Nora Aranberri and Gorka Labaka and Arantza Diaz de Ilarraza and Kepa Sarasola	http://www.mt-archive.info/10/AMTA-2014-W2-Aranberri.pdf		
Monolingual post-editing by a domain expert is highly effective for translation triage	Lane Schwartz	http://www.mt-archive.info/10/AMTA-2014-W2-Schwartz.pdf		
Perceived vs. measured performance in the post-editing of suggestions from machine translation and translation memories	Carlos S.C. Teixeira	http://www.mt-archive.info/10/AMTA-2014-W2-Teixeira.pdf		
Perception vs. reality: measuring machine translation post-editing productivity	Federico Gaspari and Antonio Toral and Sudip Kumar Naskar and Declan Groves and Andy Way	http://www.mt-archive.info/10/AMTA-2014-W2-Gaspari.pdf		
Cognitive demand and cognitive effort in post-editing	Isabel Lacruz and Michael Denkowski and Alon Lavie	http://www.mt-archive.info/10/AMTA-2014-W2-Lacruz.pdf		
Vocabulary accuracy of statistical machine translation in the legal context	Jeffrey Killman	http://www.mt-archive.info/10/AMTA-2014-W2-Killman.pdf		
Towards desktop-based CAT tool instrumentation	John Moran and Christian Saam and Dave Lewis	http://www.mt-archive.info/10/AMTA-2014-W2-Moran.pdf		
Translation quality in post-edited versus human-translated segments: a case study	Elaine O’Curran	http://www.mt-archive.info/10/AMTA-2014-W2-OCurran.pdf		
TAUS post-editing course	Attila Görög	http://www.mt-archive.info/10/AMTA-2014-W2-Gorog.pdf		
TAUS post-editing productivity tool	Attila Görög	http://www.mt-archive.info/10/AMTA-2014-W2-Gorog.pdf		
QuEst: A framework for translation quality estimation	Lucia Specia and Kashif Shah	http://www.mt-archive.info/10/AMTA-2014-W2-Specia.pdf		
An open source desktop post-editing tool	Lane Schwartz	http://www.mt-archive.info/10/AMTA-2014-W2-Schwartz-2.pdf		
Real time adaptive machine translation: cdec and TransCenter	Michael Denkowski and Alon Lavie and Isabel Lacruz and Chris Dyer	http://www.mt-archive.info/10/AMTA-2014-W2-Denkowski.pdf		
Post-editing user interface using visualization of a sentence structure	Yudai Kishimoto and Toshiaki Nakazawa and Daisuke Kawahara and Sadao Kurohashi	http://www.mt-archive.info/10/AMTA-2014-W2-Kishimoto.pdf		
Kanjingo: a mobile app for post-editing	Sharon O’Brien and Joss Moorkens and Joris Vreeke	http://www.mt-archive.info/10/AMTA-2014-W2-OBrien.pdf		
