Title	Authors	Pdf	Presentation	Volume_Name	pages	Notes
Keynote Speaker 	Anne de Roek				3	
Challenges in Processing Colloquial Arabic	Alla Rozovskaya and Richard Sproat and Elabbas Benmamoun	http://www.mt-archive.info/05/BCS-2006-Rozovskaya.pdf			4	Challenges to Arabic NLP
Arabic WordNet and the Challenges of Arabic	Sabri Elkateb and William Black Piek Vossen David Farwell and Horacio Rodríguez Adam Pease Musa Alkhalifa Christiane Fellbaum	http://www.mt-archive.info/05/BCS-2006-Elkateb.pdf			15	Challenges to Arabic NLP
Tips and Tricks of the Prague Arabic Dependency Treebank	Otakar Smrž	http://www.mt-archive.info/05/BCS-2006-Smrz.pdf			25	Challenges to Arabic NLP
Diacritization: A Challenge to Arabic Treebank Annotation and Parsing	Mohamed Maamouri Seth Kulick and Ann Bies	http://www.mt-archive.info/05/BCS-2006-Maamouri.pdf			35	Challenges to Arabic NLP
An Ambiguity-Controlled Morphological Analyzer for Modern Standard Arabic Modeling Finite State Networks	Mohammed A. Attia	http://www.mt-archive.info/05/BCS-2006-Attia.pdf			48	Challenges to Arabic NLP
Effective Stemming for Arabic Information Retrieval	Youssef Kadri Jian-Yun Nie	http://www.mt-archive.info/05/BCS-2006-Kadri.pdf			68	Challenges to Arabic NLP
Automatic Transliteration of Proper Nouns from Arabic to English	Mehdi M. Kashani and Fred Popowich Fatiha Sadat	http://www.mt-archive.info/05/BCS-2006-Kashani.pdf			76	Applications and Resources
Standard Arabic Formalization and Linguistic Platform for its Analysis	Slim Mesfar	http://www.mt-archive.info/05/BCS-2006-Mesfar.pdf			84	Applications and Resources
Using Cross-language Information Retrieval for Sentence Alignment	Nasredine Semmar Meriama Laib and Christian Fluhr	http://www.mt-archive.info/05/BCS-2006-Semmar.pdf			95	Applications and Resources
DCU 250 Arabic Dependency Bank: An LFG Gold Standard Resource for the Arabic Penn Treebank	Yafa Al-Raheb and A. Akrout and J. van Genabith	http://www.mt-archive.info/05/BCS-2006-AlRaheb.pdf			250	Applications and Resources
Problems of Arabic Machine Translation: Evaluation of Three Systems	Sattar Izwaini	http://www.mt-archive.info/05/BCS-2006-Izwaini.pdf			118	Machine Translation
Mapping Interlingua Representations to Feature Structures of Arabic Sentences	Khaled Shaalan Azza Abdel Monem Ahmed Rafea Hoda Baraka	http://www.mt-archive.info/05/BCS-2006-Shaalan.pdf			149	Machine Translation
