Title	Authors	Pdf	Presentation	Volume_Name	Notes
An amorphous object must be cut by a blunt tool	Makoto Nagao	http://www.mt-archive.info/05/RANLP-2005-Nagao.pdf			
Extracting translation verb frames	Ondřej Bojar and Jan Hajič	http://www.mt-archive.info/05/RANLP-2005-Bojar.pdf			
BancTrad: a web interface for integrated access to annotated corpora	Carme Colominas	http://www.mt-archive.info/05/RANLP-2005-Colominas.pdf			
An application using example-based machine translation	Natalia Eliţa and Antonina Birladeanu	http://www.mt-archive.info/05/RANLP-2005-Elita.pdf			
Multi-grained alignement of parallel texts with endogenous resources	Emmanuel Giguet	http://www.mt-archive.info/05/RANLP-2005-Giguet.pdf			
Resolving pattern ambiguity for English to Hindi machine translation using WordNet	Niladri Chatterjee and Shailly Goyal and Anjali Naithani	http://www.mt-archive.info/05/RANLP-2005-Chatterjee.pdf			
MetMorpho TM: a linguistically enriched translation memory	Gábor Hodász and Gábor Pohl	http://www.mt-archive.info/05/RANLP-2005-Hodasz.pdf			
A machine translation system into a minority language	Petr Homola and Vladislav Kuboň	http://www.mt-archive.info/05/RANLP-2005-Homola.pdf			
Bike: bilingual keyphrase experiments	David Nadeau and Caroline Barrière and George Foster	http://www.mt-archive.info/05/RANLP-2005-Nadeau.pdf			
Experiments with matching algorithms in example based machine translation	Cristina Vertan and Vanessa Espin Martin	http://www.mt-archive.info/05/RANLP-2005-Vertan.pdf			
Towards a hybrid approach to word-sense disambiguation in machine translation	Márton Miháltz	http://www.mt-archive.info/05/RANLP-2005-Mihaltz.pdf			
