Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Open source machine translation: an opportunity for minor languages	Mikel Forcada	paper-0-Forcada.pdf			1	
Approaching a new language in machine translation	Anna Sågvall Hein and Per Weijnitz	paper-1-Hein.pdf			7	
ENABLER, BLARK, what's next?	Stephen Krauwer	paper-2-Krauwer.pdf			13	
Building NLP Systems for Two Resource-Scarce Indigenous Languages: Mapudungun and Quechua	Christian Monson and Ariadna Font Llitjós and Roberto Aranovich and Lori Levin and Ralf Brown and Eric Peterson and Jaime Carbonell and Alon Lavie	paper-3-Monson.pdf			15	
Statistical Machine Translation with and without a bilingual training corpus	Maja Popović and Hermann Ney	paper-4-Popović.pdf			25	
The BLARK matrix and its relation to the language resources situation for the Celtic languages	Delyth Prys	paper-5-Prys.pdf			31	
Unicode Development for Under-Resourced Languages	Daniel Yacob	paper-6-Yacob.pdf			33	
A Natural Language Generator for Minority Languages	Tod Allman and Stephen Beale	paper-7-Allman.pdf			39	
Machine Translation for Amharic: Where we are	Saba Amsalu and Sisay Fissaha Adafre	paper-8-Amsalu.pdf			47	
Open-source machine translation between small languages: Catalan and Aranese Occitan	Carme Armentano-Oller and Mikel Forcada	paper-9-Armentano-Oller.pdf			51	
Compilation and Structuring of a Spanish-Basque Parallel Corpus	Arantza Casillas and Arantza Díaz de Illarraza and Jon Igartua and R. Martínez and Kepa Sarasola	paper-10-Casillas.pdf			55	
Exploiting Similarity in the MT into a Minority Language	Boštjan Dvořák and Petr Homola and Vladislav Kuboň	paper-11-Dvořák.pdf			59	
Catalan-English Statistical Machine Translation without Parallel Corpus: Bridging through Spanish	Adrià de Gispert and José B. Mariño	paper-12-de Gispert.pdf			65	
SisHiTra: A Spanish-to-Catalan hybrid machine translation system	Jorge González and Antonio L. Lagarda and José R. Navarro and Laura Eliodoro and Adrià Giménez and Francisco Casacuberta and Joan M. de Val and Ferran Fabregat	paper-13-González.pdf			69	
Phrase-based statistical machine translation between Welsh and English	Dafydd Jones and Andreas Eisele	paper-14-Jones.pdf			75	
Bulgarian sense tagged corpus	Svetla Koeva and Svetlozara Lesseva and Maria Todorova	paper-15-Koeva.pdf			79	
Statistical machine translation using the IJS-ELAN Corpus	Mirjam Sepesy Mauèec and Zdravko Kaèiè	paper-16-Mauèec.pdf			87	
Lost in Translation: The Problems of Using Mainstream MT Evaluation Metrics for Sign Language Translation	Sara Morrissey and Andy Way	paper-17-Morrissey.pdf			91	
A Spanish-Basque weather forecast corpus for probabilistic speech translation	Alicia Pérez and Inés Torres and Francisco Casacuberta and Víctor Guijarrubia	paper-18-Pérez.pdf			99	
Machine translation for closely related language pairs	Kevin Scannell	paper-19-Scannell.pdf			103	
Models of Cooperation for the Development of NLP Resources: A Comparison of BLARK and XNLRDF	Oliver Streiter and Mathias Stuflesser and Qiu Lan Weng	paper-20-Streiter.pdf			109	
Developing a Spoken Corpus and a Synthesiser for Irish	John Wogan and Brian Ó Raghallaigh and Áine Ní Bhriain and Eric Zoerner and Harald Berthelsen and Ailbhe Ní Chasaide and Christer Gobl	paper-21-Wogan.pdf			113	
An Attribute-Sample Database System for describing Chuvash affixes	Pavel Zheltov	paper-22-Zheltov.pdf			117	
Author Index	Author Index	index,pdf			121	
