Title	Authors	pages in pdf
Preface	John Hutchins	5--6
Workflow using linguistic technology at the Translation Service of the European Commission	Achim Blatt	7--18
A centralized approach to managing multiple lexical resources	Susan McCormick	19--26 
Using Automated Translation in a Corporate Setting	Lou Cremers	27--28
Workflow, computer aids and organisational issues	Maghi King	29--40
Workflow automation of translation projects	Paul Kaeser	41--44
The PARS MT family: practical usage	Blekhman, Michael S.	45--54 
The MULTIDOC Project: MULTI-lingual product DOCumentation	Jörg Schütz	55--64
Supporting controlled language authoring	van der Eijk, Pim and van Wees, Jacqueline	65--70
The translator’s workbench and beyond: off-line add-ons to on-line tools	Pierre Lewalle	71--72
Multilingual tools at the Xerox Research Centre	Jean-Pierre Chanod	73--84
LCC – Language Consulting Centre	Thorsten Mehnert	85--88
Summary of the concluding session	Dimitrios Theologitis and Bente Maegaard	89--93 
Company information		93
Addresses of speakers, session chairs and organizers		94 
What is the EAMT?		96
