Title	Authors	Pdf
Controlled generation for speech-to-speech MT systems	Arendse Bernth	http://www.mt-archive.info/00/CLT-2003-Bernth.pdf
EasyEnglish: challenges in cross-cultural communication	Robert Betts	http://www.mt-archive.info/00/CLT-2003-Betts.pdf
Data-assisted controlled translation	Michael Carl	http://www.mt-archive.info/00/CLT-2003-Carl-1.pdf
Tuning general translation knowledge to a sublanguage	Michael Carl and Philippe Langlais	http://www.mt-archive.info/00/CLT-2003-Carl-2.pdf
Customizing an MT system for unsupervised automatic email translation	Salvador Climent and Joaquim Moré and Antoni Oliver	http://www.mt-archive.info/00/CLT-2003-Climent.pdf
Adapting finite-state translation to the TransType2 project	Elsa Cubel and Jorge González and Antonio Lagarda and Francisco Casuberta and Alfons Juan and Enrique Vidal	http://www.mt-archive.info/00/CLT-2003-Cubel.pdf
Using monolingual corpora for statistical machine translation: the METIS system	Y. Dologlou and S. Markantonatou and G. Tambouratzis and O. Yannoutsou and A. Fourla and N. Iannou	http://www.mt-archive.info/00/CLT-2003-Dologlou.pdf
Coordination, incorporation and dynamic semantic representation in transfer	Kurt Eberle	http://www.mt-archive.info/00/CLT-2003-Eberle.pdf
Multilingual cataloguing of product information of specific domains: case Mkbeem system	Aarno Lehtola and Jarno Tenni and Tuula Käpylä	http://www.mt-archive.info/00/CLT-2003-Lehtola.pdf
Diagnostics for interactive controlled language checking	Teruko Mitamura and Kathryn Baker and Eric Nyberg and David Svoboda	http://www.mt-archive.info/00/CLT-2003-Mitamura.pdf
Grammatical metaphor, controlled language and machine translation	Margrethe Møller	http://www.mt-archive.info/00/CLT-2003-Moeller.pdf
Controlling controlled English	Sharon O'Brien	http://www.mt-archive.info/00/CLT-2003-Obrien.pdf
Multilingual generation of controlled languages	Richard Power and Donia Scott and Anthony Hartley	http://www.mt-archive.info/00/CLT-2003-Power.pdf
Two in one -- can it work? Readability and translatability by means of controlled language	Ursula Reuther	http://www.mt-archive.info/00/CLT-2003-Reuther.pdf
A specification and validating parser for simplified technical Spanish	Ruiz Cascales, Remedios and F. E. Sutcliffe, Richard	http://www.mt-archive.info/00/CLT-2003-Ruiz.pdf
MT post-editing: how to shed light on the "unknown task". Experiences at SAP.	Falko Schäfer	http://www.mt-archive.info/00/CLT-2003-Schaefer.pdf
ECOLE: a look-ahead editor of controlled language	Ralf Schwitter and Anna Ljungberg and David Hood	http://www.mt-archive.info/00/CLT-2003-Schwitter.pdf
A controlled language at Airbus	Laurent Spaggiari and Florence Beaujard and Emmanuelle Cannesson	http://www.mt-archive.info/00/CLT-2003-Spaggiari.pdf
Mind your language! Controlled language for inference purposes	Jana Sukkarieh	http://www.mt-archive.info/00/CLT-2003-Sukkarieh.pdf
Making term extraction tools usable	Gregor Thurmair	http://www.mt-archive.info/00/CLT-2003-Thurmair.pdf
At last translation automation becomes a reality: an anthology of the translation market	van der Meer, Jaap	http://www.mt-archive.info/00/CLT-2003-VanDerMeer.pdf
Evaluating specifications for controlled Greek	Marina Vassiliou and S. Markantonatou and Y. Maistros and V. Karkaletsis	http://www.mt-archive.info/00/CLT-2003-Vassiliou.pdf
Menu choice translation: a flexible menu-based controlled natural language system	Cristina Vertan and von Hahn, Walter	http://www.mt-archive.info/00/CLT-2003-Vertan.pdf


