Title	Authors	Pdf	Presentation
Frontmatter		http://www.mt-archive.info/EAMT-2009-prelims.pdf	
"The Jungle is Neutral" - Newcomer Languages Face New Media	Ostler, Nicholas	http://www.mt-archive.info/05/EAMT-2009-Ostler.pdf	
Adaptable, Community-Controlled, Language Technologies for Language Maintenance	Levin, Lori	http://www.mt-archive.info/05/EAMT-2009-Levin.pdf	
Character-Based PSMT for Closely Related Languages	Tiedemann, Jörg	http://www.mt-archive.info/05/EAMT-2009-Tiedemann-1.pdf	
TS3: an Improved Version of the Bilingual Concordancer TransSearch	Huet, Stéphane and Bourdaillet, Julien and Langlais, Philippe	http://www.mt-archive.info/05/EAMT-2009-Huet.pdf	
Estimating the Sentence-Level Quality of Machine Translation Systems	Specia, Lucia and Turchi, Marco and Cancedda, Nicola and Cristianini, Nello and Dymetman, Marc	http://www.mt-archive.info/05/EAMT-2009-Specia.pdf	
Evaluation-Guided Pre-Editing of Source Text: Improving MT-Tractability of Light Verb Constructions	Babych, Bogdan and Hartley, Anthony and Sharoff, Serge	http://www.mt-archive.info/05/EAMT-2009-Babych.pdf	
Learning Labelled Dependencies in Machine Translation Evaluation	He, Yifan and Way, Andy	http://www.mt-archive.info/05/EAMT-2009-He.pdf	
Improving a Catalan-Spanish Statistical Translation System using Morphosyntactic Knowledge	Farrús, Mireia and Costa-jussà, Marta R. and Poch, Marc and Hernández, Adolfo and Mariño, José B.	http://www.mt-archive.info/05/EAMT-2009-Farrus.pdf	
Use of Rich Linguistic Information to Translate Prepositions and Grammar Cases to Basque	Agirre, Eneko and Atutxa, Aitziber and Labaka, Gorka and Lersundi, Mikel and Mayor, Aingeru and Sarasola, Kepa	http://www.mt-archive.info/05/EAMT-2009-Agirre.pdf	
Gappy Translation Units under Left-to-Right SMT Decoding	Crego, Josep M. and Yvon, François	http://www.mt-archive.info/05/EAMT-2009-Crego.pdf	
Relevance of Different Segmentation Options on Spanish-Basque SMT	Díaz de Ilarraza, Arantza and Labaka, Gorka and Sarasola, Kepa	http://www.mt-archive.info/05/EAMT-2009-Diaz.pdf	
English-Latvian Toponym Processing: Translation Strategies and Linguistic Patterns	Gornostay, Tatiana and Skadiņa, Inguna	http://www.mt-archive.info/05/EAMT-2009-Gornostay.pdf	
An Environment for Named Entity Recognition and Translation	Graliński, Filip and Jassem, Krzysztof and Marcińczuk, Michał	http://www.mt-archive.info/05/EAMT-2009-Gralinski.pdf	
Optimal Bilingual Data for French-English PB-SMT	Ozdowska, Sylwia and Way, Andy	http://www.mt-archive.info/05/EAMT-2009-Ozdowska.pdf	
Word- and Sentence-Level Confidence Measures for Machine Translation	Raybaud, Sylvain and Lavecchia, Caroline and Langlois, David and Smaïli, Kamel	http://www.mt-archive.info/05/EAMT-2009-Raybaud.pdf	
Translating Questions for Cross-Lingual QA	Tiedemann, Jörg	http://www.mt-archive.info/05/EAMT-2009-Tiedemann-2.pdf	
Developing Prototypes for Machine Translation between Two Sami Languages	Tyers, Francis M. and Wiechetek, Linda and Trosterud, Trond	http://www.mt-archive.info/05/EAMT-2009-Tyers-1.pdf	
Collocations in a Rule-Based MT System: A Case Study Evaluation of their Translation Adequacy	Wehrli, Eric and Seretan, Violeta and Nerima, Luka and Russo, Lorenza	http://www.mt-archive.info/05/EAMT-2009-Wehrli.pdf	
Automatic Translation of Norwegian Noun Compounds	Bungum, Lars and Oepen, Stephan	http://www.mt-archive.info/05/EAMT-2009-Bungum.pdf	
Marker-Based Filtering of Bilingual Phrase Pairs for SMT	Sánchez-Martínez, Felipe and Way, Andy	http://www.mt-archive.info/05/EAMT-2009-Sanchez-Martinez.pdf	
Tree-Based Target Language Modeling	Vandeghinste, Vincent	http://www.mt-archive.info/05/EAMT-2009-Vandeghinste.pdf	
Language Model Adaptation for Difficult to Translate Phrases	Mohit, Behrang and Liberato, Frank and Hwa, Rebecca	http://www.mt-archive.info/05/EAMT-2009-Mohit.pdf	
A Phrase-Based Hidden Semi-Markov Approach to Machine Translation	Andrés-Ferrer, Jesús and Juan, Alfons	http://www.mt-archive.info/05/EAMT-2009-Andres-Ferrer.pdf	
Building Strong Multilingual Aligned Corpora	Zadeh, Reza Bosagh	http://www.mt-archive.info/05/EAMT-2009-Bosagh-Zadeh.pdf	
A Constraint Satisfaction Approach to Machine Translation	Canisius, Sander and van den Bosch, Antal	http://www.mt-archive.info/05/EAMT-2009-Canisius.pdf	
Introducing the Autshumato Integrated Translation Environment	Groenewald, Hendrik J. and Fourie, Wildrich	http://www.mt-archive.info/05/EAMT-2009-Groenewald.pdf	
A New Subtree-Transfer Approach to Syntax-Based Reordering for Statistical Machine Translation	Khalilov, Maxim and Fonollosa, José A. R. and Dras, Mark	http://www.mt-archive.info/05/EAMT-2009-Khalilov.pdf	
On Extracting Multiword NP Terminology for MT	Sheremetyeva, Svetlana	http://www.mt-archive.info/05/EAMT-2009-Sheremetyeva.pdf	
Rule-Based Augmentation of Training Data in Breton-French Statistical Machine Translation	Tyers, Francis M.	http://www.mt-archive.info/05/EAMT-2009-Tyers-2.pdf	
Can Semantic Role Labeling Improve SMT?	Wu, Dekai and Fung, Pascale	http://www.mt-archive.info/05/EAMT-2009-Wu.pdf	
Are Unaligned Words Important for Machine Translation?	Zhang, Yuqi and Matusov, Evgeny and Ney, Hermann	http://www.mt-archive.info/05/EAMT-2009-Zhang.pdf	
Using Supertags as Source Language Context in SMT	Haque, Rejwanul and Naskar, Sudip Kumar and Ma, Yanjun and Way, Andy	http://www.mt-archive.info/05/EAMT-2009-Haque.pdf	
On LM Heuristics for the Cube Growing Algorithm	Vilar, David and Ney, Hermann	http://www.mt-archive.info/05/EAMT-2009-Vilar.pdf	
Tuning Syntactically Enhanced Word Alignment for Statistical Machine Translation	Ma, Yanjun and Lambert, Patrik and Way, Andy	http://www.mt-archive.info/05/EAMT-2009-Ma.pdf	
