Title	Authors	Pdf	Presentation	Volume_Name	Notes
Frontmatter	Way, Andy	/Users/post/Dropbox/Anthology/ingests/2020/2020-10-27-eamt/2011/consolidated.pdf
A Tale of Two Technologies	Hollowood, Fred	http://www.mt-archive.info/10/EAMT-2011-Hollowood-abs.pdf			Invited talk
Tapta: A user-driven translation system for patent documents based on domain-aware Statistical Machine Translation	Pouliquen, Bruno and Mazenc, Christophe and Iorio, Aldo	http://www.mt-archive.info/10/EAMT-2011-Pouliquen.pdf	http://www.mt-archive.info/10/EAMT-2011-Pouliquen-ppt.pdf		Users Papers
Statistical Machine Translation	Pouliquen, Bruno and Mazenc, Christophe and Iorio, Aldo	http://www.mt-archive.info/10/EAMT-2011-Pouliquen.pdf	http://www.mt-archive.info/10/EAMT-2011-Pouliquen-ppt.pdf		Users Papers
A Comparative Evaluation of Research vs. Online MT Systems	Toral, Antonio and Gaspari, Federico and Naskar, Sudip Kumar and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Toral-1.pdf	http://www.mt-archive.info/10/EAMT-2011-Toral-1-ppt.pdf		Users Papers
Experiments on Domain Adaptation for Patent Machine Translation in the PLuTO project	Ceauşu, Alexandru and Tinsley, John and Zhang, Jian and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Ceausu.pdf	http://www.mt-archive.info/10/EAMT-2011-Ceausu-ppt.pdf		Users Papers
Bologna Translation Service: Online translation of course syllabi and study programmes in English	Depraetere, Heidi and Van Den Bogaert, Joachim and Van De Walle, Joeri	http://www.mt-archive.info/10/EAMT-2011-Depraetere.pdf			Users Papers
Evaluation of SMT in localization to under-resourced inflected language	Skadiņš, Raivis and Puriņš, Maris and Skadiņa, Inguna and Vasiļjevs, Andrejs	http://www.mt-archive.info/10/EAMT-2011-Skadins.pdf	http://www.mt-archive.info/10/EAMT-2011-Skadins-ppt.pdf		Users Papers
An innovative platform to allow translation of Internet sites	Hoffenberg, Théo and Brun-Franc, Christophe	http://www.mt-archive.info/10/EAMT-2011-Hoffenberg.pdf			Users Papers
The Integration of Moses into Localization Industry	Hudik, Tomáš and Ruopp, Achim	http://www.mt-archive.info/10/EAMT-2011-Hudik.pdf			Users Papers
SMT-CAT integration in a Technical Domain: Handling XML Markup Using Pre & Post-processing Methods	Tezcan, Arda and Vandeghinste, Vincent	http://www.mt-archive.info/10/EAMT-2011-Tezcan.pdf			Users Papers
