Title	Authors	Pdf	Presentation	Volume_Name	pages in pdf
Frontmatter					1-23
The Unavoidable Adoption of Machine Translation	DePalma, Donald A.	http://www.mt-archive.info/10/EAMT-2012-DePalma.pdf		
From Subtitles to Parallel Corpora	Fishel, M. and Georgakopoulou, Y. and Penkale, S. and Petukhova, V. and Rojc, M. and Volk, M. and Way, A.	http://www.mt-archive.info/10/EAMT-2012-Fishel.pdf		
Building English‐Chinese and Chinese‐English MT engines for the computer software domain	Khalilov, M. and Choudhury, R.	http://www.mt-archive.info/10/EAMT-2012-Khalilov.pdf		
Statistical Machine Translation prototype using UN parallel documents	Pouliquen, B. and Mazenc, C. and Elizalde, C. and Garcia‐Verdugo, J.	http://www.mt-archive.info/10/EAMT-2012-Pouliquen.pdf		
User Evaluation of Interactive Machine Translation Systems	Alabau, V. and Leiva, L. A. and Ortiz‐Martínez, D. and Casacuberta, F.	http://www.mt-archive.info/10/EAMT-2012-Alabau.pdf		
Translate, Predict or Generate: Modeling Rich Morphology in Statistical Machine Translation	El Kholy, A. and Habash, N.	http://www.mt-archive.info/10/EAMT-2012-ElKholy.pdf		
Exploiting Shared Chinese Characters in Chinese Word Segmentation Optimization for Chinese‐Japanese Machine Translation	Chu, C. and Nakazawa, T. and Kawahara, D. and Kurohashi, S.	http://www.mt-archive.info/10/EAMT-2012-Chu.pdf		
Hebrew Morphological Preprocessing for Statistical Machine Translation	Singh, N. and Habash, N.	http://www.mt-archive.info/10/EAMT-2012-Singh.pdf		
Building Translation Awareness in Occasional Authors: A User Case from Japan	Tatsumi, M. and Hartley, A. and Isahara, H. and Kageura, K. and Okamoto, T. and Shimizu, K.	http://www.mt-archive.info/10/EAMT-2012-Tatsumi.pdf		
Efficiency‐based evaluation of aligners for industrial applications	Toral, A. and Poch, M. and Pecina, P. and Thurmair, G.	http://www.mt-archive.info/10/EAMT-2012-Toral-1.pdf		
Evaluation of Machine‐Translated User Generated Content: A pilot study based on User Ratings	Mitchell, L. and Roturier, J.	http://www.mt-archive.info/10/EAMT-2012-Mitchell.pdf		
A Machine Translation Toolchain for Polysynthetic Languages	Homola, P.	http://www.mt-archive.info/10/EAMT-2012-Homola.pdf		
EASTIN‐CL: A multilingual front‐end to a database of Assistive Technology products	Thurmair, G. and Agnoletto, A. and Gower, V. and Rozis, R.	http://www.mt-archive.info/10/EAMT-2012-Thurmair-1.pdf		
Towards the Integration of MT into a LSP Translation Workflow	Vilar, D. and Schneider, M. and Burchardt, A. and Wedde, T.	http://www.mt-archive.info/10/EAMT-2012-Vilar.pdf		
Context‐Aware Machine Translation for Software Localization	Muntés‐Mulero, V. and Paladini Adell, P. and España‐Bonet, C. and Màrquez, L.	http://www.mt-archive.info/10/EAMT-2012-Muntes-Mulero.pdf		
Virtus™: Translation for Structured Data		http://www.mt-archive.info/10/EAMT-2012-VIRTUS.pdf		
MOLTO ‐ Multilingual On‐Line Translation		http://www.mt-archive.info/10/EAMT-2012-MOLTO.pdf		
AIDA: Automatic Identification and Glossing of Dialectal Arabic		http://www.mt-archive.info/10/EAMT-2012-AIDA.pdf		
CESAR ‐ Central and South‐East European Resources		http://www.mt-archive.info/10/EAMT-2012-CESAR.pdf		
BOLOGNA ‐ Bologna Translation Service		http://www.mt-archive.info/10/EAMT-2012-BOLOGNA.pdf		
ACCEPT ‐ Automated Community Content Editing PorTal		http://www.mt-archive.info/10/EAMT-2012-ACCEPT.pdf		
PANACEA ‐ Platform for Automatic, Normalised Annotation and Cost‐Effective Acquisition of Language Resources for Human Language Technologies		http://www.mt-archive.info/10/EAMT-2012-PANACEA.pdf		
ATLAS ‐ Automatic Translation into Sign Languages		http://www.mt-archive.info/10/EAMT-2012-ATLAS-1.pdf		
FAUST ‐ Feedback Analysis for User adaptive Statistical Translation		http://www.mt-archive.info/10/EAMT-2012-FAUST.pdf		
EU-BRIDGE ‐ Bridges Across the Language Divide		http://www.mt-archive.info/10/EAMT-2012-EU-BRIDGE.pdf		
GF Eclipse Plugin: an IDE for grammar development in GF		http://www.mt-archive.info/10/EAMT-2012-GF-Eclipse.pdf		
CrossLang Moses SMT Production System		http://www.mt-archive.info/10/EAMT-2012-CrossLang.pdf		
Embedding Machine Translation in ATLAS Content Management System		http://www.mt-archive.info/10/EAMT-2012-ATLAS-2.pdf		
TTC ‐ Terminology Extraction, Translation Tools and Comparable Corpora		http://www.mt-archive.info/10/EAMT-2012-TTC.pdf		
Confident MT ‐ Estimating Translation Quality for Improved Statistical Machine Translation		http://www.mt-archive.info/10/EAMT-2012-ConfidentMT.pdf		
PET: a Tool for Post‐editing and Assessing Machine Translation		http://www.mt-archive.info/10/EAMT-2012-PET.pdf		
LetsMT! ‐ Do‐It‐Yourself Machine Translation Factory on the Cloud		http://www.mt-archive.info/10/EAMT-2012-LetsMT.pdf		
Cross‐lingual Sentence Compression for Subtitles	Aziz, W. and de Sousa, S. C. M. and Specia, L.	http://www.mt-archive.info/10/EAMT-2012-Aziz.pdf		
Can Automatic Post‐Editing Make MT More Meaningful	Parton, K. and Habash, N. and McKeown, K. and Iglesias, G. and de Gispert, A.	http://www.mt-archive.info/10/EAMT-2012-Parton.pdf		
Evaluating User Preferences in Machine Translation Using Conjoint Analysis	Kirchhoff, K. and Capurro, D. and Turner, A.	http://www.mt-archive.info/10/EAMT-2012-Kirchhoff.pdf		
Cascaded Phrase‐Based Statistical Machine Translation Systems	Tufiş, D. and Dumitrescu, S.D.	http://www.mt-archive.info/10/EAMT-2012-Tufis.pdf		
Hybrid Parallel Sentence Mining from Comparable Corpora	Ștefănescu, D. and Ion, R. and Hunsicker, S.	http://www.mt-archive.info/10/EAMT-2012-Stefanescu.pdf		
Domain Adaptation of Statistical Machine Translation using Web‐Crawled Resources: A Case Study	Pecina, P. and Toral, A. and Papavassiliou, V. and Prokopidis, P. and van Genabith, J.	http://www.mt-archive.info/10/EAMT-2012-Pecina.pdf		
Relevance Ranking for Translated Texts	Turchi, M. and Steinberger, J. and Specia, L.	http://www.mt-archive.info/10/EAMT-2012-Turchi-1.pdf		
Automatic Tune Set Generation for Machine Translation with Limited Indomain Data	Chen, J. and Devlin, J. and Cao, H. and Prasad, R. and Natarajan, P.	http://www.mt-archive.info/10/EAMT-2012-Chen.pdf		
Domain Adaptation in SMT of User‐Generated Forum Content Guided by OOV Word Reduction: Normalization and/or Supplementary Data	Banerjee, P. and Naskar, S. K. and Roturier, J. and Way, A. and van Genabith, J.	http://www.mt-archive.info/10/EAMT-2012-Banerjee.pdf		
Long‐distance reordering during search for hierarchical phrase‐based SMT	Braune, F. and Gojun, A. and Fraser, A.	http://www.mt-archive.info/10/EAMT-2012-Braune.pdf		
Mixture‐Modeling with Unsupervised Clusters for Domain Adaptation in Statistical Machine Translation	Sennrich, R.	http://www.mt-archive.info/10/EAMT-2012-Sennrich.pdf		
Extending CCG‐based Syntactic Constraints in Hierarchical Phrase‐Based SMT	Almaghout, H. and Jiang, J. and Way, A.	http://www.mt-archive.info/10/EAMT-2012-Almaghout.pdf		
MosesCore ‐ Moses Open Source Evaluation and Support Co‐ordination for OutReach and Exploitation		http://www.mt-archive.info/10/EAMT-2012-MosesCore.pdf		
MateCat - Machine Translation Enhanced Computer Assisted Translation		http://www.mt-archive.info/10/EAMT-2012-MateCat.pdf		
SUMAT - An online service for SUbtitling by MAchine Translation		http://www.mt-archive.info/10/EAMT-2012-SUMAT.pdf		
TransLectures - Transcription and Translation of Video Lectures		http://www.mt-archive.info/10/EAMT-2012-transLectures.pdf		
ACCURAT - Analysis and Evaluation of Comparable Corpora for Under Resourced Areas of Machine Translation		http://www.mt-archive.info/10/EAMT-2012-ACCURAT.pdf		
CoSyne - a Project on Multilingual Content Synchronization with Wikis		http://www.mt-archive.info/10/EAMT-2012-CoSyne.pdf		
LT-Innovate - The Forum for Europe’s Language Technolgy Industry		http://www.mt-archive.info/10/EAMT-2012-LT-innovate.pdf		
TOSCA-MP – Task-oriented search and content annotation for media production		http://www.mt-archive.info/10/EAMT-2012-TOSCA-MP.pdf		
Organic.Lingua - Demonstrating the Potential of a multilingual Web portal for Sustainable Agricultural & Environmental Education		http://www.mt-archive.info/10/EAMT-2012-OrganicLingua.pdf		
Flexible finite-state lexical selection for rule-based machine translation	Tyers, F. M. and Sánchez‐Martínez, F. and Forcada, M. L.	http://www.mt-archive.info/10/EAMT-2012-Tyers.pdf		
Statistical Post-Editing of Machine Translation for Domain Adaptation	Rubino, R. and Huet, S. and Lefèvre, F. and Linarès, G.	http://www.mt-archive.info/10/EAMT-2012-Rubino.pdf		
Crowd-based MT Evaluation for non-English Target Languages	Paul, M. and Sumita, E. and Bentivogli, L. and Federico, M.	http://www.mt-archive.info/10/EAMT-2012-Paul.pdf		
Readability and Translatability Judgments for “Controlled Japanese”	Hartley, A. and Tatsumi, M. and Isahara, H. and Kageura, K. and Miyata, R.	http://www.mt-archive.info/10/EAMT-2012-Hartley.pdf		
A Phrase Table without Phrases: Rank Encoding for Better Phrase Table Compression	Junczys‐Dowmunt, M.	http://www.mt-archive.info/10/EAMT-2012-Junczys-Dowmunt.pdf		
Creating Term and Lexicon Entries from Phrase Tables	Thurmair, G. and Aleksić, V.	http://www.mt-archive.info/10/EAMT-2012-Thurmair-2.pdf		
WIT3: Web Inventory of Transcribed and Translated Talks	Cettolo, M. and Girardi, C. and Federico, M.	http://www.mt-archive.info/10/EAMT-2012-Cettolo.pdf		
A Hybrid System for Patent Translation	Enache, R. and España‐Bonet, C. and Ranta, A. and Màrquez, L.	http://www.mt-archive.info/10/EAMT-2012-Enache.pdf		
Hierarchical Sub‐sentential Alignment with Anymalign	Lardilleux, A. and Yvon, F. and Lepage, Y.	http://www.mt-archive.info/10/EAMT-2012-Lardilleux.pdf		
Adjunct Alignment in Translation Data with an Application to Phrase Based Statistical Machine Translation	Arnoult, S. and Sima’an, K.	http://www.mt-archive.info/10/EAMT-2012-Arnoult.pdf		
LTG vs. ITG Coverage of Cross-Lingual Verb Frame Alternations	Addanki, K. and Lo, C. and Saers, M. and Wu, D.	http://www.mt-archive.info/10/EAMT-2012-Addanki.pdf		
Learning Machine Translation from In-domain and Out-of-domain Data	Turchi, M. and Goutte, C. and Cristianini, N.	http://www.mt-archive.info/10/EAMT-2012-Turchi-2.pdf		
Discriminative Reordering Extensions for Hierarchical Phrase-Based Machine Translation	Huck, M. and Peitz, S. and Freitag, M. and Ney, H.	http://www.mt-archive.info/10/EAMT-2012-Huck.pdf		
Pivot-based Machine Translation between Statistical and Black Box systems	Toral, A.	http://www.mt-archive.info/10/EAMT-2012-Toral-2.pdf		
