Title	Authors	Pdf	Pagenumbers
Frontmatter		http://www.mt-archive.info/10/EAMT-2014-prelims.pdf	ix--xi
Invited Talk: Encountering the Unknown, Part 2	Zetzsche, Jost	http://www.mt-archive.info/10/EAMT-2014-Zetzsche.pdf	xvii
Incorporating paraphrasing in translation memory matching and retrieval	Gupta, Rohit and Orǎsan, Constantin	http://www.mt-archive.info/10/EAMT-2014-Gupta.pdf	3--10
Combining bilingual terminology mining and morphological modeling for domain adaptation in SMT	Weller, Marion and Fraser, Alexander and Heid, Ulrich	http://www.mt-archive.info/10/EAMT-2014-Weller.pdf	11--18
An efficient method to assist non-expert users in extending dictionaries by assigning stems and inflectional paradigms to unknknown words	Esplà-Gomis, Miquel and Sánchez-Cartegna, Víctor M. and Sánchez-Martínez, Felipe and Carrasco, Rafael C. and Forcada, Mikel L. and Pérez-Ortiz, Juan Antonio	http://www.mt-archive.info/10/EAMT-2014-Espla-Gomis.pdf	19--26
Efficient wordgraph for interactive translation prediction	Sanchis-Trilles, Germán and Ortiz-Martínez, Daniel and Casacuberta, Francisco		27--34
Translation model based weighting for phrase extraction	Mansour, Saab and Ney, Herman	http://www.mt-archive.info/10/EAMT-2014-Mansour.pdf	35--43
Data selection for discriminative training in statistical machine translation	Song, Xingyi and Specia, Lucia and Cohn, Trevor	http://www.mt-archive.info/10/EAMT-2014-Song.pdf	45--52
TRANSLAIDE. The translaide.pl system: an effective real world installation of translation memory searching and EBMT	Jaworski, Rafał and Ziemlińska, Renata	http://www.mt-archive.info/10/EAMT-2014-TRANSLAIDE.pdf	53
EU-Bridge – Bridges across the language divide		http://www.mt-archive.info/10/EAMT-2014-EU-BRIDGE.pdf	54
MateCat	Federico, Marcello	http://www.mt-archive.info/10/EAMT-2014-matecat.pdf	55
PEDAL: Post-editing with dynamic active learning		http://www.mt-archive.info/10/EAMT-2014-PEDAL.pdf	56
CASMACAT: cognitive analysis and statistical methods for advanced computer aided translation	Koehn, Philipp and Carl, Michael and Casacuberta, Francisco and Marcos, Eva	http://www.mt-archive.info/10/EAMT-2014-Casmacat.pdf	57
ACCEPT: Automated Community Content Editing PorTal		http://www.mt-archive.info/10/EAMT-2014-ACCEPT.pdf	58
Source content analysis and training data selection impact on an MT-driven program design	Beregovaya, Olga and Landan, David	http://www.mt-archive.info/10/EAMT-2014-Bergovaya.pdf	59
TaaS Terminology as a Service		http://www.mt-archive.info/10/EAMT-2014-TaaS.pdf	60
Alignment symmetrisation optimization targeting phrase pivot statistical machine translation	Kholy, Ahmed El and Habash, Nizar	http://www.mt-archive.info/10/EAMT-2014-ElKholy.pdf	63--70
Improving machine translation via triangulation and transliteration	Durrani, Nadir and Koehn, Philipp	http://www.mt-archive.info/10/EAMT-2014-Durrani.pdf	71--78
SEECAT: ASR & Eye-tracking enabled computer-assisted translation	García-Martínez, Mercedes and Singla, Karan and Tammewar, Aniruddha and Mesa-Lao, Bartolomé and Thakur, Ankita and M.A., Anusuya and Bangalore, Srinivas and Carl, Michael	http://www.mt-archive.info/10/EAMT-2014-Garcia-Martinez.pdf	81-88
Moses SMT as an aid to translators in the production process	Schaefer, Falko and van de Walle, Joeri and van den Bogaert, Joachim	http://www.mt-archive.info/10/EAMT-2014-Schaefer.pdf	89--92
