Title	Authors	Pdf
TectoMT – a deep linguistic core of the combined Cimera MT system	Popel, Martin and Sudarikov, Roman and Bojar, Ondřej and Rosa, Rudolf and Hajič, Jan	http://www.mt-archive.info/15/EAMT-2016-Popel.pdf
WiTKoM – virtual sign language translator project	Barczewska, Katarzyna and Galka, Jakub and Malawski, Filip and Mąsior, Mariusz and Szulc, Dorota and Wilczyński, Tomasz and Wróbel, Krzysztof	http://www.mt-archive.info/15/EAMT-2016-Barczewska.pdf
Multi-level quality prediction with QuEst++	H.Paetzold, Gustavo and Specia, Lucia	http://www.mt-archive.info/15/EAMT-2016-Paetzold.pdf
Apertium: a free/open source platform for machine translation and basic language technology	Forcada, Mikel L. and Tyers, Francis M.	http://www.mt-archive.info/15/EAMT-2016-Forcada-3.pdf
BabelDr: a web platform for rapid construction of phrasebook-style medical speech translation applications	Bouillon, Pierrette and Spechbach, Hervé	http://www.mtarchive.info/15/EAMT-2016-Bouillon.pdf
SCATE – smart computer aided translation environment	Vandeghinste, V. and Vanallemeersch, T. and Augustinus, L. and Pelemans, J. and Heymans, G. and Van der Lek-Ciudin, I. and Tezcan, A. and Degraen, D. and Van den Bergh, J. and Macken, L. and Lefever, E. and Moens, M. and Wambacq, P. and Steurs, F. and Coninx, K. and Van Eynde, F.	http://www.mt-archive.info/15/EAMT-2016-Vandeghinste.pdf
HimL: Health in my language	Haddow, Barry and Fraser, Alex	http://www.mt-archive.info/15/EAMT-2016-Haddow.pdf
OPUS – parallel corpora for everyone	Tiedemann, Jörg	http://www.mt-archive.info/15/EAMT-2016-Tiedemann.pdf
Integration of machine translation paradigms	Costa-jussà, Marta R.	http://www.mt-archive.info/15/EAMT-2016-Costa-jussa.pdf
STAR Transit & STAR MT: morphologically generated additional information for improving MT quality	Hofmann, Nadira	http://www.mt-archive.info/15/EAMT-2016-Hofmann.pdf
AltLang: an automatic converter between varieties of English, Spanish, French and Portuguese	Ramírez-Sànchez, Gema	http://www.mt-archive.info/15/EAMT-2016-Ramirez-Sanchez.pdf
iEMS – interactive experiment management system for machine translation	Ṇikiforovs, Pēteris	http://www.mt-archive.info/15/EAMT-2016-Nikiforovs.pdf
KantanLQR: a platform for human evaluation of machine translation output to drive engine rapid improvement	Luri, Laura Casanellas	http://www.mt-archive.info/15/EAMT-2016-Casanellas.pdf
PangeaMT v 3 – customise your own machine translation environment	Helle, Alexandre and Herranz, Manuel	http://www.mt-archive.info/15/EAMT-2016-Helle.pdf
International translation in the Grammatical Framework (GF)	Ranta, Aarne and Angelov, Kasimir and Hallgren, Thomas and Kolachina, Prasanth and Listenmaa, Inari	http://www.mt-archive.info/15/EAMT-2016-Ranta.pdf
Domain-specific multilingual translation for producers of information	Ranta, Aarne and Angelov, Kasimir and Forsberg, Markus and Hallgren, Thomas	http://www.mt-archive.info/15/EAMT-2016-Ranta-2.pdf
The EXPERT project: training the future experts in translation technology	Orašan, Constantin	http://www.mt-archive.info/15/EAMT-2016-Orasan.pdf
Amplexor MTExpert – machine translation adapted to the translation workflow	Ceausu, Alexandru and Hunsicker, Sabine and Droumaguet, Tudy	http://www.mt-archive.info/15/EAMT-2016-Ceausu.pdf
Abu-MaTran: automatic building of machine translation	Toral, Antonio and Ortiz Rojas, Sergio and Forcada, Mikel and Lubesic, Nikola and Prokopidis, Prokopis	http://www.mt-archive.info/15/EAMT-2016-Toral-2.pdf
TraMOOC (Translation for Massive Open Online Courses): providing reliable MT for MOOCs	Kordoni, Valia and Birch, Lexi and Buliga, Ioana and Cholakov, Kostadin and Egg, Markus and Gaspari, Federico and Georgakopolou, Yota and Gialama, Maria and Hendrickx, Iris and Jermol, Mitja and Kermanidis, Katia and Moorkens, Joss and Orlic, Davor and Papadopoulos, Michael and Popović, Maja and Sennrich, Rico and Sosoni, Vilelmini and Tsoumakos, Dimitrios and van den Bosch, Antal and van Zaanen, Menno and Way, Andy	http://www.mt-archive.info/15/EAMT-2016-Kordoni.pdf
Modern MT: a new open-source machine translation platform for the translation industry	Germann, U. and Barbu, E. and Bentivogli, L. and Bertoldi, N. and Bogoychev, N. and Buck, C. and Caroselli, D. and Carvalho, L. and Cattelan, A. and Cettolo, R. and Federico, M. and Haddow, B. and Madl, D. and Mastrostefano, L. and Mathur, P. and Ruopp, A. and Samiotou, A. and Sudharshan, V. and Trombetti, M. and van der Meer, Jan	http://www.mt-archive.info/15/EAMT-2016-Germann.pdf
MODERN: modelling discourse entities and relations for coherent machine translation	Popescu-Belis, A. and Evers-Vermeul, J. and Fishel, M. and Grisot, C. and Groen, M. and Hoeck, J. and Loaiciga, S. and Luong, N. Q. and Mascarelli, L. and Meyer, T. and Miculicich, L. and Moeschler, J. and Pu, X. and Rios, A. and Sanders, T. and Volk, M. and Zufferey, S.	http://www.mt-archive.info/15/EAMT-2016-Popescu-Belis.pdf
Digital curation technologies (DKT)	Rehm, Georg and Sasaki, Felix	http://www.mt-archive.info/15/EAMT-2016-Rehm.pdf
CRACKER – cracking the language barrier. Selected results 2015/2016	Rehm, Georg	http://www.mt-archive.info/15/EAMT-2016-Rehm-2.pdf
