Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Overview of the patent translation task at the NTCIR- Workshop	Atsushi Fujii and Masao Utiyama and Mikio Yamamoto and Takehito Utsuro	http://www.mt-archive.info/05/NTCIR-2008-Fujii.pdf			7	
NTCIR- experiments in patent translation based on open-source statistical machine translation tools	Ze-Jung Chuang and Yuen-Hsien Tseng	http://www.mt-archive.info/05/NTCIR-2008-Chuang.pdf			7	
Effect of the topic dependent translation models for patent translation – experiment at NTCIR-	Takeshi Ito and Tomoyosi Akiba and Katunobu Itou	http://www.mt-archive.info/05/NTCIR-2008-Ito.pdf			7	
Toshiba rule-based machine translation system at NTCIR- PAT MT	Tatsuya Izuha and Akira Kumano and Yuka Kuroda	http://www.mt-archive.info/05/NTCIR-2008-Izuha.pdf			7	
Syntactic reordering in preprocessing for Japanese®English translation: MIT system description for NTCIR- patent translation task	Jason Katz-Brown and Michael Collins	http://www.mt-archive.info/05/NTCIR-2008-Katz-Brown.pdf			7	
NAIST-NTT system description for patent translation task at NTCIR-	Mamoru Komachi and Masaaki Nagata and Yuji Matsumoto	http://www.mt-archive.info/05/NTCIR-2008-Komachi.pdf			7	
NTCIR- patent translation experiments at Hitachi	Hiroyuki Kumai and Hirohiko Sagawa and Yasutsugu Morimoto	http://www.mt-archive.info/05/NTCIR-2008-Kumai.pdf			7	
The POSTECH statistical machine translation systems for NTCIR- patent translation task	Jin-Ji Li and Hwi-Dong Na and Hankyong Kim and Chang-Hu Jin and Jong-Hyeok Lee	http://www.mt-archive.info/05/NTCIR-2008-Li-1.pdf			7	
Efficient statistical machine translation algorithm based on IBM model	Kai Li and Yuejie Zhang	http://www.mt-archive.info/05/NTCIR-2008-Li-2.pdf			4	
Statistical machine translation with long phrase table and without long parallel sentences.	Jun’ichi Murakami and Masato Tokuhisa and Satoru Ikehara	http://www.mt-archive.info/05/NTCIR-2008-Murakami.pdf			4	
Kyoto-U: syntactical EBMT system for NTCIR- patent translation task	Toshiaki Nakazawa and Sadao Kurohashi	http://www.mt-archive.info/05/NTCIR-2008-Nakazawa.pdf			7	
Use of the technical field-oriented user dictionaries.	Tadaaki Oshio and Tomoharu Mitsuhashi and Tsuyoshi Kakita	http://www.mt-archive.info/05/NTCIR-2008-Oshio.pdf			7	
NTT SMT system 2008 at NTCIR-	Taro Watanabe and Hajime Tsukada and Hideki Isozaki	http://www.mt-archive.info/05/NTCIR-2008-Watanabe.pdf			7	
Diversion of hierarchical phrases as reordering templates.	Mikio Yamamoto and Jyunya Norimatsu and Mitsuru Koshikawa and Takahiro Fukutomi and Taku Nishio and Kugatsu Sadamitsu and Takehito Utsuro	http://www.mt-archive.info/05/NTCIR-2008-Yamamoto.pdf			7	
System description of NiCT-ATR SMT for NTCIR-	Keiji Yasuda and Andrew Finch and Hideo Okuma and Masao Utiyama and Hirofumi Yamamoto and Eiichiro Sumita	http://www.mt-archive.info/05/NTCIR-2008-Yasuda.pdf			7	
Patent SMT based on combined phrases for NTCIR-	Zhu Junguo and Qi Haoliang and Yang Muyun and Li Jufeng and Li Sheng	http://www.mt-archive.info/05/NTCIR-2008-Zhu.pdf			7	
