Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Preface	Reinhard Rapp and Marko Tadić and Serge Sharoff and Pierre Zweigenbaum				vii	
Robust Cross-Lingual Genre Classification through Comparable Corpora	Philipp Petrenz and Bonnie Webber	http://www.mt-archive.info/10/BUCC-2012-Petrenz.pdf			1	
Revisiting sentence alignment algorithms for alignment visualization and evaluation	Qian Yu and François Yvon and Aurélien Max	http://www.mt-archive.info/10/BUCC-2012-Yu.pdf			10	
Analysis and Evaluation of Comparable Corpora for Under-Resourced Areas of Machine Translation	Inguna Skadiņa	http://www.mt-archive.info/10/BUCC-2012-Skadina.pdf			17	
LetsMT! – Platform to Drive Development and Application of Statistical Machine Translation	Andrejs Vasiļjevs	http://www.mt-archive.info/10/BUCC-2012-Vasiljevs.pdf			20	
Mining and Exploiting Domain-Specific Corpora in the PANACEA Platform	Núria Bel and Vassilis Papavasiliou and Prokopis Prokopidis and Antonio Toral and Victoria Arranz	http://www.mt-archive.info/10/BUCC-2012-Bel.pdf			24	
The PRESEMT Project	Adam Kilgarriff and George Tambouratzis	http://www.mt-archive.info/10/BUCC-2012-Kilgarriff.pdf			27	
Building bilingual terminologies from comparable corpora: The TTC TermSuite	Béatrice Daille	http://www.mt-archive.info/10/BUCC-2012-Daille.pdf			29	
A viewing and processing tool for the analysis of a comparable corpus of Kiranti mythology	Aimée Lahaussois and Séverine Guillaume	http://www.mt-archive.info/10/BUCC-2012-Lahaussois.pdf			33	
MultiMASC: An Open Linguistic Infrastructure for Language Research	Nancy Ide	http://www.mt-archive.info/10/BUCC-2012-Ide.pdf			42	
Experimenting with Extracting Lexical Dictionaries from Comparable Corpora for English-Romanian language pair	Elena Irimia	http://www.mt-archive.info/10/BUCC-2012-Irimia.pdf			49	
Romanian Translational Corpora: Building Comparable Corpora for Translation Studies	Iustina Ilisei and Diana Inkpen and Gloria Corpas and Ruslan Mitkov	http://www.mt-archive.info/10/BUCC-2012-Ilisei.pdf			56	
Evaluation of a Bilingual Dictionary Extracted from Wikipedia	Angelina Ivanova	http://www.mt-archive.info/10/BUCC-2012-Ivanova.pdf			62	
A Visualizing Annotation Tool for Semi-Automatical Building a Bilingual Corpus	Quoc Hung-Ngo and Werner Winiwarter	http://www.mt-archive.info/10/BUCC-2012-Hung-Ngo.pdf			67	
SMT systems for less-resourced languages based on domain-specific data	Lene Offersgaard and Dorte Haltrup Hansen	http://www.mt-archive.info/10/BUCC-2012-Offersgaard.pdf			75	
Towards a Wikipedia-extracted Alpine Corpus	Magdalena Plamada and Martin Volk	http://www.mt-archive.info/10/BUCC-2012-Plamada.pdf			81	
Using Comparable Corpora to Track Diachronic and Synchronic Changes in Lexical Density and Lexical Richness	Sanja Štajner and Ruslan Mitkov	http://www.mt-archive.info/10/BUCC-2012-Stajner.pdf			88	
Mining for Term Translations in Comparable Corpora	Dan Ştefănescu	http://www.mt-archive.info/10/BUCC-2012-Stefanescu.pdf			98	
Accurate phrase alignment in a bilingual corpus for EBMT systems	George Tambouratzis and Michalis Troullinos and Sokratis Sofianopoulos and Marina Vassiliou	http://www.mt-archive.info/10/BUCC-2012-Tambouratzis.pdf			104	
Using Czech-English Parallel Corpora in Automatic Identification of It	Kateřina Veselovská and Ngãy Giang Linh and Michal Novák	http://www.mt-archive.info/10/BUCC-2012-Veselovska.pdf			112	
CLIR- and ontology-based approach for bilingual extraction of comparable documents	Manuela Yapomo and Gloria Corpas and Ruslan Mitkov	http://www.mt-archive.info/10/BUCC-2012-Yapomo.pdf			121	
ICA for Bilingual Lexicon Extraction from Comparable Corpora	Amir Hazem and Emmanuel Morin	http://www.mt-archive.info/10/BUCC-2012-Hazem.pdf			126	
Improving Compositional Translation with Comparable Corpora	Hiroyuki Kaji and Takashi Tsunakawa and Yoshihoro Komatsubara	http://www.mt-archive.info/10/BUCC-2012-Kaji.pdf			134	
Multi-word term extraction from comparable corpora by combining contextual and constituent clues	Nikola Ljubešić and Špela Vintar and Darja Fišer	http://www.mt-archive.info/10/BUCC-2012-Ljubesic.pdf			143	
Textual Characteristics of Different-sized Corpora  	Robert Remus and Mathias Bank	http://www.mt-archive.info/10/BUCC-2012-Remus.pdf			148	
