Title	Authors	Pdf	Presentation	Volume_Name	Notes
Preface 		http://www.mt-archive.info/05/FreeRBMT-2009-Perez-Ortiz.pdf			
Invited talks		http://www.mt-archive.info/05/FreeRBMT-2009-invited.pdf			
Matxin: developing sustainable machine translation for a less-resourced language	Kepa Sarasola				
Anusaaraka: An accessor cum machine translator	Amba Kulkarni				
The Apertium machine translation platform : Five years on	Mikel L. Forcada and Francis M. Tyers and Gema Ramírez-Sánchez	http://www.mt-archive.info/05/FreeRBMT-2009-Forcada.pdf			Platforms for free/open-source rule-based machine translation
Matxin: Moving towards language independence	Aingeru Mayor and Francis M. Tyers	http://www.mt-archive.info/05/FreeRBMT-2009-Mayor.pdf			Platforms for free/open-source rule-based machine translation
Shallow-transfer rule-based machine translation for Swedish to Danish	Francis M. Tyers and Jacob Nordfalk	http://www.mt-archive.info/05/FreeRBMT-2009-Tyers.pdf			Free/open-source linguistic data and language pairs
Reuse of free resources in machine translation between Nynorsk and Bokmål	Kevin Unhammer and Trond Trosterud	http://www.mt-archive.info/05/FreeRBMT-2009-Unhammer.pdf			Free/open-source linguistic data and language pairs
Development of a morphological analyser for Bengali	Abu Zaher Md. Faridee and Francis M. Tyers	http://www.mt-archive.info/05/FreeRBMT-2009-Faridee.pdf			Free/open-source linguistic data and language pairs
An open-source highly scalable web service architecture for the Apertium machine translation engine	Victor M. Sánchez-Cartagena and Juan Antonio Pérez-Ortiz	http://www.mt-archive.info/05/FreeRBMT-2009-Sanchez-Cartagena.pdf			Technical 
Apertium goes SOA: an efficient and scalable service based on the Apertium rule-based machine translation platform	Pasquale Minervini	http://www.mt-archive.info/05/FreeRBMT-2009-Minervini.pdf			Technical 
A trigram part-of-speech tagger for the Apertium free/open-source machine translation platform	Zaid Md Abdul Wahab Sheikh and Felipe Sánchez-Martínez	http://www.mt-archive.info/05/FreeRBMT-2009-Sheikh.pdf			Technical 
Joint efforts to further develop and incorporate Apertium into the document manage- ment flow at Universitat Oberta de Catalunya	Luis Villarejo Muñoz and Sergio Ortiz Rojas and Mireia Ginestí Rosell	http://www.mt-archive.info/05/FreeRBMT-2009-Villarejo-Munoz.pdf			Technical 
