Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Overview of the IWSLT 2007 evaluation campaign	Cameron Shaw Fordyce	http://www.mt-archive.info/05/IWSLT-2007-Fordyce.pdf	http://www.mt-archive.info/05/IWSLT-2007-Fordyce-ppt.pdf			
A comparison of linguistically and statistically enhanced models for speech-to-speech machine translation	Alicia Pérez and Víctor Guijarrubia and Raquel Justo and M. Inés Torres and Francisco Casacuberta	http://www.mt-archive.info/05/IWSLT-2007-Perez.pdf	http://www.mt-archive.info/05/IWSLT-2007-Perez-ppt.pdf			
Improved chunk-level reordering for statistical machine translation	Yuqi Zhang and Richard Zens and Hermann Ney	http://www.mt-archive.info/05/IWSLT-2007-Zhang.pdf	http://www.mt-archive.info/05/IWSLT-2007-Zhang-ppt.pdf			
The CMU TransTac 2007 eyes-free two-way speech-to-speech translation system	Nguyen Bach and Matthais Eck and Paisarn Charoenpornsawat and Thilo Köhler and Sebastian Stüker and ThuyLinh Nguyen and Roger Hsiao and Alex Waibel and Stephan Vogel and Tanja Schultz and Alan W.Black	http://www.mt-archive.info/05/IWSLT-2007-Bach.pdf	http://www.mt-archive.info/05/IWSLT-2007-Bach-ppt.pdf			
CASIA phrase-based SMT system for IWSLT’07	Yu Zhou and Yanqing He and Chengqing Zong	http://www.mt-archive.info/05/IWSLT-2007-Zhou-ppt.pdf				
The University of Edinburgh system description for IWSLT 2007	Josh Schroeder and Philipp Koehn	http://www.mt-archive.info/05/IWSLT-2007-Schroeder.pdf	http://www.mt-archive.info/05/IWSLT-2007-Schroeder-ppt.pdf			
The GREYC machine translation system for the IWSLT 2007 evaluation campaign	Yves Lepage and Adrien Lardilleux	http://www.mt-archive.info/05/IWSLT-2007-Lepage.pdf	http://www.mt-archive.info/05/IWSLT-2007-Lepage-ppt.pdf			
I2R Chinese-English translation system for IWSLT 2007	Boxing Chen and Jun Sun and Hongfei Jiang and Min Zhang and Ai Ti Aw	http://www.mt-archive.info/05/IWSLT-2007-Chen-1.pdf	http://www.mt-archive.info/05/IWSLT-2007-Chen-1-ppt.pdf			
The CMU-UKA statistical machine translation systems for IWSLT 2007	Ian Lane and Andreas Zollmann and Thuy Linh Nguyen and Nguyen Bach and Ashish Venugopal and Stephan Vogel and Kay Rottmann and Ying Zhang and Alex Waibel	http://www.mt-archive.info/05/IWSLT-2007-Lane.pdf	http://www.mt-archive.info/05/IWSLT-2007-Lane-ppt.pdf			
MaTrEx: the DCU machine translation system for IWSLT 2007	Hany Hassan and Yanjun Ma and Andy Way	http://www.mt-archive.info/05/IWSLT-2007-Hassan.pdf	http://www.mt-archive.info/05/IWSLT-2007-Hassan-ppt.pdf			
FBK@IWSLT 2007	Nicola Bertoldi and Mauro Cettolo and Roldano Cattoni and Marcello Federico	http://www.mt-archive.info/05/IWSLT-2007-Bertoldi.pdf	http://www.mt-archive.info/05/IWSLT-2007-Bertoldi-ppt.pdf			
HKUST statistical machine translation experiments for IWSLT 2007	Yihai Shen and Chi-kiu Lo and Marine Carpuat and Dekai Wu	http://www.mt-archive.info/05/IWSLT-2007-Shen-1.pdf	http://www.mt-archive.info/05/IWSLT-2007-Shen-1-ppt.pdf			
The University of Washington machine translation system for the IWSLT 2007 competition	Katrin Kirchhoff and Mei Yang	http://www.mt-archive.info/05/IWSLT-2007-Kirchhoff.pdf	http://www.mt-archive.info/05/IWSLT-2007-Kirchhoff-ppt.pdf			
The MIT-LL/AFRL IWSLT-2007 MT system	Wade Shen and Brian Delaney and Tim Anderson and Ray Slyh	http://www.mt-archive.info/05/IWSLT-2007-Shen-2.pdf	http://www.mt-archive.info/05/IWSLT-2007-Shen-2-ppt.pdf			
The NICT/ATR speech translation system for IWSLT 2007	Andrew Finch and Etienne Denoual and Hideo Okuma and Michael Paul and Hirofumi Yamamoto and Keiji Yasuda and Ruiqiang Zhang and Eiichiro Sumita	http://www.mt-archive.info/05/IWSLT-2007-Finch.pdf	http://www.mt-archive.info/05/IWSLT-2007-Finch-ppt.pdf			
