Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
	Published proceedings	http://www.mt-archive.info/10/IWSLT-2010-proceedings.htm				
Invited talk	Is machine translation ripe for EU translators? Josep Bonet	http://www.mt-archive.info/10/IWSLT-2010-Bonet-ppt.pdf				
Main findings of the evaluation campaign	Michael Paul and Marcello Federico and Sebastian Stüker	http://www.mt-archive.info/10/IWSLT-2010-Paul.pdf				
TALK task: The ITI-UPV machine translation system for IWSLT 2010	Guillem Gascó and Vicent Alabau and Jesús-Andrés-Ferrer and Jesús González-Rubio and Martha-Alicia Rocha and Germán Sanchis-Trilles and Francisco Casacuberta and Jorge González and Joan-Andreu Sánchez	http://www.mt-archive.info/10/IWSLT-2010-Gasco.pdf				
DIALOG task: The MSRA machine translation system for IWSLT 2010	Chi-Ho Li and Nan Duan and Yinggong Zhao and Shujie Liu and Lei Cui and Mei-yuh Hwang and Amittai Axelrod and Jianfeng Gao and Yaodong Zhang and Li Deng	http://www.mt-archive.info/10/IWSLT-2010-Li.pdf				
BTEC task: The MIT-LL/AFRL IWSLT-2010 system	Wade Shen and Timothy Anderson and Raymond Slyh and A.Ryan Aminzadeh	http://www.mt-archive.info/10/IWSLT-2010-Shen.pdf				
Invited talk: Hierarchical phrase-based translation with weighted finite state transducers	William Byrne	http://www.mt-archive.info/10/IWSLT-2010-Byrne-ppt.pdf				
If I only had a parser: poor man’s syntax for hierarchical machine translation	David Vilar and Daniel Stein and Stephan Peitz and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2010-Vilar.pdf				
Dynamic distortion in a discriminative reordering model for statistical machine translation	Sirvan Yahyaei and Christoph Monz	http://www.mt-archive.info/10/IWSLT-2010-Yahyaei-2.pdf				
Factor templates for factored machine translation models	Yvette Graham and Josef van Genabith	http://www.mt-archive.info/10/IWSLT-2010-Graham.pdf				
LIMSI @ IWSLT 2010	Alexandre Allauzen and Josep M.Crego and İlknur Durgar El-Kahlout and Le Hai-Son and Guillaume Wisniewski and François Yvon	http://www.mt-archive.info/10/IWSLT-2010-Allauzen.pdf				
LIUM’s statistical machine translation system for IWSLT 2010	Anthony Rousseau and Loïc Barrault and Paul Deléglise and Yannick Estève	http://www.mt-archive.info/10/IWSLT-2010-Rousseau.pdf				
FBK @ IWSLT 2010	Arianna Bisazza and Ioannis Klasinas and Mauro Cettolo and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2010-Bisazza.pdf				
The TÜBİTAK-UEKAE statistical machine translation system for IWSLT 2010	Coskun Mermer and Hamza Kaya and Mehmet Ugur Dogan	http://www.mt-archive.info/10/IWSLT-2010-Mermer.pdf				
ITI-UPV machine translation system for IWSLT 2010	Guillem Gascó and Vicent Alabau and Jesús-Andrés-Ferrer and Jesús González-Rubio and Martha-Alicia Rocha and Germán Sanchis-Trilles and Francisco Casacuberta and Jorge González and Joan-Andreu Sánchez	http://www.mt-archive.info/10/IWSLT-2010-Gasco.pdf				
The KIT translation system for IWSLT 2010	Jan Niehues and Mohammed Mediani and Teresa Herrmann and Michael Heck and Christian Herff and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2010-Niehues.pdf				
NTT statistical MT system for IWSLT 2010	Katsuhito Sudoh and Kevin Duh and Hajime Tsukada	http://www.mt-archive.info/10/IWSLT-2010-Sudoh.pdf				
