Title	Authors	Pdf	Presentation	Volume_Name
Keynotes		http://www.mt-archive.info/10/IWSLT-2011-keynotes.pdf		
Data-intensive approaches for ASR	Sadaoki Furui			
Meaning-equivalent semantics forunderstanding, generation, translation, and evaluation	Daniel Marcu			
Resource-rich research on natural language processing and understanding	Junichi Tsujii			
Overview of the IWSLT 2011 evaluation campaign	Marcello Federico and Luisa Bentivogli and Michael Paul and Sebastian Stüker	http://www.mt-archive.info/10/IWSLT-2011-Federico.pdf		
The NICT ASR system for IWSLT2011	Kazuhiko Abe and Youzheng Wu and Chien-lin Huang and Paul R.Dixon and Shigeki Matsuda and Chiori Hori and Hideki Kashioka	http://www.mt-archive.info/10/IWSLT-2011-Abe.pdf		
The MIT-LL/AFRL IWSLT-2011 MT system	A.Ryan Aminzadeh and Tim Anderson and Ray Slyh and Brian Ore and Eric Hansen and Wade Shen and Jennifer Drexler and Terry Gleason	http://www.mt-archive.info/10/IWSLT-2011-Aminzadeh.pdf		
The DCU machine translation systems for IWSLT 2011	Pratyush Banerjee and Hala Almaghout and Sudip Naskar and Johann Roturier and Jie Jiang and Andy Way and Josef van Genabith	http://www.mt-archive.info/10/IWSLT-2011-Banerjee.pdf		
The NICT translation system for IWSLT 2011	Andrew Finch and Chooi-Ling Goh and Graham Neubig and Eiichiro Sumita	http://www.mt-archive.info/10/IWSLT-2011-Finch.pdf		
The MSR system for IWSLT 2011 evaluation	Xiaodong He and Amittai Axelrod and Li Deng and Alex Acero and Mei-Yuh Hwang and Alisa Nguyen and Andrew Wang and Xiahui Huang	http://www.mt-archive.info/10/IWSLT-2011-He.pdf		
LIMSI’s experiments in domain adaptation for IWSLT11	Thomas Lavergne and Alexandre Allauzen and Hai-Son Le and François Yvon	http://www.mt-archive.info/10/IWSLT-2011-Lavergne.pdf		
LIG English-French spoken language translation system for IWSLT 2011	Benjamin Lecouteux and Laurent Besacier and Hervé Blanchon	http://www.mt-archive.info/10/IWSLT-2011-Lecouteux.pdf		
The KIT English-French translation systems for IWSLT 2011	Mohammed Mediani and Eunach Cho and Jan Niehues and Teresa Herrmann and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2011-Mediani.pdf		
LIUM’s systems for the IWSLT 2011 speech translation tasks	Anthony Rousseau and Fethi Bougares and Paul Deléglise and Holger Schwenk and Yannick Estève	http://www.mt-archive.info/10/IWSLT-2011-Rousseau.pdf		
FBK@IWSLT 2011	N.Ruiz and A.Bisazza and F.Brugnara and D.Falavigna and D.Giuliani and S.Jaber and R.Gretter and M.Federico	http://www.mt-archive.info/10/IWSLT-2011-Ruiz.pdf		
The 2011 KIT English ASR system for the IWSLT evaluation	Sebastian Stüker and Kevin Kilgour and Christian Saam and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2011-Stuker.pdf		
DFKI's SC and MT submissions to IWSLT 2011	David Vilar and Eleftherios Avramidis and Maja Popović and Sabine Hunsicker	http://www.mt-archive.info/10/IWSLT-2011-Vilar.pdf		
The RWTH Aachen machine translation system for IWSLT 2011	Joern Wuebker and Matthias Huck and Saab Mansour and Markus Freitag and Minwei Feng and Stephan Peitz and Christoph Schmidt and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2011-Wuebker.pdf		
Advances on spoken language translation in the Quaero program	Karim Boudahmane and Bianka Buschbeck and Eunah Cho and Josep Maria Crego and Markus Freitag and Thomas Lavergne and Hermann Ney and Jan Niehues and Stephan Peitz and Jean Senellart and Artem Sokolov and Alex Waibel and Tonio Wandmacher and Joern Wuebker and François Yvon	http://www.mt-archive.info/10/IWSLT-2011-Boudahmane.pdf		
Speech recognition for machine translation in Quaero	Lori Lamel and Sandrine Courcinous and Julien Despres and Jean-Luc Gauvain and Yvan Josse and Kevin Kilgour and Florian Kraft and Viet Bac Le and Hermann Ney and Markus Nußbaum-Thom and Ilya Oparin and Tim Schlippe and Ralf Schlüter and Tanja Schultz and Thiago Fraga da Silva and Sebastian Stüker and Martin Sundermeyer and Bianca Vieru and Ngoc Thang Vu and Alexander Waibel and Cécile Woehrling	http://www.mt-archive.info/10/IWSLT-2011-Lamel.pdf		
