Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Welcome address	Algirdas Saudargas					
Greeting address	Roberto Cencioni					
META-NET and META-FORUM: an overview	Hans Uszkoreit		http://www.mt-archive.info/10/META-FORUM-2010-Uszkoreit-2.pdf			
Challenges for the audiovisual industry in the digital age: accessibility and multilingualism	Yota Georgakopoulou		http://www.mt-archive.info/10/META-FORUM-2010-Georgakopoulou.pdf			
Preliminary findings of the vision groups 	Josef van Genabith		http://www.mt-archive.info/10/META-FORUM-2010-VanGenabith.pdf			
Introduction	Hans Uszkoreit		http://www.mt-archive.info/10/META-FORUM-2010-Uszkoreit-1.pdf			
Preliminary findings of the vision group “Media and information services”	Phillippe Wacker		http://www.mt-archive.info/10/META-FORUM-2010-Wacker.pdf			
Preliminary findings of the vision group “Interactive systems”	Alex Waibel		http://www.mt-archive.info/10/META-FORUM-2010-Waibel.pdf			
Preliminary findings of the vision group “Translation and localisation”	Jörg Porsiel		http://www.mt-archive.info/10/META-FORUM-2010-Porsiel.pdf			
Recent developments in machine translation policy at the European Patent Office	Georg Artelsmair		http://www.mt-archive.info/10/META-FORUM-2010-Artelsmair.pdf			
EC Info-session on upcoming calls and further actions in support of language technology and innovation	Roberto Cencioni		http://www.mt-archive.info/10/META-FORUM-2010-Cencioni.pdf			
Building bridges using innovative approaches in machine translation	Jan Hajic		http://www.mt-archive.info/10/META-FORUM-2010-Hajic.pdf			
META-SHARE: the open resource exchange facility	Stelios Piperides		http://www.mt-archive.info/10/META-FORUM-2010-Piperidis.pdf			
Building partnerships with language communities: the importance of shared technology and shared data	Bill Dolan		http://www.mt-archive.info/10/META-FORUM-2010-Dolan.pdf			
Towards a business forum for language-technology stakeholders	Hanna Klimek		http://www.mt-archive.info/10/META-FORUM-2010-Klimek.pdf			
Introducing the Language Technology Business Association	Jochen Hummel		http://www.mt-archive.info/10/META-FORUM-2010-Klimek.pdf			
Language resources and legal issues: problems and solutions for basic and industrial research	John Hendrik Weitzmann and Prodromos Tsiavos		http://www.mt-archive.info/10/META-FORUM-2010-Weitzmann.pdf			
Indian multilingual initiatives – a holistic perspective	Swaran Lata		http://www.mt-archive.info/10/META-FORUM-2010-Lata.pdf			
Founding META: towards a joint action	Hans Uszkoreit					
