Title	Authors	Pdf	Presentation	Volume_Name	Notes
The model of conceptual structure mapping: a psycholinguistic approach to interlingual representation	Dina Belyayeva	http://www.mt-archive.info/AMTA-1997-Belyayeva.pdf			
Associating semantic components with intersective Levin classes	Hoa Trang Dang and Joseph Rosenzweig and Martha Palmer	http://www.mt-archive.info/AMTA-1997-Dang.pdf			
Spanish EuroWordNet and LCS-based interlingual MT	Bonnie J. Dorr and M. Antonia Martí and Irene Castellón	http://www.mt-archive.info/AMTA-1997-Dorr-1.pdf			
Toward compact monotonically compositional interlingua using lexical aspect	Bonnie J. Dorr and Mari Broman Olsen and Scott C. Thomas	http://www.mt-archive.info/AMTA-1997-Dorr-2.pdf			
On representing language-specific information in interlingua	David Farwell	http://www.mt-archive.info/AMTA-1997-Farwell.pdf			
Time to eat peaches: language-specific information in interlingua	Stephen Helmreich	http://www.mt-archive.info/AMTA-1997-Helmreich.pdf			
Improving the precision of lexicon-to-ontology alignment algorithms	Latifur R. Khan and Eduard H. Hovy	http://www.mt-archive.info/AMTA-1997-Khan.pdf			
Interlingua developed and utilized in real multilingual MT product systems	Shin-ichiro Kamei and Kazunori Muraki	http://www.mt-archive.info/AMTA-1997-Kamei.pdf			
Simplification of nomenclature leads to an ideal IL for human language communication	Young-Suk Lee and Clifford Weinstein and Dinesh Tummala and Linda Kukolich and Stephanie Seneff	http://www.mt-archive.info/AMTA-1997-Lee.pdf			
The use of pegs computational discourse framework as an interlingua representation	Susann Luperfoy and Keith Miller	http://www.mt-archive.info/AMTA-1997-Luperfoy.pdf			
EDR’s concept classification and description for interlingual representation.	Hideo Miyoshi and Takano Ogino and Kenji Sugiyama	http://www.mt-archive.info/AMTA-1997-Miyoshi.pdf			
Enriching lexical transfer with cross-linguistic semantic features or how to do interlingua without interlingua	Alexis Nasr and Owen Rambow and Martha Palmer and Joseph Rosenzweig	http://www.mt-archive.info/AMTA-1997-Nasr.pdf			
Using WordNet to posit hierarchical structure in Levin’s verb classes	Mari Broman Olsen and Bonnie J. Dorr and David J. Clark	http://www.mt-archive.info/AMTA-1997-Olsen.pdf			
