Title	Authors	Pdf	Presentation	Volume_Name	Notes
Introduction to the workshop	Steven Krauwer	http://www.mt-archive.info/00/MTS-2001-RoadmapIntro.htm			
Four technical and organizational keys to handle more languages and improve quality (on demand) in MT	Christian Boitet	http://www.mt-archive.info/00/MTS-2001-Boitet.pdf			
Towards pragmatics-based machine translation	David Farwell and Stephen Helmreich	http://www.mt-archive.info/00/MTS-2001-Farwell.pdf			
Secondary benefits of feedback and user interaction in machine translation tools	Raymond S. Flournoy and Chris Callison-Burch	http://www.mt-archive.info/00/MTS-2001-Flournoy.pdf			
Working toward success in machine translation	Laurie Gerber	http://www.mt-archive.info/00/MTS-2001-Gerber.pdf			
Rethinking interaction: the solution for high-quality MT?	Elliott Macklovitch and Antonio S. Valderrábanos	http://www.mt-archive.info/00/MTS-2001-Macklovitch.pdf			
What can machine translation learn from speech recognition?	Franz Josef Och and Hermann Ney	http://www.mt-archive.info/00/MTS-2001-Och-2.pdf			
Design and implementation of controlled elicitation for machine translation of low-density languages	Katharina Probst and Ralf Brown and Jaime Carbonell and Alon Lavie and Lori Levin and Erik Peterson	http://www.mt-archive.info/00/MTS-2001-Probst.pdf			
Blueprints for MT evolution: reflections on "Elements of style"	Jörg Schütz	http://www.mt-archive.info/00/MTS-2001-Schutz.pdf			
Evaluating Chinese-English translation systems for personal name coverage	Benjamin K. Tsou and Oi Yee Kwong	http://www.mt-archive.info/00/MTS-2001-Tsou.pdf			
