Title	Authors	Pdf	Presentation	Volume_Name	Notes
Cover	Cover	http://www.mt-archive.info/MTS-2007-cover.pdf			Cover
Preface	Bente Maegaard	http://www.mt-archive.info/MTS-2007-preface.pdf			[ISBN: 978-87-90708-16-0]
Client centric multilingual information leveraging – scale the skills	Doris Marty-Albisser	http://www.mt-archive.info/05/MTS-2007-Marty-Albisser.pdf			Invited papers
Microsoft machine translation: from research to real user	Stephen Richardson	http://www.mt-archive.info/05/MTS-2007-Richardson.pdf			Invited papers
EuroMatrix – machine translation for all European languages	Philipp Koehn	http://www.mt-archive.info/MTS-2007-Koehn-1.pdf			Invited papers
Human communication technology – development of speech translation for hand-held devices	Akitoshi Okumura	http://www.mt-archive.info/MTS-2007-Okumura.pdf			Invited papers
Impact of controlled language on translation quality and post-editing in a statistical machine translation environment	Takako Aikawa and Lee Schwartz and Ronit King and Mo Corston-Oliver and Carmen Lozano	http://www.mt-archive.info/MTS-2007-Aikawa.pdf			Main conference papers
Improving speech-to-speech translation using word posterior probabilities	Vicente Alabau and Alberto Sanchis and Francisco Casacuberta	http://www.mt-archive.info/MTS-2007-Alabau.pdf			Main conference papers
Online learning methods for discriminative training of phrase based statistical machine translation	Abhishek Arun and Philipp Koehn	http://www.mt-archive.info/MTS-2007-Arun.pdf			Main conference papers
Automatic extraction of entries for a machine translation dictionary using bitexts	Julia Aymerich and Hermes Camelo	http://www.mt-archive.info/MTS-2007-Aymerich.pdf			Main conference papers
Translating from under-resourced languages: comparing direct transfer against pivot translation	Bogdan Babych and Anthony Hartley and Serge Sharoff	http://www.mt-archive.info/MTS-2007-Babych-1.pdf			Main conference papers
Dan2eng: wide-coverage Danish-English machine translation	Eckard Bick	http://www.mt-archive.info/MTS-2007-Bick.pdf			Main conference papers
Global Public Health Intelligence Network (GPHIN)	Michael Blench	http://www.mt-archive.info/MTS-2007-Blench.pdf			Main conference papers
Unsupervised syntax-based machine translation: the contribution of discontiguous phrases	Rens Bod	http://www.mt-archive.info/MTS-2007-Bod.pdf			Main conference papers
A system to mine large-scale bilingual dictionaries from monolingual web pages	Guihong Cao and Jianfeng Gao and Jian-Yun Nie	http://www.mt-archive.info/MTS-2007-Cao.pdf			Main conference papers
METIS-II: the German to English MT system	Michael Carl	http://www.mt-archive.info/MTS-2007-Carl.pdf			Main conference papers
Context-dependent phrasal translation lexicons for statistical machine translation	Marine Carpuat and Dekai Wu	http://www.mt-archive.info/MTS-2007-Carpuat.pdf			Main conference papers
Enhancing image-based Arabic document translation using noisy channel correction model	Yi Chang and Ying Zhang and Stephan Vogel and Jie Yang	http://www.mt-archive.info/MTS-2007-Chang-1.pdf			Main conference papers
A Chinese-to-Chinese statistical machine translation model for mining synonymous simplified-traditional Chinese terms	Jing-Shin Chang and Chun-Kai Kung	http://www.mt-archive.info/MTS-2007-Chang-2.pdf			Main conference papers
Incorporating constituent structure constraint into discriminative word alignment	Wen-Han Chao and Zhou-Jun Li	http://www.mt-archive.info/MTS-2007-Chao.pdf			Main conference papers
Better n-best translations through generative n-gram language models	Boxing Chen and Marcello Federico and Mauro Cettolo	http://www.mt-archive.info/MTS-2007-Chen.pdf			Main conference papers
Syntax-enhanced n-gram-based SMT	Josep M. Crego and José B. Mariño	http://www.mt-archive.info/MTS-2007-Crego.pdf			Main conference papers
All links are not the same: evaluating word alignments for statistical machine translation	Paul C. Davis and Zhuli Xie and Kevin Small	http://www.mt-archive.info/MTS-2007-Davis.pdf			Main conference papers
A state-of-the-art statistical machine translation system based on Moses	Daniel Déchelotte and Holger Schwenk and Hélène Bonneau-Maynard and Alexandre Allauzen and Gilles Adda	http://www.mt-archive.info/MTS-2007-Dechelotte.pdf			Main conference papers
Analogical translation of unknown words in a statistical machine translation framework	Etienne Denoual	http://www.mt-archive.info/MTS-2007-Denoual.pdf			Main conference papers
Arabic diacritization in the context of statistical machine translation	Mona Diab and Mahmoud Ghoneim and Nizar Habash	http://www.mt-archive.info/MTS-2007-Diab.pdf			Main conference papers
Automatic evaluation of machine translation based on recursive acquisition of an intuitive common parts continuum	Hiroshi Echizen-ya and Kenji Araki	http://www.mt-archive.info/MTS-2007-Echizen-ya.pdf			Main conference papers
Estimating phrase pair relevance for translation model pruning	Matthias Eck and Stephan Vogel and Alex Waibel	http://www.mt-archive.info/MTS-2007-Eck.pdf			Main conference papers
How much data is needed for reliable MT evaluation? Using bootstrapping to study human and automatic metrics	Paula Estrella and Olivier Hamon and Andrei Popescu-Belis	http://www.mt-archive.info/MTS-2007-Estrella-1.pdf			Main conference papers
Lexical translation with application to image searching on the web	Oren Etzioni and Kobi Reiter and Stephen Soderland and Marcus Sammer	http://www.mt-archive.info/MTS-2007-Etzioni.pdf			Main conference papers
Improving transfer-based MT systems with automatic refinements	Ariadna Font Llitjós and Jaime Carbonell and Alon Lavie	http://www.mt-archive.info/MTS-2007-Font-Llitjos.pdf			Main conference papers
Learning bilingual lexicons from comparable English and Spanish corpora	Pablo Gamallo Otero	http://www.mt-archive.info/MTS-2007-Gamallo-Otero.pdf			Main conference papers
Online and free! Ten years of online machine translation: origins, developments, current use and future prospects	Federico Gaspari and John Hutchins	http://www.mt-archive.info/MTS-2007-Gaspari-1.pdf			Main conference papers
POS-based reordering models for statistical machine translation	Deepa Gupta and Mauro Cettolo and Marcello Federico	http://www.mt-archive.info/MTS-2007-Gupta.pdf			Main conference papers
Syntactic preprocessing for statistical machine translation	Nizar Habash	http://www.mt-archive.info/MTS-2007-Habash-1.pdf			Main conference papers
End-to-end evaluation of a speech-to-speech translation system in TC-STAR	Olivier Hamon and Djamel Mostefa and Khalid Choukri	http://www.mt-archive.info/MTS-2007-Hamon-1.pdf			Main conference papers
Assessing human and automated quality judgments in the French MT evaluation campaign CESTA	Olivier Hamon and Anthony Hartley and Andrei Popescu-Belis and Khalid Choukri	http://www.mt-archive.info/MTS-2007-Hamon-2.pdf			Main conference papers
