Title	Authors	Pdf	Presentation	Volume_Name	Notes
Exploiting Patent Information for the Evaluation of Machine Translation	Atsushi Fujii and Masao Utiyama and Mikio Yamamoto and Takehito Utsuro	http://www.mt-archive.info/05/MTS-2009-Fujii.pdf			Third Workshop on Patent Translation
Meta-evaluation of Automatic Evaluation Methods for Machine using Patent Translation Data in NTCIR-7	Hiroshi Echizen-ya and Terumasa Ehara and Sayori Shimohata and Atsushi Fujii and Masao Utiyama and Mikio Yamamoto and Takehito Utsuro and Noriko Kando	http://www.mt-archive.info/05/MTS-2009-Echizen-ya.pdf			Third Workshop on Patent Translation
The Construction of a Chinese-English Patent Parallel Corpus	Bin Lu and Benjamin K.Tsou and Jingbo Zhu and Tao Jiang and Oi Yee Kwong	http://www.mt-archive.info/05/MTS-2009-Lu.pdf			Third Workshop on Patent Translation
An Efficient Patent Keyword Extractor as Translation Resource	Svetlana Sheremetyeva	http://www.mt-archive.info/05/MTS-2009-Sheremetyeva.pdf			Third Workshop on Patent Translation
Translation Disambiguation of Patent Sentences using Case Frames	Shoichi Yokoyama and Masumi Okuyama	http://www.mt-archive.info/05/MTS-2009-Yokoyama.pdf			Third Workshop on Patent Translation
Machine Translation at the EPO: Concept, Status and Future Plans	Sophie Mangin		http://www.mt-archive.info/05/MTS-2009-Mangin-ppt.pdf		Third Workshop on Patent Translation
SIPO’s Efforts on Improving Quality of Chinese-English Patent Machine Translation Service	Dan Wang		http://www.mt-archive.info/05/MTS-2009-Wang-1-ppt.pdf		Third Workshop on Patent Translation
KIPO’s MT Activity & IP5 mutual MT Project	Young-Pyo Kim		http://www.mt-archive.info/05/MTS-2009-Kim.pdf		Third Workshop on Patent Translation
Current Status of MT Application in JPO	Susumi Bani		http://www.mt-archive.info/05/MTS-2009-Bani-1-ppt.pdf		Third Workshop on Patent Translation
Introduction	Akira Ushioda		http://www.mt-archive.info/05/MTS-2009-Ushioda-ppt.pdf		Panel: Real World Challenges of Patent Translation
The Challenge of Machine Translation of Patent Specifications and the Approach of the European Patent Office	Georg Artelsmair		http://www.mt-archive.info/05/MTS-2009-Artelsmair-ppt.pdf		Panel: Real World Challenges of Patent Translation
Outline for the Panel Discussion from the SIPO	Tao Wang		http://www.mt-archive.info/05/MTS-2009-Wang-2-ppt.pdf		Panel: Real World Challenges of Patent Translation
Current Status and Future Expectation for Machine Translation	Susumi Bani		http://www.mt-archive.info/05/MTS-2009-Bani-2-ppt.pdf		Panel: Real World Challenges of Patent Translation
Translation of Patent Documents at the United States Patent and Trademark Office	Arti Shah		http://www.mt-archive.info/05/MTS-2009-Shah-ppt.pdf		Panel: Real World Challenges of Patent Translation
Panel on Patent Translation	Philipp Koehn		http://www.mt-archive.info/05/MTS-2009-Koehn-3-ppt.pdf		Panel: Real World Challenges of Patent Translation
