Title	Authors	Pdf	Presentation	Volume_Name	Notes
This translation is not too bad: an analysis of post-editor choices in a machine-translation post-editing task	Maarit Koponen	http://www.mt-archive.info/10/MTS-2013-W2-Koponen.pdf			
What can we learn about the selection mechanism for post-editing?	Maja Popović and Eleftherios Avramidis and Aljoscha Burchardt and David Vilar and Hans Uszkoreit	http://www.mt-archive.info/10/MTS-2013-W2-Popovic.pdf			
User attitudes to the post-editing interface	Joss Moorkens and Sharon O’Brien	http://www.mt-archive.info/10/MTS-2013-W2-Moorkens.pdf			
Integrated post-editing and translation management for lay user communities	Adrian Laurenzi and Megumu Brownstein and Anne M.Turner and Katrin Kirchhoff	http://www.mt-archive.info/10/MTS-2013-W2-Laurenzi.pdf			
Community-based post-editing of machine-translated content: monolingual vs. bilingual	Linda Mitchell and Johann Roturier and Sharon O’Brien	http://www.mt-archive.info/10/MTS-2013-W2-Mitchell.pdf			
Combining pre-editing and post-editing to improve SMT of user-generated content	Johanna Gerlach and Victoria Porro and Pierrette Bouillon and Sabine Lehmann	http://www.mt-archive.info/10/MTS-2013-W2-Gerlach.pdf			
Advanced computer aided translation with a web-based workbench	Vicent Alabau and Ragnar Bonk and Christian Buck and Michael Carl and Francisco Casacuberta and Mercedes García-Martínez and Jesús González and Philipp Koehn and Luis Leiva and Bartolomé Mesa-Lao and Daniel Oriz and Hervé Saint-Amand and Germán Sanchis and Chara Tsiukala	http://www.mt-archive.info/10/MTS-2013-W2-Alabau.pdf			
Quality as the sum of its parts: a two-step approach for the identification of translation problems and translation quality assessment for HT and MT+PE	Joke Daems and Lieve Macken and Sonia Vandepitte	http://www.mt-archive.info/10/MTS-2013-W2-Daems.pdf			
Transferring markup tags in statistical machine translation: a two-stream approach	Eric Joanis and Darlene Stewart and Samuel Larkin and Roland Kuhn	http://www.mt-archive.info/10/MTS-2013-W2-Joanis.pdf			
Assessing post-editing efficiency in a realistic translation environment	Samuel Läubli and Mark Fishel and Gary Massey and Maureen Ehrensberger-Dow and Martin Volk	http://www.mt-archive.info/10/MTS-2013-W2-Laubli.pdf			
An evaluation of tools for post-editing research: the current picture and future needs	Lucas Nunes Vieira	http://www.mt-archive.info/10/MTS-2013-W2-Nunes.pdf			
Online production of HQ parallel corpora and permanent task-based evaluation of multiple MT systems: both can be obtained through iMAGs with no added cost	Lingxiao Wang and Christian Boitet	http://www.mt-archive.info/10/MTS-2013-W2-Wang.pdf			
Issues in incremental adaptation of statistical MT from human post-edits	Mauro Cettolo and Christophe Servan and Nicola Bertoldi and Marcello Federico and Loïc Barrault and Holger Schwenk	http://www.mt-archive.info/10/MTS-2013-W2-Cettolo.pdf			
The ACCEPT post-editing environment: a flexible and customisable online tool to perform and analyse machine translation post-editing	Johann Roturier and Linda Mitchell and David Silva	http://www.mt-archive.info/10/MTS-2013-W2-Roturier.pdf			
