Title	Authors	Pdf	Presentation	Volume_Name	Notes
Patent claim translation based on sublanguage-specific sentence structure	Masaru Fuji and Atsushi Fujita and Masao Utiyama and Eiichiro Sumita and Yuji Matsumoto	http://www.mt-archive.info/15/MTS-2015-Fuji.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Japanese news simplification: tak design, data set construction, and analysis of simplified text	Isao Goto and Hideki Tanaka and Tadashi Kumano	http://www.mt-archive.info/15/MTS-2015-Goto.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Learning bilingual distributed phrase represenations for statistical machine translation	Chaochao Wang and Deyi Xiong and Min Zhang and Chunyu Kit	http://www.mt-archive.info/15/MTS-2015-Wang.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Learning bilingual phrase representations with recurrent neural networks	Hideya Mino and Andrew Finch and Eiichiro Sumita	http://www.mt-archive.info/15/MTS-2015-Mino.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
A pilot study towards end-to-end MT training	Feifei Zhai and Liang Huang	http://www.mt-archive.info/15/MTS-2015-Zhai.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Automatic detection of antecedents of Japanese zero pronouns using a Japanese-English bilingual corpus	Dong Zhan and Hiromi Nakaiwa	http://www.mt-archive.info/15/MTS-2015-Zhan.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
METEOR for multiple target languages using DBnary	Zied Elloumi and Hervé Blanchon and Gilles Serasset and Laurent Besacier	http://www.mt-archive.info/15/MTS-2015-Elloumi.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Japanese controlled language rules to improve machine translatability of municipal documents	Rei Miyata and Anthony Hartley and Cécile Paris and Midori Tatsumi and Kyo Kageura	http://www.mt-archive.info/15/MTS-2015-Miyata.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Morphological constraints for phrase pivot statistical machine translation	Ahmed El Kholy and Nizar Habash	http://www.mt-archive.info/15/MTS-2015-ElKholy.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Using joint models or domain adaptation in statistical machine translation	Nadir Durrani and Hassan Sajjad and Shafiq Joty and Ahmed Abdelali and Stephan Vogel	http://www.mt-archive.info/15/MTS-2015-Durrani.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
Machine translation evaluation made fuzzier: a study on post-editing productivity and evaluation metrics in commercial settings	Carla Parra Escartín and Manuel Arcedillo	http://www.mt-archive.info/15/MTS-2015-Parra-Escartin.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
A distributed inflection model for translating into morphologically rich languages	Ke Tran and Arianna Bisazza and Christof Monz	http://www.mt-archive.info/15/MTS-2015-Tran.pdf		Vol.1: MT Researchers’ Track	Vol.1: MT Researchers’ Track
