Title	Authors	Pdf	Presentation	Volume_Name	Notes
Full-text patent translation at WIPO; scalability, quality and usability	Bruno Pouliquen	http://www.mt-archive.info/15/MTS-2015-W2-Pouliquen.pdf			Patent and Scientific Literature Translation (WPSLT)
Initiatives of the Japan Patent Office	Kei Kato	http://www.mt-archive.info/15/MTS-2015-W2-Kato.pdf			Patent and Scientific Literature Translation (WPSLT)
Improving translator productivity with MT: a patent translation case study	John Tinsley	http://www.mt-archive.info/15/MTS-2015-W2-Tinsley.pdf			Patent and Scientific Literature Translation (WPSLT)
Response-based learning for patent translation	Stefan Riezler	http://www.mt-archive.info/15/MTS-2015-W2-Riezer.pdf			Patent and Scientific Literature Translation (WPSLT)
Promoting science and technology exchange using machine translation	Toshiaki Nakazawa	http://www.mt-archive.info/15/MTS-2015-W2-Nakazawa.pdf			Patent and Scientific Literature Translation (WPSLT)
Simplify sentence structure for improving human post-editing efficiency on Chinese-to-English patent machine translation	Xiaona Ren and Yongpeng Wei and Rile Hu	http://www.mt-archive.info/15/MTS-2015-W2-Ren.pdf			Patent and Scientific Literature Translation (WPSLT)
Enhancing function word translation with syntax-based statistical post-editing	John Richardson and Toshiaki Nakazawa and Sadao Kurohashi	http://www.mt-archive.info/15/MTS-2015-W2-Richardson.pdf			Patent and Scientific Literature Translation (WPSLT)
A hybrid system for Chinese-English patent machine translation	Hongzheng Li and Kai Zhao and Renfen Hu and Yun Zhu and Yaohong Jin	http://www.mt-archive.info/15/MTS-2015-W2-Li.pdf			Patent and Scientific Literature Translation (WPSLT)
Collecting bilingual technical terms from patent families of character-segmented Chinese sentences and morpheme-segmented Japanese sentences	Zi Long and Takehito Utsuro and Tomoharu Mitsuhashi and Mikio Yamamoto	http://www.mt-archive.info/15/MTS-2015-W2-Long.pdf			Patent and Scientific Literature Translation (WPSLT)
Resampling approach for instance-based domain adaptation from patent domain to newspaper domain in statistical machine translation	Keisuke Noguchi and Takashi Ninomiya	http://www.mt-archive.info/15/MTS-2015-W2-Noguchi.pdf			Patent and Scientific Literature Translation (WPSLT)
Towards cross-lingual patent wikification	Takashi Tsunakawa and Hiroyuki Kaji	http://www.mt-archive.info/15/MTS-2015-W2-Tsunakawa.pdf			Patent and Scientific Literature Translation (WPSLT)
