Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
NTCIR-3 cross-language IR experiments at ULIS	Atsushi Fujii and Tetsuya Ishikawa	http://www.mt-archive.info/jnl/NTCIR-2002-Fujii.pdf				
Experiments on cross-language and patent retrieval at NTCIR-3 worksho	Aitao Chen and Frederic C.Gey	http://www.mt-archive.info/jnl/NTCIR-2002-Chen.pdf				
NTCIR-3 CLIR experiments at MSRA	Hongzhao He and Jianfeng Gao	http://www.mt-archive.info/jnl/NTCIR-2002-He.pdf				
Simple query translation methods for Korean-English and Korean-Chinese CLIR in NTCIR experiments.	Myung Gil Jang and Pyung Kim and Yun Jin and Suk-Hyun Cho and Sung Hyon Myaeng	http://www.mt-archive.info/jnl/NTCIR-2002-Jang.pdf				
NTCIR-3 Chinese, cross language retrieval experiments using PIRCS	K.L.Kwok	http://www.mt-archive.info/jnl/NTCIR-2002-Kwok.pdf				
Description of NTU approach to NTCIR3 multilingual information retrieval	Wen-Cheng Lin and Hsin-Hsi Chen	http://www.mt-archive.info/jnl/NTCIR-2002-Lin.pdf				
Thomson Legal and Regulatory at NTCIR-: Japanese, Chinese and English retrieval experiments	Isabelle Moulinier and Hugo Molina-Salgado and Peter Jackson	http://www.mt-archive.info/jnl/NTCIR-2002-Moulinier.pdf				
English-Japanese cross-lingual query expansion using random indexing of aligned bilingual text data.	Magnus Sahlgren and Preben Hansen and Jussi Karlgren	http://www.mt-archive.info/jnl/NTCIR-2002-Sahlgren.pdf				
Toshiba KIDS at NTCIR-: Japanese and English-Japanese IR	Tetsuya Sakai and Makoto Koyama and Masaru Suzuki and Toshihiko Manabe	http://www.mt-archive.info/jnl/NTCIR-2002-Sakai.pdf				
KUNLP system for NTCIR-3 English-Korean cross-language information retrieval	Hee-Cheol Seo and Sang-Bum Kim and Baeg-Il Kim and Hae-Chang Rim and Sang-Zoo Lee	http://www.mt-archive.info/jnl/NTCIR-2002-Seo.pdf				
CMU in cross-language information retrieval at NTCIR-	Yiming Yang and Nianli Ma	http://www.mt-archive.info/jnl/NTCIR-2002-Yang.pdf				
ISCAS at NTCIR-3: monolingual, bilingual and multilingual IR	Junlin Zhang and Le Sun and Weimin Qu and Lin Du and Yufang Sun and Yangxing Fan and Zhigen Lin	http://www.mt-archive.info/jnl/NTCIR-2002-Zhang.pdf				
