Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Introduction.	John McNaught	http://www.mt-archive.info/90/UMIST-1990-McNaught.pdf				
Current research in machine translation.	Harold L.Somers	http://www.mt-archive.info/90/UMIST-1990-Somers.pdf				
The use of sublanguages in machine translation.	Effie Ananiadou	http://www.mt-archive.info/90/UMIST-1990-Ananiadou.pdf				
The lexicon in MT.	R.Lee Humphreys	http://www.mt-archive.info/90/UMIST-1990-Humphreys.pdf				
1991-1992: the Eurotra transition programme.	Jeanette M.Pugh	http://www.mt-archive.info/90/UMIST-1990-Pugh.pdf				
METAL: computer integrated translation.	Gr.Thurmair	http://www.mt-archive.info/90/UMIST-1990-Thurmair.pdf				
Automatic interpreting telephony research at ATR.	Tsuyoshi Morimoto	http://www.mt-archive.info/90/UMIST-1990-Morimoto.pdf				
Work at British Telecom in automatic interpretation and translation.	F.W.Stentiford	http://www.mt-archive.info/90/UMIST-1990-Stentiford.pdf				
An introduction to statistical machine translation.	R.A.Sharman	http://www.mt-archive.info/90/UMIST-1990-Sharman.pdf				
Codescription and transfer.	Louisa Sadler	http://www.mt-archive.info/90/UMIST-1990-Sadler.pdf				
Two level morphology in a unification based formalism.	Vito Pirrelli	http://www.mt-archive.info/90/UMIST-1990-Pirrelli.pdf				
Rapportage from the discussion group ‘Discourse and linguistics for MT’.	Doug Arnold	http://www.mt-archive.info/90/UMIST-1990-Arnold.pdf				
Large-scale discourse structures and machine translation.	Karen Sparck Jones	http://www.mt-archive.info/90/UMIST-1990-Sparck-Jones.pdf				
Running a robust dialogue system.	William J.Black	http://www.mt-archive.info/90/UMIST-1990-Black.pdf				
Guranteed high quality translation for monolinguals. 	D.Jones	http://www.mt-archive.info/90/UMIST-1990-Arnold.pdf				abstract
Rapportage from the discussion group ‘Speech/NL interaction and MT’.	Kate Morton	http://www.mt-archive.info/90/UMIST-1990-Morton.pdf				
Speech. [Contribution to discussion group ‘Speech/NL interaction and MT’] 	Marcel Tatham	http://www.mt-archive.info/90/UMIST-1990-Morton.pdf				
Functional architectures for spoken MT. [Contribution to discussion group ‘Speech/NL interaction and MT’] 	John Connolly	http://www.mt-archive.info/90/UMIST-1990-Morton.pdf				
Machine translation with syntactic neural networks. [Contribution to discussion group ‘Speech/NL interaction and MT’] 	Simon Lucas	http://www.mt-archive.info/90/UMIST-1990-Morton.pdf				
The Eurotra (UK) monolingual disctionary.	Kerry Maxwell and Blaise Nkwenti-Azeh	http://www.mt-archive.info/90/UMIST-1990-Maxwell.pdf				
Dictionaries for machine and machine-aided translation (MT & MAT).	Frank Knowles	http://www.mt-archive.info/90/UMIST-1990-Knowles.pdf				
The lexicon and MT: a position paper.	Jeremy Clear	http://www.mt-archive.info/90/UMIST-1990-Clear.pdf				
Interactive translation using quasi logical forms.	Hiyan Alshawi and David Carter	http://www.mt-archive.info/90/UMIST-1990-Alshawi.pdf				
Mel’čuk’s explanatory-combinatorial dictionary and its relevance for machine translation.	Andy Way	http://www.mt-archive.info/90/UMIST-1990-Way.pdf				
Generation for MT in English in Eurotra.	Ian Crookston	http://www.mt-archive.info/90/UMIST-1990-Crookston.pdf				
The work of the EUROTRA linguistic specifications group .	Paul Bennett and Jacques Durand	http://www.mt-archive.info/90/UMIST-1990-Bennett.pdf				abstract
Complex transfer in EUROTRA.	Lorna Balkan	http://www.mt-archive.info/90/UMIST-1990-Balkan.pdf				
Automated production of domain-specific machine translation systems.	J.D.Phillips	http://www.mt-archive.info/90/UMIST-1990-Phillips.pdf				
The EUROTRA machine translation system.	Anand Syea	http://www.mt-archive.info/90/UMIST-1990-Syea.pdf				
List of participants. 		http://www.mt-archive.info/UMIST-1990-participants.pdf				
