Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
A First-Pass Approach for Evaluating Machine Translation Systems	Pamela Jordan	http://www.mt-archive.info/90/ISSCO-1991-Jordan.pdf			1	Theme 1:  Aspects of overall acceptability of an MT system
Evaluation of Machine Translation Systems from a Use’s Viewpoint – Some Critical Comments	Ursula Bernhard	http://www.mt-archive.info/90/ISSCO-1991-Bernhard.pdf			25	Theme 1:  Aspects of overall acceptability of an MT system
The Role of Lexicons	Susanne Schlenker	http://www.mt-archive.info/90/ISSCO-1991-Schlenker.pdf			29	Theme 1:  Aspects of overall acceptability of an MT system
Evaluating Commercial MT Systems	Elliott Macklovitch	http://www.mt-archive.info/90/ISSCO-1991-Macklovitch.pdf			37	Theme 2:  Reports on some actual evaluations
Evaluation of MT Systems at Union Bank of Switzerland	Doris Albisser	http://www.mt-archive.info/90/ISSCO-1991-Albisser.pdf			51	Theme 2:  Reports on some actual evaluations
User-Oriented MT Evaluation and Text Typology	R. Lee Humphreys	http://www.mt-archive.info/90/ISSCO-1991-Humphreys.pdf			55	Theme 3:  Types of test material
A Management Tool for Test Corpora	Gerardo Arrarte and Teófilo Redondo and Miguel Sobejano and Isabel Zapata	http://www.mt-archive.info/90/ISSCO-1991-Arrarte.pdf			65	Theme 3:  Types of test material
Quality Criteria for MT	Lorna Balkan	http://www.mt-archive.info/90/ISSCO-1991-Balkan-1.pdf			73	Theme 4:   Intelligibility, fidelity and other aspects of adequacy of translations
Declarative Evaluation of an MT System: Practical Experiences	Lorna Balkan and Matthias Jäschke and Lee Humphreys and Siety Meijer and Andy Way	http://www.mt-archive.info/90/ISSCO-1991-Balkan-2.pdf			85	Theme 4:   Intelligibility, fidelity and other aspects of adequacy of translations
Constructive Machine Translation Evaluation	Stephen Minnis	http://www.mt-archive.info/90/ISSCO-1991-Minnis.pdf			99	Theme 4:   Intelligibility, fidelity and other aspects of adequacy of translations
Recipes for Escaping from the Partial Ordering of Candidate Translations: Some Consequences for the Evaluation of MT Systems	Jan Dings	http://www.mt-archive.info/90/ISSCO-1991-Dings.pdf			117	Theme 4:   Intelligibility, fidelity and other aspects of adequacy of translations
A Procedure for the Evaluation and Improvement of an MT System by the End- User	Brigitte Roudaud	http://www.mt-archive.info/90/ISSCO-1991-Roudaud.pdf			129	Theme 5: Approaches to error analysis
Evaluation of Machine Translation Systems: A System Developer’s Viewpoint	Harri Jäppinen and L. Kulikov	http://www.mt-archive.info/90/ISSCO-1991-Jappinen.pdf			143	Theme 5: Approaches to error analysis
The Respective Roles of the “Industrial Evaluators” and the System Developers in the Evaluation of MT Systems	Sylvie Régnier	http://www.mt-archive.info/90/ISSCO-1991-Regnier.pdf			157	Theme 5: Approaches to error analysis
Comparative MT Performance Evaluation: an empirical study	Adriane Rinsche	http://www.mt-archive.info/90/ISSCO-1991-Rinsche.pdf			169	Theme 5: Approaches to error analysis
Measuring Compositionality of Transfer	Björn Gambäck and Manny Rayner and Hiyan Alshawi and David Carter	http://www.mt-archive.info/90/ISSCO-1991-Gamback.pdf			181	Theme 6: Test suites and standard test approaches
Automatic Evaluation of Output Quality for Machine Translation Systems	Yu Shiwen	http://www.mt-archive.info/90/ISSCO-1991-Yu.pdf			185	Theme 6: Test suites and standard test approaches
Some Practical Experience with the Use of Test Suites for the Evaluation of SYSTRAN	Ulrich Heid and Elke Hildenbrand	http://www.mt-archive.info/90/ISSCO-1991-Heid.pdf			195	Theme 6: Test suites and standard test approaches
Automatic Evaluation of Translation Quality: Outline of Methodology and Report on Pilot Experiment	Henry S. Thompson	http://www.mt-archive.info/90/ISSCO-1991-Thompson.pdf			215	Theme 6: Test suites and standard test approaches
Test Suites as a Means for the Evaluation of Machine Translation Systems Developer- Oriented Evaluation of MT Systems	Yves Lepage	http://www.mt-archive.info/90/ISSCO-1991-Lepage.pdf			225	Theme 7:  Test suites and standard test approaches, continued
Developer- Oriented Evaluation of MT Systems	Andrew Way	http://www.mt-archive.info/90/ISSCO-1991-Way.pdf			237	Theme 7:  Test suites and standard test approaches, continued
Evaluation of MT Systems - A Programmatic View	Steven Krauwer	http://www.mt-archive.info/90/ISSCO-1991-Krauwer.pdf			245	Theme 7:  Test suites and standard test approaches, continued
