Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Preface	M.Vasconcellos	http://www.mt-archive.info/90/AMTA-1992-preface.pdf				PROGRAM and Proceedings
Traditions in the Evaluation of MT	Y. Wilks	http://www.mt-archive.info/90/AMTA-1992-Wilks.pdf				
International Working Group on MT Evaluation	M. King	http://www.mt-archive.info/90/AMTA-1992-King.pdf				International Coordination
EC Evaluation Activities	L. Rolling	http://www.mt-archive.info/90/AMTA-1992-Rolling.pdf				International Coordination
The JEIDA Methodology and Survey	H. Nomura and H. Isahara	http://www.mt-archive.info/90/AMTA-1992-Nomura.pdf				Evaluation Surveys
The MITRE Methodology and Survey	P. Jordan and J. Benoit and B. Dorr	http://www.mt-archive.info/90/AMTA-1992-Jordan.pdf				Evaluation Surveys
Objective	G.Doddington	http://www.mt-archive.info/90/AMTA-1992-Doddington.pdf				The DARPA Methodology
Presentation	J. White	http://www.mt-archive.info/90/AMTA-1992-White.pdf				The DARPA Methodology
Discussion	P. Brown and L. Carlson and G. Doddington and D. Farwell and E. Hovy and E. Lange and M. Leon and M. Mandel and S. Nirenburg and R. Berwick and L. Rolling and M. Vasconcellos 	http://www.mt-archive.info/90/AMTA-1992-panel-1.pdf				The DARPA Methodology
It’s Lucky If Concatenation Does Anything	R. Berwick	http://www.mt-archive.info/90/AMTA-1992-Berwick.pdf				New Directions
Automatic Evaluation of Translation Quality	H. Thompson	http://www.mt-archive.info/90/AMTA-1992-Thompson.pdf				New Directions
Evaluation of the Machine-Aided Voice Translation System	C.A. Montgomery	http://www.mt-archive.info/90/AMTA-1992-Montgomery.pdf				New Directions
Evaluation of Related NLP Research		http://www.mt-archive.info/90/AMTA-1992-session-1.pdf				Evaluation of Related NLP Research
Message Understanding: The MUC Methodology	B. Sundheim					Evaluation of Related NLP Research
Semi-Automated Evaluation of Japanese and English Output	L. Carlson					Evaluation of Related NLP Research
The Murasaki Project: Multilingual Natural Language Understanding	R. Doerr					Evaluation of Related NLP Research
Measurement of Human Performance for Information Extraction	C. Will and B. Onyshkevych					Evaluation of Related NLP Research
"Apples, Oranges, or Kiwis?" Criteria for the Comparison of Systems	M. Vasconcellos and R. Dessau and E. Hovy and V. Lawson and C. Miller and M. Nagao and B. Scott and M.Tacelosky	http://www.mt-archive.info/90/AMTA-1992-panel-2.pdf				"Apples, Oranges, or Kiwis?" Criteria for the Comparison of Systems—
Internal Evaluation		http://www.mt-archive.info/90/AMTA-1992-session-2.pdf				Internal Evaluation
Practical Use and Effect of the JICST Japanese-English Machine Translation System	K. Tamura and I. Tominaga					Internal Evaluation
LOGOS	B. Scott					Internal Evaluation
Methodology for the Computing Research Laboratory’s Multilingual MT System	D. Farwell					Internal Evaluation
Quality Analysis, an Internal Evaluation Tool at SYSTRAN	E. Lange and J. Homer and L. Gerber					Internal Evaluation
METAL	W. S. Bennett					Internal Evaluation
Criteria for Evaluating the Linguistic Quality of Japanese-English MT	S. Ikehara	http://www.mt-archive.info/90/AMTA-1992-Ikehara.pdf				Approaches to the Evaluation of Japanese-English MT
Application of the TOEFL Test to the Evaluation of Japanese-English MT	M. Tomita	http://www.mt-archive.info/90/AMTA-1992-Tomita.pdf				Approaches to the Evaluation of Japanese-English MT
Evaluation of Lexical Coverage	G. Magnusdottir	http://www.mt-archive.info/90/AMTA-1992-Magnusdottir.pdf				
Discussion: Assessing the Labor-intensive Elements of MT	M. León and D. Albisser and M. Baena and L. Childs and G. Magnusdottir	http://www.mt-archive.info/90/AMTA-1992-panel-3.pdf				
Results of the Warmup Exercises	M. León	http://www.mt-archive.info/90/AMTA-1992-Leon.pdf				
Discussion: Future Directions in MT	S. Nirenburg and W.S. Bennett and B. Dorr and E. Hovy and S. Ikehara and M. King and A. Melby and M. Nagao and M. Tomita and V. Teller	http://www.mt-archive.info/90/AMTA-1992-panel-4.pdf				Future Directions in MT—
IAMT	M. Nagao					Closing Messages
AMTA	M. Vasconcellos					Closing Messages
Machine Translation Evaluation Criteria	R.Dessau	http://www.mt-archive.info/90/AMTA-1992-Dessau.pdf				Annex A
Warmup exercises [introduction]		http://www.mt-archive.info/90/AMTA-1992-Warmup.pdf				Annex B
Machine Translation Evaluation Methodology	J.Baker and P.Brown and L.Carlson and E.Hovy and C.Wayne and J.White	http://www.mt-archive.info/90/DARPA-1992-Baker.pdf				Annex B
Photocopy of Appendix of the ALPAC report An experiment in evaluating the quality of translations		http://www.mt-archive.info/90/ALPAC-1966-app10.pdf				Annex B
Texts, translations, questions, instructions		http://www.mt-archive.info/90/AMTA-1992-texts.pdf				Annex B
