Title	Authors	Pdf	Presentation	Volume_Name	Notes
Translation	Warren Weaver	http://www.mt-archive.info/50/Weaver-1949.pdf			Pre-conference material circulated to attendees
Present interest in mechanical translation	W.F.Loomis	http://www.mt-archive.info/50/Loomis-1951.pdf			Pre-conference material circulated to attendees
Conference on mechanical translation	Yehoshua Bar-Hillel	http://www.mt-archive.info/50/MIT-1952-invitations.pdf			Pre-conference material circulated to attendees
The present state of research on mechanical translation	Yehoshua Bar-Hillel	http://www.mt-archive.info/50/Bar-Hillel-1951.pdf			Pre-conference material circulated to attendees
Mechanical translation: needs and possibilities	Yehoshua Bar-Hillel	http://www.mt-archive.info/50/MIT-1952-Bar-Hillel-1.pdf			
Human translation versus machine translation 	Leon Dostert				
The structure of the problem of mechanical translation	Olaf Helmer	http://www.mt-archive.info/50/MIT-1952-Helmer.pdf			
How intelligent can a machine translator be? 	Andrew D. Booth				
Machine techniques in index searching and translation 	James W. Perry				
Mechanical translation with a pre-editor, and writing for MT	Erwin Reifler	http://www.mt-archive.info/50/MIT-1952-Reifler-1.pdf			
The treatment of "idioms" by a translating machine	Yehoshua Bar-Hillel	http://www.mt-archive.info/50/MIT-1952-Bar-Hillel-2.pdf			
Model English for mechanical translation	Stuart C. Dodd	http://www.mt-archive.info/50/MIT-1952-Dodd.pdf			
Word-by-word translation	Victor A. Oswald	http://www.mt-archive.info/50/MIT-1952-Oswald-2.pdf			
Operational grammar	Yehoshua Bar-Hillel	http://www.mt-archive.info/50/MIT-1952-Bar-Hillel-3.pdf			
Mechanical translation of printed and spoken material 	William N. Locke				
Microsemantics	Victor A. Oswald	http://www.mt-archive.info/50/MIT-1952-Oswald-1.pdf			
Problems of vocabulary frequency and distribution	William E. Bull	http://www.mt-archive.info/50/MIT-1952-Bull.pdf			
General mechanical translation and universal grammar	Erwin Reifler	http://www.mt-archive.info/50/MIT-1952-Reifler-2.pdf			
Basic machine operations in mechanical translation 	Harry D. Huskey				
Problems of storage and cost 	Jay W. Forrester				
Some methods of mechanized translation	A. Donald Booth and Richard H. Richens	http://www.mt-archive.info/50/MIT-1952-Richens.pdf			
Teaching foreign languages or MT and language teaching ? 	William E. Bull				
Machine techniques for index searching and for machine translation	James W. Perry	http://www.mt-archive.info/50/MIT-1952-Perry.pdf			
Transcript of discussions: Copy of original transcript		http://www.mt-archive.info/50/MIT-1952-transcript-original.pdf			Post-conference materials
The first conference on mechanical translation	Reifler and Erwin	http://www.mt-archive.info/50/MT-1954-Reifler.pdf			Post-conference materials
The conference on mechanical translation held at M.I.T., June 17-20, 1952	Reynolds and Craig	http://www.mt-archive.info/50/MT-1954-Reynolds.pdf			Post-conference materials
