Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
A New Era in Machine Translation Research	John Hutchins	http://www.mt-archive.info/90/Aslib-1994-Hutchins.pdf			1	
Terms are not alone: term choice and choice terms	Sophia Ananiadou	http://www.mt-archive.info/90/Aslib-1994-Ananiadou.pdf			14	
Developments in Voice and Language Technology	Helen McCready and Francoise Moreau	http://www.mt-archive.info/90/Aslib-1994-McCready.pdf			33	
Interactive Corpus-based Translation Learning Tool (Translearn)	Stelios Piperidis	http://www.mt-archive.info/90/Aslib-1994-Piperidis.pdf			37	
Test Suites for Natural Language Processing	Lorna Balkan	http://www.mt-archive.info/90/Aslib-1994-Balkan.pdf			51	
Integration into Workflow - what makes MT work?	Chris Pyne	http://www.mt-archive.info/90/Aslib-1994-Pyne.pdf			59	
Developments in Systran	Dorothy Senez	http://www.mt-archive.info/90/Aslib-1994-Senez.pdf			65	
Simplified English grammar and style correction in an MT framework: The LRE SECC Project	Geert Adriaens	http://www.mt-archive.info/90/Aslib-1994-Adriaens.pdf			78	
Translating in Cyberspace: the coming industry of tele-translation	Minako O'Hagan	http://www.mt-archive.info/90/Aslib-1994-OHagan.pdf			89	??Also presented (but not in the proceedings):
Practical Choices for Hardware and Software	Peter Ball	http://www.mt-archive.info/90/Aslib-1994-Ball.pdf			89	?? Also presented (but not in the proceedings):
The Impact of Enlargement on Translation in Sweden: Assessment and Guesswork	David Canter	http://www.mt-archive.info/90/Aslib-1994-Canter.pdf				
