Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Information Technologie for the European Multilingual Information Society 	Horst Förster					Keynote
Machine Translation Research at Google Inc.	Franz Och					
MT Research in Japan	Hitoshi Isahara		http://www.mt-archive.info/05/Translingual-Europe-2009-Isahara-ppt.pdf			
Progress in Statistical MT and International Evaluation	Philipp Koehn		http://www.mt-archive.info/05/Translingual-Europe-2009-Koehn-ppt.pdf			
Tree-Based MT	Jan Hajič		http://www.mt-archive.info/05/Translingual-Europe-2009-Hajic-ppt.pdf			
Hybrid Machine Translation	Hans Uszkoreit		http://www.mt-archive.info/05/Translingual-Europe-2009-Uszkoreit-1-ppt.pdf			
Will there be a winner? Competitiion of the MT paradigms. Contribution to panel.	Jaime Carbonell		http://www.mt-archive.info/Translingual-Europe-2009-Carbonell-1-ppt.pdf			
Will there be a winner? Competitiion of the MT paradigms. Contribution to panel.	Daniel Grasmick		http://www.mt-archive.info/Translingual-Europe-2009-Grasmick-ppt.pdf			
Will there be a winner? Competitiion of the MT paradigms. Contribution to panel.	Philipp Koehn					
Will there be a winner? Competitiion of the MT paradigms. Contribution to panel.	Franz Och 					
Will there be a winner? Competitiion of the MT paradigms. Contribution to panel.	Hans Uszkoreit 		http://www.mt-archive.info/Translingual-Europe-2009-Uszkoreit-2-ppt.pdf			
New Paradigms for Machine Translation	Jaime Carbonell		http://www.mt-archive.info/05/Translingual-Europe-2009-Carbonell-2-ppt.pdf			
MT in a Large Corporation	Joerg Porsiel	http://www.mt-archive.info/05/Multilingual-2008-Porsiel.pdf				
MT Needs of Translation Enterprises	David Matuška					
MT Needs of the EC Translation Services	Josep Bonet-Heras		http://www.mt-archive.info/05/Translingual-Europe-2009-Bonet-ppt.pdf			
The Challenge of Patent Translation and the Strategy at EPO	Georg Artelsmair		http://www.mt-archive.info/05/Translingual-Europe-2009-Artelsmair-ppt.pdf			
Controlled Language for MT in Action	Johann Roturier		http://www.mt-archive.info/05/Translingual-Europe-2009-Roturier-ppt.pdf			
Demands and Potentials of European LT Enterprises	Gudrun Magnusdottir		http://www.mt-archive.info/05/Translingual-Europe-2009-Magnusdottir-ppt.pdf			
Will There Be Winners? Panel on European Needs, Priorities and Strategies						
Will There Be Winners? Panel on European Needs, Priorities and Strategies 			http://www.mt-archive.info/05/Translingual-Europe-2009-Perena-ppt.pdf			
Will There Be Winners? Panel on European Needs, Priorities and Strategies. Contribution to panel.	Monika Pereña		http://www.mt-archive.info/Translingual-Europe-2009-Perena-ppt.pdf			
Will There Be Winners? Panel on European Needs, Priorities and Strategies. Contribution to panel.	Gabor Proszeky 					
Will There Be Winners? Panel on European Needs, Priorities and Strategies. Contribution to panel.	Gregor Thurmair 		http://www.mt-archive.info/Translingual-Europe-2009-Thurmair-ppt.pdf			
