Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Translation equivalence and lexicalization in the ACQUILEX LKB	Antonio Sanfilippo and Ted Briscoe and Ann Copestake and Maria Antonia Marti and Mariona Taulé and Antonietta Alonge	http://www.mt-archive.info/90/TMI-1992-Sanfilippo.pdf			1-11	
Locations in the machine translation of prepositional phrases	Arturo Trujillo	http://www.mt-archive.info/90/TMI-1992-Trujillo.pdf			13-20	
Translation in the predicative element of a sentence: category switiching, aspect and diathesis	Laurence Danlos and Pollet Samvelian	http://www.mt-archive.info/90/TMI-1992-Danlos.pdf			21-34	
Example-based machine translation using connectionist matching	Ian J. McLean	http://www.mt-archive.info/90/TMI-1992-McLean.pdf			35-43	
A pattern-learning based, hybrid model for the syntactic analysis of structural relationships among Japanese clauses	Akitoshi Okumura and Kazunori Muraki and Kiyoshi Yamabana	http://www.mt-archive.info/90/TMI-1992-Okumura.pdf			45-54	
Natural language analysis using a network model - Modification Deciding Network	Masahiko Ishikawa and Ryoichi Sugimura	http://www.mt-archive.info/90/TMI-1992-Ishikawa.pdf			55-66	
Using cognates to align sentences in bilingual corpora	Michel Simard and George F. Foster and Pierre Isabelle	http://www.mt-archive.info/90/TMI-1992-Simard.pdf			67-81	
Analysis, statistical transfer, and synthesis in machine translation	Peter F. Brown and Stephen A. Della Pietra and Vincent J. Della Pietra and John D. Lafferty and Robert L. Mercer	http://www.mt-archive.info/90/TMI-1992-Brown.pdf			83-100	
Using bilingual materials to develop word sense disambiguation methods	William A. Gale and Kenneth W. Church and David Yarowsky	http://www.mt-archive.info/90/TMI-1992-Gale.pdf			101-112	
Where the tagger falters	Elliott Macklovitch	http://www.mt-archive.info/90/TMI-1992-Macklovitch.pdf			113-126	
Are the grammars so far developed appropriate to recognize the real structure of a sentence?	Makoto Nagao	http://www.mt-archive.info/90/TMI-1992-Nagao.pdf			127-137	
An example-based method for transfer-driven machine translation	Osamu Furuse and Hitoshi Iida	http://www.mt-archive.info/90/TMI-1992-Furuse.pdf			139-150	
Interactive multilingual text generation for a monolingual user	Harold Somers	http://www.mt-archive.info/90/TMI-1992-Somers.pdf			151-161	
Non-hybrid example-based machine translation architectures	Daniel Jones	http://www.mt-archive.info/90/TMI-1992-Jones.pdf			163-171	
Tree cover search algorithm for example-based translation	Hiroshi Maruyama and Hideo Watanabe	http://www.mt-archive.info/90/TMI-1992-Maruyama.pdf			173-184	
In defense of rationalist approaches to MT research	David L. Farwell	http://www.mt-archive.info/90/TMI-1992-Farwell.pdf			185-193	
Rationalism and the treatment of referential dependencies	Doug Arnold and Louisa Sadler	http://www.mt-archive.info/90/TMI-1992-Arnold.pdf			195-204	
Towards a quality improvement in machine translation	Karin Haenelt	http://www.mt-archive.info/90/TMI-1992-Haenelt.pdf			205-212	
Contextual constraints for MT	Kurt Eberle and Walter Kasper and Christian Rohrer	http://www.mt-archive.info/90/TMI-1992-Eberle.pdf			213-224	
The KANT perspective: a critique of pure transfer (and pure interlingua, pure statistics, .. )	Jaime G. Carbonell and Teruko Mitamura and Eric H. Nyberg 3rd	http://www.mt-archive.info/90/TMI-1992-Carbonell.pdf			225-235	
Translation relations and the combination of analytical and statistical methods in machine translation	Hubert Lehmann and Nikolaus Ott	http://www.mt-archive.info/90/TMI-1992-Lehmann.pdf			237-248	
Why corpus-based statistics-oriented machine translation	Keh-Yih Su and Jing-Shin Chang	http://www.mt-archive.info/90/TMI-1992-Su.pdf			249-262	
Combining rationalist and empiricist approaches to machine translation	Ralph Grishman and Michiko Kosaka	http://www.mt-archive.info/90/TMI-1992-Grishman.pdf			263-274	
MT News International no. 3		http://www.mt-archive.info/90/MTNI-3.pdf			263-274	
