Title	Authors	Pdf	Presentation	Volume_Name	Notes
A Corpus-Based Statistics-Oriented Transfer and Generation Model for Machine Translation	Jing-Shin Chang and Keh-Yih Su	http://www.mt-archive.info/90/TMI-1993-Chang.pdf			Session: Corpus-based Approach
The Mega-Word Tagged-Corpus Project	Hiroshi Maruyama and Shiho Ogino and Masaru Hidano	http://www.mt-archive.info/90/TMI-1993-Maruyama.pdf			Session: Corpus-based Approach
A Mono-lingual Corpus-based Machine Translation of the Interlingua Method	Eiji Komatsu and Cui Jin and Hiroshi Yasuhara	http://www.mt-archive.info/90/TMI-1993-Komatsu.pdf			Session: Corpus-based Approach
Two Approaches to Matching in Example-Based Machine Translation	Sergei Nirenburg and Constantine Domashnev and Dean J. Grannes	http://www.mt-archive.info/90/TMI-1993-Nirenburg.pdf			Session: Example-based Approach
Example-Based Translation of Technical Terms	Satoshi Sato	http://www.mt-archive.info/90/TMI-1993-Sato.pdf			Session: Example-based Approach
Combining Dictionary-Based and Example-Based Methods for Natural Language Analysis	Stephen D. Richardson and Lucy Vanderwende and William Dolan	http://www.mt-archive.info/90/TMI-1993-Richardson.pdf			Session: Example-based Approach
An Example-Based Disambiguation of Prepositional Phrase Attachment	Eiichiro Sumita and Osamu Furuse and Hitoshi Iida	http://www.mt-archive.info/90/TMI-1993-Sumita.pdf			Session: Preference
On Representation of Preference Scores	Kiyoshi Yamabana and Shin'ichiro Kamei and Kazunori Muraki	http://www.mt-archive.info/90/TMI-1993-Yamabana.pdf			Session: Preference
Machine Translation Supported by Terminological Information	Jörg Schütz and Bärbel Ripplinger	http://www.mt-archive.info/90/TMI-1993-Schutz.pdf			Session: Rational Approach
Machine Translation: A Cognitive Linguistics Approach	Nili Mandelblit	http://www.mt-archive.info/90/TMI-1993-Mandelblit.pdf			Session: Rational Approach
Treatment of Tense and Aspect in Translation from Italian to Greek — An Example of Treatment of Implicit Information in Knowledge-based Transfer MT —	Margherita Antona and Jun-ichi Tsujii	http://www.mt-archive.info/90/TMI-1993-Antona.pdf			Session: Rational Approach
— An Example of Treatment of Implicit Information in Knowledge-based Transfer MT —	Margherita Antona and Jun-ichi Tsujii	http://www.mt-archive.info/90/TMI-1993-Antona.pdf			Session: Rational Approach
An Object-Oriented Implementation of Machine Translation Systems	Koichi Takeda	http://www.mt-archive.info/90/TMI-1993-Takeda.pdf			Session: New Methodology
An Idiom-based Approach to Machine Translation	Hagyu Lee and Yung Taek Kim	http://www.mt-archive.info/90/TMI-1993-Lee.pdf			Session: New Methodology
Discourse Constraint in Computer Manuals	Tetsuya Nasukawa	http://www.mt-archive.info/90/TMI-1993-Nasukawa.pdf			Session: New Methodology
Recent Advances in JANUS: A Speech Translation System	M. Woszczyna and N.Coccaro and A.Eisele and A.Lavie and A.McNair and T.Polzin and I.Rogina	http://www.mt-archive.info/90/TMI-1993-Woszczyna.pdf			Session: Project
Translation Analysis and Translation Automation	Pierre Isabelle and Marc Dymetman and George Foster and Jean-Marc Jutras and Elliott	http://www.mt-archive.info/90/TMI-1993-Isabelle.pdf			Session: Project
Determination of Referential Property and Number of Nouns in Japanese Sentences for Machine Translation into English	Masaki Murata and Makoto Nagao	http://www.mt-archive.info/90/TMI-1993-Murata.pdf			Session:  Source Language Analysis
Translation into English	Masaki Murata and Makoto Nagao	http://www.mt-archive.info/90/TMI-1993-Murata.pdf			Session:  Source Language Analysis
Effects of Automatic Rewriting of Source Language within a Japanese to English MT System	Satoshi Shirai and Satoru Ikehara and Tsukasa Kawaoka	http://www.mt-archive.info/90/TMI-1993-Shirai.pdf			Session:  Source Language Analysis
Better Translation with Knowledge Extracted from Source Text	Satoshi Kinoshita and Miwako Shimazu and Hideki Hirakawa	http://www.mt-archive.info/90/TMI-1993-Kinoshita.pdf			Session:  Source Language Analysis
Evaluation of MT Systems by TOEFL	Masaru Tomita and Masako Shirai and Junya Tsutsumi and Miki Matsumura and Yuki	http://www.mt-archive.info/90/TMI-1993-Tomita.pdf			Session:  Evaluation Mechanism
Towards a MT Evaluation Methodology	Adriane Rinsche	http://www.mt-archive.info/90/TMI-1993-Rinsche.pdf			Session:  Evaluation Mechanism
Towards a Machine Translation System with Self-Critiquing Capability	Kwangseob Shim and Yung Taek Kim	http://www.mt-archive.info/90/TMI-1993-Shim.pdf			Session:  Evaluation Mechanism
A Method for Extracting Translation Patterns from Translation Examples	Hideo Watanabe	http://www.mt-archive.info/90/TMI-1993-Watanabe.pdf			Session:  Multi-lingual Corpus
Evaluation of DMAX Criteria for Selecting Equivalent Translation based on Dual Corpora Statistics	Shinichi Doi and Kazunori Muraki	http://www.mt-archive.info/90/TMI-1993-Doi.pdf			Session:  Multi-lingual Corpus
Corpora Statistics	Shinichi Doi and Kazunori Muraki	http://www.mt-archive.info/90/TMI-1993-Doi.pdf			Session:  Multi-lingual Corpus
Automated Corpus Analysis and the Acquisition of Large, Multi-Lingual Knowledge Bases for MT	Teruko Mitamara and Eric H. Nyberg and rd and Jaime G. Carbonell	http://www.mt-archive.info/90/TMI-1993-Mitamura.pdf			Session:  Multi-lingual Corpus
Bases for MT	Teruko Mitamara and Eric H. Nyberg and rd and Jaime G. Carbonell	http://www.mt-archive.info/90/TMI-1993-Mitamura.pdf			Session:  Multi-lingual Corpus
