Title	Authors	Pdf	Presentation	Volume_Name	Notes
Noun Phrase Reference in Japanese to English Machine Translation	Francis BOND and Kentaro OGURA and Tsukasa KAWAOKA	http://www.mt-archive.info/90/TMI-1995-Bond.pdf			
Translation using Minimal Recursion Semantics	Ann COPESTAKE and Dan FLICKINGER and Rob MALOUF and Susanne RIEHEMANN and Ivan SAG	http://www.mt-archive.info/90/TMI-1995-Copestake.pdf			
Dialogue Acts in Automatic Dialogue Interpreting	Birte SCHMITZ and J. Joachim QUANTZ	http://www.mt-archive.info/90/TMI-1995-Schmitz.pdf			
Bi-Lexical Rules for Multi-Lexeme Translation in Lexicalist MT	Arturo TRUJILLO	http://www.mt-archive.info/90/TMI-1995-Trujillo.pdf			
A Sign-Based Approach to the Translation of Temporal Expressions	Frank VAN EYNDE	http://www.mt-archive.info/90/TMI-1995-VanEynde.pdf			
Anaphora Resolution in Machine Translation	Ruslan MITKOV and Sung-Kwon CHOI and Randall SHARP	http://www.mt-archive.info/90/TMI-1995-Mitkov.pdf			
Intrasentential Resolution of Japanese Zero Pronouns in a Machine Translation System using Semantic and Pragmatic Constraints	Hiromi NAKAIWA and Satoru IKEHARA	http://www.mt-archive.info/90/TMI-1995-Nakaiwa.pdf			
Apologiae Ontologiae	Sergei NIRENBURG and Victor RASKIN and Boyan ONYSHKEVYCH	http://www.mt-archive.info/90/TMI-1995-Nirenburg.pdf			
Domain Modeling for Machine Translation	J. Joachim QUANTZ and Uwe KUESSNER and Manfred GEHRKE	http://www.mt-archive.info/90/TMI-1995-Quantz.pdf			
Technological evaluation of a controlled language application: precision, recall and convergence tests for SECC	Geert ADRIAENS and Lieve MACKEN	http://www.mt-archive.info/90/TMI-1995-Adriaens.pdf			
Natural Language Modeling in a Machine Translation Prototype for Healthcare Applications: a Sublanguage Approach	Guy DEVILLE and Emmanuel HERBIGNAUX	http://www.mt-archive.info/90/TMI-1995-Deville.pdf			
Controlled English for Knowledge-Based MT: Experience with the KANT System	Teruko MITAMURA and Eric H. NYBERG, 3rd	http://www.mt-archive.info/90/TMI-1995-Mitamura.pdf			
Using Context in Machine Translation of Spoken Language	Lori LEVIN and Oren GLICKMAN and Yan QU and Carolyn P. ROSE and Donna GATES and Alon LAVIE and Alex WAIBEL and Carol VAN ESS-DYKEMA	http://www.mt-archive.info/90/TMI-1995-Levin.pdf			
Chart-based Incremental Transfer in Machine Translation	Jan W. AMTRUP	http://www.mt-archive.info/90/TMI-1995-Amtrup.pdf			
Concept-Based Parsing For Speech Translation	L.J. MAYFIELD and M. GAVALDA and Y-H. SEO and B. SUHM and W. WARD and A. WAIBEL	http://www.mt-archive.info/90/TMI-1995-Mayfield.pdf			
Learning English Verb Selection Rules from Hand-made Rules and Translation Examples	Yasuhiro AKBA and Megumi ISHII and Hussein ALMUALLIM and Shigeo KANEDA	http://www.mt-archive.info/90/TMI-1995-Akiba.pdf			
Applying Statistical English Language Modelling to Symbolic Machine Translation	Ralf BROWN and Robert FREDERKING	http://www.mt-archive.info/90/TMI-1995-Brown.pdf			
Coerced Markov Models for Cross-Lingual Lexical-Tag Relations	Pascale FUNG and Dekai WU	http://www.mt-archive.info/90/TMI-1995-Fung.pdf			
Patterns of Derivation	Oliver STREITER and Antje SCHMIDT-WIGGER	http://www.mt-archive.info/90/TMI-1995-Streiter.pdf			
Heterogeneous Computing for Example-Based Translation of Spoken Language	Eiichiro SUMITA and Hitoshi IIDA	http://www.mt-archive.info/90/TMI-1995-Sumita.pdf			
Machine Translation: an Integration Approach	Kuang-hua CHEN and Hsin-Hsi CHEN	http://www.mt-archive.info/90/TMI-1995-Chen.pdf			
Automatic Learning of Knowledge for Example-Based Disambiguation of Attachment	Naohiko URAMOTO	http://www.mt-archive.info/90/TMI-1995-Uramoto.pdf			
A Method for Automatically Adapting an MT System to Different Domains	Setsuo YAMADA and Hiromi NAKAIWA and Kentaro OGURA and Satoru IKEHARA	http://www.mt-archive.info/90/TMI-1995-Yamada.pdf			
Constituent Shifts in the Logos English-German System	Claudia GDANIEC and Patricia SCHMID	http://www.mt-archive.info/90/TMI-1995-Gdaniec.pdf			
Shake-and-Bake MT and Morphology	Davide TURCATO	http://www.mt-archive.info/90/TMI-1995-Turcato.pdf			
Spoken-Language Machine Translation in Limited Domains: Can it be Achieved by Finite-State Models?	J.M. VILAR and A. CASTELLANOS and J.M. JIMENEZ and J.A. SANCHEZ and E. VIDAL and J. ONCINA and H. RULOT
	http://www.mt-archive.info/90/TMI-1995-Vilar.pdf			
A Corpus-based Two-Way Design for Parameterized MT Systems: Rationale, Architecture and Training Issues	Keh-Yih SU and Jing-Shin CHANG and Yu-Ling UNA HSU	http://www.mt-archive.info/90/TMI-1995-Su.pdf			
Grammarless Extraction of Phrasal Translation Examples from Parallel Texts	Dekai WU	http://www.mt-archive.info/90/TMI-1995-Wu.pdf			
