Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Building up the lexicon: how Japanese children learn meanings to novel nouns and verbs. 	Mutsumia Imai and Etsuko Haryu and Hiroyuki Okada	http://www.mt-archive.info/00/TMI-2002-Imai.pdf				
Alternation-based lexicon reconstruction. 	Timothy Baldwin and Francis Bond	http://www.mt-archive.info/00/TMI-2002-Baldwin-1.pdf				
Corpus-driven splitting of compound words. 	Ralf Brown	http://www.mt-archive.info/00/TMI-2002-Brown.pdf				
Two experiments in situated MT. 	Jim Cowie and Sergei Nirenburg	http://www.mt-archive.info/00/TMI-2002-Cowie.pdf				
Stone soup translation. 	Paul C. Davis and Chris Brew	http://www.mt-archive.info/00/TMI-2002-Davis.pdf				
A method of adding new entries to a valency dictionary by exploiting existing lexical resources. 	Sanae Fujita and Francis Bond	http://www.mt-archive.info/00/TMI-2002-Fujita.pdf				
Incremental construction and maintenance of morphological analysers based on augmented letter transducers 	Alicia Garrido-Alenda and Mikel L. Forcada and Rafael C. Carrasco	http://www.mt-archive.info/00/TMI-2002-Garrido.pdf				
Extracting semantic classes and morphosyntactic features for English-Polish machine translation. 	Barbara Gawronska and Björn Erlendsson and Hanna Duczak	http://www.mt-archive.info/00/TMI-2002-Gawronska.pdf				
Application of translation knowledge acquired by hierarchical phrase alignment for pattern-based MT. 	Kenji Imamura	http://www.mt-archive.info/00/TMI-2002-Imamura.pdf				
An iterative algorithm for translation acquisition of adpositions. 	Hiroshi Kanayama	http://www.mt-archive.info/00/TMI-2002-Kanayama.pdf				
An experimental mutlilingual bi-directional speech translation system. 	Tomohiro Konuma and Kenji Matsui and Yumi Wakita and Kenji Mizutani and Mitsuru Endo and Masashi Murata	http://www.mt-archive.info/00/TMI-2002-Konuma.pdf				
Sign language generation using HPSG. 	Ian Marshall and Éva Sáfár	http://www.mt-archive.info/00/TMI-2002-Marshall.pdf				
Pronominal anaphora resolution in the KANTOO multilingual machine translation system. 	Teruko Mitamura and Eric Nyberg and Enrique Torrejon and Dave Svoboda and Annelen Brunner and Kathryn Baker	http://www.mt-archive.info/00/TMI-2002-Mitamura.pdf				
Correction of errors in a modality corpus used for machine translation using machine-learning. 	Masaki Murata and Masao Utiyama and Kiyotaka Uchimoto and Qing Ma and Hitoshi Isahara	http://www.mt-archive.info/00/TMI-2002-Murata.pdf				
Grammar for ellipsis resolution in Japanese. 	Shigeko Nariyama	http://www.mt-archive.info/00/TMI-2002-Nariyama.pdf				
Machine translation without a bilingual dictionary. 	Jessie Pinkham and Martine Smets	http://www.mt-archive.info/00/TMI-2002-Pinkham.pdf				
Challenges in automated elicitation of a controlled bilingual corpus. 	Katharina Probst and Lori Levin	http://www.mt-archive.info/00/TMI-2002-Probst.pdf				
Sentence generation for pattern-based machine translation. 	Koichi Takeda	http://www.mt-archive.info/00/TMI-2002-Takeda.pdf				
Rapid adaptive development of semantic analysis grammars. 	Alicia Tribble and Alon Lavie and Lori Levin	http://www.mt-archive.info/00/TMI-2002-Tribble.pdf				
Statistical machine translation based on hierarchical phrase alignment. 	Taro Watanabe and Kenji Imamura and Eiichiro Sumita	http://www.mt-archive.info/00/TMI-2002-Watanabe.pdf				
Corpus-assisted expansion of manual MT knowledge: 	Setsuo Yamada and Kenji Imamura and Kazuhide Yamamoto	http://www.mt-archive.info/00/TMI-2002-Yamada.pdf				
Example-based machine translation ; references 	Eiichiro Sumita and Kenji Imamura	http://www.mt-archive.info/00/TMI-2002-Sumita.pdf				
	Kevin Knight					
Translation memories 	Timothy Baldwin	http://www.mt-archive.info/00/TMI-2002-Baldwin-2.pdf				
	Satoru Ikehara					
Toward a science of machine translation. 	Francis Bond	http://www.mt-archive.info/00/TMI-2002-Bond.pdf				
Using multilingual content on the web to build fast finite-state direct translation systems. 	Mikel L. Forcada	http://www.mt-archive.info/00/TMI-2002-Forcada.pdf				
Machine translation in the mobile and wearable age. 	Nigel Ward	http://www.mt-archive.info/00/TMI-2002-Ward.pdf				
Brief report on the MT2010 MT Roadmap Workshop at the MT Summit in Santiago de Compostela . 	Steve Krauwer	http://www.mt-archive.info/00/TMI-2002-Krauwer.pdf				
	Harold Somers					
Where will the field go in 10 years? 	Niels Ole Bernsen (ed.) Speech related technologies	http://www.mt-archive.info/00/TMI-2002-Bernsen.pdf				
Towards a road map on human language technology: Natural language processing. . 	Andreas Eisele and Dorothea Ziegler-Eisele (eds.)	http://www.mt-archive.info/00/TMI-2002-Eisele.pdf				
	[Conference reports in MT News International no. and Winter ]	http://www.mt-archive.info/00/MTNI-31.pdf				
