Title	Authors	Pdf
Introduction	Hutchins, John	http://www.mt-archive.info/90/EAMT-1997-Hutchins.pdf
Economics of translation tools -- Experience gained at Swiss Bank Corporation	Marty-Albisser, Doris	http://www.mt-archive.info/90/EAMT-1997-Marty-Albisser.pdf
EURAMIS, the platform of the EC Translator	Theologitis, Dimitri	http://www.mt-archive.info/90/EAMT-1997-Theologitis.pdf
Translation tools; to use or not to use?	Brace, Colin	http://www.mt-archive.info/90/EAMT-1997-Brace.pdf
When not to use MT and other translation tools	Lewis, Terence	http://www.mt-archive.info/90/EAMT-1997-Lewis.pdf
Why don't they use translation tools?	Fersøe, Hanne	http://www.mt-archive.info/90/EAMT-1997-Fersoe.pdf
Using the Logos server via Logos Windows Client	Hatley, John	http://www.mt-archive.info/90/EAMT-1997-Hatley.pdf
The workflow in a document production environment using translation tools	Maegaard, Bente	http://www.mt-archive.info/90/EAMT-1997-Maegaard.pdf
Localizing Canon's user documentation in Europe	O'Donoghue, Tim	http://www.mt-archive.info/90/EAMT-1997-ODonoghue.pdf
I18N/ (MT+TM)^2	Lueke, Dirk	http://www.mt-archive.info/90/EAMT-1997-Lueke.pdf
Introduction	Hansen, Viggo	http://www.mt-archive.info/90/EAMT-1997-Hansen.pdf
Providing multilingual term explanations in machine aided translation	von Hahn, Walter	http://www.mt-archive.info/90/EAMT-1997-Hahn.pdf
Machine translation and controlled English	Caeyers, Herman	http://www.mt-archive.info/90/EAMT-1997-Caeyers.pdf
Summary and conclusions	Theologitis, Dimitri and Maegaard, Bente 	http://www.mt-archive.info/90/EAMT-1997-Summary.pdf
MT News International  no. 17		http://www.mt-archive.info/90/MTNI-17.pdf
