Title	Authors	Pdf	Presentation	Volume_Name	Note
Introduction	Cancedda, Nicola	http://www.mt-archive.info/05/SMART-2009-Cancedda-1.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Empirical machine translation and its evaluation	Giménez, Jesús	http://www.mt-archive.info/05/SMART-2009-Gimenez.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Online learning for CAT applications	Cesa-Bianchi, Nicolò and Reverberi, Gabriele	http://www.mt-archive.info/05/SMART-2009-Cesa-Bianchi.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Sinuhe – statistical machine translation with a globally trained conditional exponential family translation model	Kääriäinen, Matti	http://www.mt-archive.info/05/SMART-2009-Kaariainen.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Large scale maximum margin regression based, structural learning approach to phrase translations	Szedmak, Sandor and Galbrun, Esther and Saunders, Craig and Ni, Yizhao	http://www.mt-archive.info/05/SMART-2009-Szedmak.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Learning to translate: a statistical and computational analysis	Turchi, Marco and de Bie, Tijl and Cristianini, Nelo	http://www.mt-archive.info/05/SMART-2009-Turchi.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Improving SMT by learning translation direction	Goutte, Cyril and Kurokawa, David and Isabelle, Pierre	http://www.mt-archive.info/05/SMART-2009-Goutte.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Multi-view CCA and regression CCA	Rupnik, Jan	http://www.mt-archive.info/05/SMART-2009-Rupnik.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Large-margin structural prediction via linear programming	Wang, Zuoran and Shawe-Taylor, John and Szedmák, Sándor	http://www.mt-archive.info/05/SMART-2009-Wang.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Sentence-level confidence estimation for MT	Specia, Lucia and Cancedda, Nicola and Dymetman, Marc and Saunders, Craig and Turchi, Marco and Cristianini, Nello and Wang, Zhuoran and Shawe-Taylor, John	http://www.mt-archive.info/05/SMART-2009-Specia.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
Closing remarks	Cancedda, Nicola	http://www.mt-archive.info/05/SMART-2009-Cancedda-2.pdf			Workshop held in conjunction with the Conference, Wednesday 13 May, Statistical Multilingual Analysis for Retrieval and Translation
