Title	Authors	Pdf
Preface	"Hansen, Viggo and Maegaard, Bente"	http://www.mt-archive.info/05/EAMT-2006-Hansen.pdf
"Invited Keynote: Fully Automatic Useful Translation"	"van der Meer, Jaap"	http://www.mt-archive.info/05/EAMT-2006-VanderMeer.pdf
"A Bilingual Grammar for Translation of English-Swedish Verb Frame Divergences"	"Stymne, Sara and Ahrenberg, Lars"	http://www.mt-archive.info/05/EAMT-2006-Stymne.pdf
"A Cheap MT-Evaluation Method Based on Internet Searches"	"Moré, Joaquim and Climent, Salvador"	http://www.mt-archive.info/05/EAMT-2006-More.pdf
"Combinatory Examples Extraction for Machine Translation"	"Simões, Alberto and Almeida, Joé João"	http://www.mt-archive.info/05/EAMT-2006-Simoes.pdf
"A Computer-Assisted Translation Tool based on Finite-State Technology"	"Civera, Jorge and Lagarda, Antonio L. and Cubel, Elsa and Casacuberta, Francisco and Vidal, Enrique and Vilar, Juan M. and Barrachina, Sergio"	http://www.mt-archive.info/05/EAMT-2006-Civera-1.pdf
"Detecting Inappropriate Use of Free Online Machine Translation by Language Students. A Special Case of Plagiarism Detection"	"Somers, Harold and Gaspari, Federico and Niño, Ana"	http://www.mt-archive.info/05/EAMT-2006-Somers.pdf
"A Dictionary Lookup Strategy for Translating of Discontinuous Phrases"	"Carl, Michael and Rascu, Ecaterina"	http://www.mt-archive.info/05/EAMT-2006-Carl.pdf
"Disambiguation Strategies for Data-Oriented Translation"	"Hearne, Mary and Way, Andy"	http://www.mt-archive.info/05/EAMT-2006-Hearne.pdf
"English-Hungarian NP Alignment in MetaMorpho™"	"Pohl, Gábor"	http://www.mt-archive.info/05/EAMT-2006-Pohl.pdf
"Exploiting Word Transformation in Statistical Machine Translation from Spanish to English"	"Gupta, Deepa and Federico, Marcello"	http://www.mt-archive.info/05/EAMT-2006-Gupta.pdf
"A Flexible Architecture for CAT Applications"	"Hasan, Saša and Khadivi, Shahram and Zens, Richard and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2006-Hasan.pdf
"A Flexible Online Server for Machine Translation Evaluation"	"Eck, Matthias and Vogel, Stephan and Waibel, Alex"	http://www.mt-archive.info/05/EAMT-2006-Eck.pdf
"Grammatical Framework (GF) for MT in Sublanguage Domains"	"Khegai, Janna"	http://www.mt-archive.info/05/EAMT-2006-Khegai.pdf
"Handling Low Translatability in Machine Translation of Long Sentences"	"Sheremetyeva, Svetlana"	http://www.mt-archive.info/05/EAMT-2006-Sheremetyeva.pdf
"Hybridity in MT. Experiments on the Europarl Corpus"	"Groves, Declan and Way, Andy"	http://www.mt-archive.info/05/EAMT-2006-Groves.pdf
"Identifying Complex Phenomena in a Corpus via a Treebank Lens"	"Flickinger, Dan"	http://www.mt-archive.info/05/EAMT-2006-Flickinger.pdf
"Interoperability Between Translation Memories and Localization Tools by Using the MultiLingual Information Framework"	"Cruz-Lara, Samuel and Bellalem, Nadia and Ducret, Julien and Kramer, Isabella"	http://www.mt-archive.info/05/EAMT-2006-Cruz-Lara.pdf
"Leveraging Recurrent Phrase Structure in Large-scale Ontology Translation"	"Murray, G. Craig and Dorr, Bonnie J. and Lin, Jimmy and Hajič, Jan and Pecina, Pavel"	http://www.mt-archive.info/05/EAMT-2006-Murray.pdf
"Look Who's Translating. Impersonations, Chinese Whispers and Fun with Machine Translation on the Internet"	"Gaspari, Federico"	http://www.mt-archive.info/05/EAMT-2006-Gaspari.pdf
"Mixtures of IBM Model 2"	"Civera, Jorge and Juan, Alfons"	http://www.mt-archive.info/05/EAMT-2006-Civera-2.pdf
"Morpho-Syntax Based Statistical Methods for Automatic Sign Language Translation"	"Stein, Daniel and Bungeroth, Jan and Ney, Hermann"	http://www.mt-archive.info/05/EAMT-2006-Stein.pdf
"Obtaining Word Phrases with Stochastic Inversion Translation Grammars for Phrase-based Statistical Machine Translation"	"Sánchez, J. A. and Benedí, J. M."	http://www.mt-archive.info/05/EAMT-2006-Sanchez.pdf
"Pragmatics-based MT and the Translation of Puns"	"Farwell, David and Helmreich, Stephen"	http://www.mt-archive.info/05/EAMT-2006-Farwell.pdf
"A Syntactic Skeleton for Statistical Machine Translation"	"Mellebeek, Bart and Owczarzak, Karolina and Groves, Declan and Van Genabith, Josef and Way, Andy"	http://www.mt-archive.info/05/EAMT-2006-Mellebeek.pdf
"Task-based Evaluation of Machine Translation (MT) Engines. Measuring How Well People Extract Who, When, Where-Type Elements in MT Output"	"Voss, Clare R. and Tate, Calandra R."	http://www.mt-archive.info/05/EAMT-2006-Voss.pdf
"Towards a Comprehensive Evaluation Method of Memory-Based Translation Systems"	"Hodasz, Gábor"	http://www.mt-archive.info/05/EAMT-2006-Hodasz.pdf
"Transformation-Based Correction of Rule-Based MT"	"Elming, Jakob"	http://www.mt-archive.info/05/EAMT-2006-Elming.pdf
"Translation Context Sensitive WSD"	"Specia, Lucia and das Graças Volpe Nunes, Maria and Stevenson, Mark"	http://www.mt-archive.info/05/EAMT-2006-Specia.pdf
"Using a Bi-Lingual Dictionary in Lexical Transfer"	"Nygaard, Lars and Lønning, Jan Tore and Nordgård, Torbjørn and Oepen, Stephan"	http://www.mt-archive.info/05/EAMT-2006-Nygaard.pdf
"Using Patterns for Machine Translation"	"Makantonatou, Stella and Sofianopoulos, Sokratis and Spilioti, Vassiliki and Tambouratzis, George and Vassiliou, Marina and Yannoutsou, Olga"	http://www.mt-archive.info/05/EAMT-2006-Markantonatou.pdf
"WebBootCaT. Instant Domain-Specific Corpora to Support Human Translators"	"Baroni, Marco and Kilgarriff, Adam and Pomikalek, Jan and Rychly, Pavel"	http://www.mt-archive.info/05/EAMT-2006-Baroni.pdf
