"Conference title","Conference code",URL,Editors,Year,"Dates held",Location,Type,Completed,Notes,file_name
"European Association for Machine Translation",eamt,http://www.mt-archive.info/90/EAMT-1993-abstracts.htm,"Steffens, Petra",1993,"April 26–28","Heidelberg, Germany",Abstracts,FALSE,,eamt.1993
"European Association for Machine Translation",eamt,http://www.mt-archive.info/90/EAMT-1994-TOC.htm,"Hauenschild, Christa ; Heizmann, Susanne",1994,"September 14–16","Hildesheim, Germany",TOC,FALSE,,eamt.1994
"European Association for Machine Translation",eamt,http://www.mt-archive.info/90/EAMT-1996-WS.pdf,?,1996,"August 29-30","Vienna, Austria",PDF,FALSE,,eamt.1996
"European Association for Machine Translation",eamt,http://www.mt-archive.info/90/EAMT-1997-TOC.htm,"John Hutchins?",1997,"May 21-22","Copenhagen, Denmark",TOC,FALSE,,eamt.1997
"European Association for Machine Translation",eamt,http://www.mt-archive.info/90/EAMT-1998-WS.pdf,??,1998,"April 2–3","Geneva, Switzerland",PDF,FALSE,,eamt.1998
"European Association for Machine Translation",eamt,http://www.mt-archive.info/90/EAMT-1999-TOC.htm,"John Hutchins? Jörg Schütz? Colin Brace? Muriel Vasconcellos?",1999,"April 22–23","Prague, Czech Republic",TOC,FALSE,,eamt.1999
"European Association for Machine Translation",eamt,http://www.mt-archive.info/00/EAMT-2000-TOC.htm,"John Hutchins?",2000,"May 11–12","Ljubljana, Slovenia",TOC,FALSE,,eamt.2000
"European Association for Machine Translation",eamt,http://www.mt-archive.info/00/EAMT-2002-TOC.htm,"Derek Lewis",2002,"November 14–15","Manchester, UK",TOC,FALSE,,eamt.2002
"European Association for Machine Translation",eamt,http://www.mt-archive.info/00/EAMT-2003-TOC.htm,??,2003,"April 13","Budapest, Hungary",TOC,FALSE,"Workshop at EACL-03",eamt.2003a
"European Association for Machine Translation",eamt,http://www.mt-archive.info/00/CLT-2003-TOC.htm,"Laurie Gerber?",2003,"May 15–17","Dublin City University, Ireland",TOC,FALSE,,eamt.2003b
"European Association for Machine Translation",eamt,http://www.mt-archive.info/00/EAMT-2004-TOC.htm,??,2004,"April 26–27",Malta,TOC,FALSE,,eamt.2004
"European Association for Machine Translation",eamt,http://www.mt-archive.info/05/EAMT-2005-TOC.htm,"Jay Marciano?Jörg Schütz?",2005,"May 30–31","Budapest, Hungary",TOC,FALSE,,eamt.2005
"European Association for Machine Translation",eamt,http://www.mt-archive.info/05/EAMT-2006-TOC.htm,??,2006,"June 19–20","Oslo, Norway",TOC,FALSE,,eamt.2006
"European Association for Machine Translation",eamt,http://www.mt-archive.info/05/EAMT-2008-TOC.htm,"Hutchins, John ; Hahn, Walther",2008,"September 22-23","Hamburg, Germany",TOC,FALSE,,eamt.2008
"European Association for Machine Translation",eamt,http://www.mt-archive.info/05/EAMT-2009-TOC.htm,"Màrquez, Lluís ; Somers, Harold",2009,"May 14–15","Barcelona, Spain",TOC,FALSE,,eamt.2009
"European Association for Machine Translation",eamt,http://www.mt-archive.info/10/EAMT-2010-TOC.htm,"Yvon, François ; Hansen, Viggo",2010,"May 27–28","Saint Raphaël, France",TOC,FALSE,,eamt.2010
"European Association for Machine Translation",eamt,http://www.mt-archive.info/10/EAMT-2011-TOC.htm,"L. Forcada, Mikel ; Depraetere, Heidi ; Vandeghinste, Vincent",2011,"May 30–31","Leuven, Belgium",TOC,FALSE,,eamt.2011
"European Association for Machine Translation",eamt,http://www.mt-archive.info/10/EAMT-2012-TOC.htm,"Cettolo, Mauro ; Federico, Marcello ; Specia, Lucia ; Way, Andy",2012,"May 28–30","Trento, Italy",TOC,FALSE,,eamt.2012
"European Association for Machine Translation",eamt,http://www.mt-archive.info/10/EAMT-2014-TOC.htm,"Cettolo, Mauro ; Federico, Marcello ; Specia, Lucia ; Way, Andy",2014,"June 16-18","Dubrovnik, Croatia",TOC,FALSE,,eamt.2014
"European Association for Machine Translation",eamt,http://www.mt-archive.info/15/EAMT-2015-TOC.htm,"El‐Kahlout, İIknur ; Özkan, Mehmed ; Sánchez‐Martínez, Felipe ; Ramírez‐Sánchez, Gema ; Hollywood, Fred ; Way, Andy ;",2015,"May 11–13","Antalya, Turkey",TOC,FALSE,,eamt.2015
"European Association for Machine Translation",eamt,http://www.mt-archive.info/15/EAMT-2016-TOC.htm,N/A,2016,"May 30–June 1","Riga, Latvia",TOC,FALSE,,eamt.2016
,,,,,,,,,,
"Association for Machine Translation in the Americas",amta,,,,,,,,,
