Title	Authors	Pdf	Raw webtext
Machine Translation and Translation Theory	by, Edited		Edited by
Process models in simultaneous interpretation	Moser-Mercer, Barbara		Barbara Moser-Mercer                                                                                      3
Using text mappings in teaching consecutive interpreting	Hönig, Hans		Hans G. Hönig                                                                                             19
The importance of functional markers in (human) translation	, Christiane		Christiane Nord                                                                                           35
Translating cultural specifics: Macro- and microstructural decisions	, Heidrun		Heidrun Gerzymisch-Arbogast                                                                     51
Textual garden paths-parametrized obstacles to target language adequate translations	Doherty, Monika		Monika Doherty                                                                                           69
How does a Verbmobil affect conversation? Discourse analysis and machine-supported translatory interaction	Wadensjö, Birgit		Birgit Apfelbaum-Cecilia Wadensjö                                                              93
Translation problems and translation strategies involved in human and machine translation: Empirical studies	, Birte		Birte Prahl-Susanne Petzolt                                                                        123
Automatic interpreting of dialogue acts	Jekat, Susanne		Susanne Jekat                                                                                            145
Compensation	Tombe, Louis		Louis des Tombe                                                                                         157
Interlingual strategies in translation	Pause, Peter		Peter E. Pause                                                                                            175
The translation objective in automatic dialogue interpreting	, Birte		Birte Schmitz                                                                                               193
Perspectives for incremental MT with charts	W.Amtrup, Jan		Jan W.Amtrup                                                                                             211
Discourse processing for voice-to-voice machine translation	LuperFoy, Susann		Susann LuperFoy                                                                                       223
Evaluating translation	King, Margaret		Margaret King                                                                                            251
