Title	Authors	Pdf	Raw webtext
Controlled generation for speech-to-speech MT systems	Bernth, Arendse	http://www.mt-archive.info/00/CLT-2003-Bernth.pdf	Arendse Bernth: Controlled generation for speech-to-speech MT systems[PDF,28KB]
EasyEnglish: challenges in cross-cultural communication	Betts, Robert	http://www.mt-archive.info/00/CLT-2003-Betts.pdf	RobertBetts: EasyEnglish: challenges in cross-cultural communication [PDF, 179KB]
Data-assisted controlled translation	Carl, Michael	http://www.mt-archive.info/00/CLT-2003-Carl-1.pdf	Michael Carl:Data-assistedcontrolled translation [PDF, 172KB]
Tuning general translation knowledge to a sublanguage	Carl, Michael and Langlais, Philippe	http://www.mt-archive.info/00/CLT-2003-Carl-2.pdf	MichaelCarl & Philippe Langlais: Tuning general translation knowledge to a sublanguage[PDF,229KB]
Customizing an MT system for unsupervised automatic email translation	Climent, Salvador and Moré, Joaquim and Oliver, Antoni	http://www.mt-archive.info/00/CLT-2003-Climent.pdf	Salvador Climent, Joaquim Moré & Antoni Oliver: Customizing an MT system for unsupervised automaticemail translation [PDF, 274KB]
Adapting finite-state translation to the TransType2 project	Cubel, Elsa and González, Jorge and Lagarda, Antonio and Casuberta, Francisco and Juan, Alfons and Vidal, Enrique	http://www.mt-archive.info/00/CLT-2003-Cubel.pdf	Elsa Cubel, Jorge González, Antonio Lagarda, Francisco Casuberta, Alfons Juan & Enrique Vidal: Adapting finite-state translation to the TransType2project [PDF, 71KB]
Using monolingual corpora for statistical machine translation: the METIS system	Dologlou, Y. and Markantonatou, S. and Tambouratzis, G. and Yannoutsou, O. and Fourla, A. and Iannou, and N.	http://www.mt-archive.info/00/CLT-2003-Dologlou.pdf	Y. Dologlou, S. Markantonatou, G. Tambouratzis, O. Yannoutsou, A. Fourla, and N. Iannou: Using monolingual corpora for statistical machinetranslation: the METIS system [PDF, 296KB]
Coordination, incorporation and dynamic semantic representation in transfer	Eberle, Kurt	http://www.mt-archive.info/00/CLT-2003-Eberle.pdf	Kurt Eberle: Coordination,incorporation and dynamic semantic representation in transfer [PDF, 176KB]
Multilingual cataloguing of product information of specific domains: case Mkbeem system	Lehtola, Aarno and Tenni, Jarno and Käpylä, Tuula	http://www.mt-archive.info/00/CLT-2003-Lehtola.pdf	Aarno Lehtola, Jarno Tenni & Tuula Käpylä: Multilingualcataloguing of product information of specific domains: case Mkbeem system [PDF, 993KB]
Diagnostics for interactive controlled language checking	Mitamura, Teruko and Baker, Kathryn and Nyberg, Eric and Svoboda, David	http://www.mt-archive.info/00/CLT-2003-Mitamura.pdf	Teruko Mitamura, Kathryn Baker, Eric Nyberg and David Svoboda: Diagnostics for interactive controlled languagechecking [PDF, 178KB]
Grammatical metaphor, controlled language and machine translation	Møller, Margrethe	http://www.mt-archive.info/00/CLT-2003-Moeller.pdf	Margrethe Møller: Grammatical metaphor, controlled language and machinetranslation [PDF, 66KB]
Controlling controlled English	O'Brien, Sharon	http://www.mt-archive.info/00/CLT-2003-Obrien.pdf	SharonO'Brien: Controllingcontrolled English [PDF, 133KB]
Multilingual generation of controlled languages	Power, Richard and Scott, Donia and Hartley, Anthony	http://www.mt-archive.info/00/CLT-2003-Power.pdf	RichardPower, Donia Scott & Anthony Hartley: Multilingual generation of controlled languages[PDF,325KB]
Two in one -- can it work? Readability and translatability by means of controlled language	Reuther, Ursula	http://www.mt-archive.info/00/CLT-2003-Reuther.pdf	UrsulaReuther: Two in one -- can itwork? Readability and translatability by means of controlled language [PDF, 234KB]
A specification and validating parser for simplified technical Spanish	Cascales, Remedios Ruiz and F.E.Sutcliffe, Richard	http://www.mt-archive.info/00/CLT-2003-Ruiz.pdf	Remedios Ruiz Cascales & RichardF.E.Sutcliffe: A specification and validating parser for simplifiedtechnical Spanish [PDF, 133KB]
MT post-editing	Schäfer, Falko	http://www.mt-archive.info/00/CLT-2003-Schaefer.pdf	"Falko Schäfer: MT post-editing: how to shed light on the""unknown task"". Experiences at SAP. [PDF, 332KB]"
ECOLE: a look-ahead editor of controlled language	Schwitter, Ralf and Ljungberg, Anna and Hood, David	http://www.mt-archive.info/00/CLT-2003-Schwitter.pdf	Ralf Schwitter, Anna Ljungberg &David Hood: ECOLE: alook-ahead editor of controlled language [PDF, 148KB]
A controlled language at Airbus	Spaggiari, Laurent and Beaujard, Florence and Cannesson, Emmanuelle	http://www.mt-archive.info/00/CLT-2003-Spaggiari.pdf	Laurent Spaggiari, Florence Beaujard& Emmanuelle Cannesson: A controlled language at Airbus [PDF, 288KB]
Mind your language!	Sukkarieh, Jana	http://www.mt-archive.info/00/CLT-2003-Sukkarieh.pdf	Jana Sukkarieh: Mindyour language! Controlled language for inference purposes [PDF,211KB]
Making term extraction tools usable	Thurmair, Gregor	http://www.mt-archive.info/00/CLT-2003-Thurmair.pdf	Gregor Thurmair: Making term extraction tools usable [PDF, 213KB]
At last translation automation becomes a reality: an anthology of the translation market	van der Meer, Jaap	http://www.mt-archive.info/00/CLT-2003-VanDerMeer.pdf	Jaap van der Meer: At last translation automation becomes a reality: ananthology of the translation market [PDF, 37KB]
Evaluating specifications for controlled Greek	Vassiliou, Marina and Markantonatou, S. and Maistros, Y. and Karkaletsis, V.	http://www.mt-archive.info/00/CLT-2003-Vassiliou.pdf	Marina Vassiliou, S. Markantonatou, Y. Maistros & V. Karkaletsis: Evaluating specifications for controlled Greek[PDF,278KB]
Menu choice translation	Vertan, Cristina and von Hahn, Walter	http://www.mt-archive.info/00/CLT-2003-Vertan.pdf	Cristina Vertan & Walter von Hahn: Menu choice translation: a flexiblemenu-based controlled natural language system [PDF, 62KB]
MT News International no. 33	33, [Conference report in MT News International no. and 2003], Autumn	http://www.mt-archive.info/00/MTNI-33.pdf	                                [Conferencereport in MT News International no. 33, Autumn 2003]
