Title	Authors	Pdf	Presentation	Volume_Name	Raw webtext
EAMT 2010
Proceedings of the
14th Annual Conference
of the European Association
for Machine Translation
 
27-28 May 2010
Saint-Raphaël Congrès, Saint-Raphaël, France
 
Edited by François Yvon and Viggo Hansen
 
Table of Contents
 
 
Keynote Speaker (Thursday 27 May):
Born Global - How to Communicate Effectively in an International Environment	Albisser, Doris and Communication, - CLS and , Switzerland	http://www.mt-archive.info/10/EAMT-2010-Albisser.pdf	http://www.mt-archive.info/10/EAMT-2010-Albisser-ppt.pdf	"Born
Global - How to Communicate Effectively in an International Environment"	Born Global - How to Communicate Effectively in an International Environment
 
Invited Presentations:
What’s driving MT and why should we care	Thicke, Lori and , and Translation, Lexcelera. Innovating	http://www.mt-archive.info/10/EAMT-2010-Thicke.pdf	http://www.mt-archive.info/10/EAMT-2010-Thicke-ppt.pdf	User report (Thursday 27 May)	User report (Thursday 27 May): What’s driving MT and why should we care?
Let a Thousand MT Systems Bloom	van der Meer, Jaap and , TAUS	http://www.mt-archive.info/10/EAMT-2010-vanderMeer.pdf		User report (Thursday 27 May)	User report (Thursday 27 May): Let a Thousand MT Systems Bloom
The Evolution of the European Machine Translation Programme at the European Patent Office	Biani, Patrizia and Coordinator, Country and Affairs, European and Co-op., and Office, European Patent	http://www.mt-archive.info/10/EAMT-2010-Biani.pdf	http://www.mt-archive.info/10/EAMT-2010-Biani-ppt.pdf	User report (Friday 28 May)	User report (Friday 28 May): The Evolution of the European Machine Translation Programme at the European Patent Office
 
Regular Papers
Can inversion transduction grammars generate hand alignments	Søgaard, Anders	http://www.mt-archive.info/10/EAMT-2010-Sogaard.pdf	http://www.mt-archive.info/10/EAMT-2010-Sogaard-ppt.pdf	Research paper	Research paper: Can inversion transduction grammars generate hand alignments?
A fully unsupervised approach for mining parallel data from comparable corpora	Diep, Thi Ngoc and Besacier, Laurent and Castelli, Eric	http://www.mt-archive.info/10/EAMT-2010-Do.pdf	http://www.mt-archive.info/10/EAMT-2010-Do-ppt.pdf	Research paper	Research paper: A fully unsupervised approach for mining parallel data from comparable corpora
Statistical Analysis of Alignment Characteristics for Phrase-based Machine Translation	Lambert, Patrik and Petitrenaud, Simon and Ma, Yanjun and Way, Andy	http://www.mt-archive.info/10/EAMT-2010-Lambert.pdf	http://www.mt-archive.info/10/EAMT-2010-Lambert-ppt.pdf	Research paper	Research paper: Statistical Analysis of Alignment Characteristics for Phrase-based Machine Translation
Language Technology Resource Center	DeCamp, Jennifer	http://www.mt-archive.info/10/EAMT-2010-DeCamp.pdf	http://www.mt-archive.info/10/EAMT-2010-DeCamp-ppt.pdf	User report	User report: Language Technology Resource Center,
MT engine selection in the enterprise	Depraetere, Heidi and Vazquez, Pablo	http://www.mt-archive.info/10/EAMT-2010-Depraetere-1.pdf	http://www.mt-archive.info/10/EAMT-2010-Depraetere-1-ppt.pdf	User report	User report: MT engine selection in the enterprise
Poster presentations: Thursday 27 May
 
Query translation using Wikipedia-based resources for analysis and disambiguation	Gaillard, Benoit and Boualem, Malek and Collin, Olivier	http://www.mt-archive.info/10/EAMT-2010-Gaillard.pdf		Research paper	Research paper: Query translation using Wikipedia-based resources for analysis and disambiguation
What counts as useful advice in a university post-editing training context? Report on a case	Depraetere, Ilse	http://www.mt-archive.info/10/EAMT-2010-Depraetere-2.pdf		Research paper	Research paper: What counts as useful advice in a university post-editing training context? Report on a case
Linguistic-based Evaluation Criteria to identify Statistical Machine Translation Errors	Farrús, Mireia and Costa-jussà, Marta R. and Mariño, José B. and Fonollosa, José A. R.	http://www.mt-archive.info/10/EAMT-2010-Farrus.pdf		Research paper	Research paper: Linguistic-based Evaluation Criteria to identify Statistical Machine Translation Errors
Rule-based Breton to French machine translation	Tyers, Francis	http://www.mt-archive.info/10/EAMT-2010-Tyers.pdf		Research paper	Research paper: Rule-based Breton to French machine translation
Correlating Translation Product and Translation Process Data of Professional and Student Translators	Carl, Michael and Buch-Kromann, Matthias	http://www.mt-archive.info/10/EAMT-2010-Carl.pdf		User report	User report: Correlating Translation Product and Translation Process Data of Professional and Student Translators
Robust Estimation of Feature Weights in Statistical Machine Translation	España-Bonet, Cristina and Màrquez, Lluís	http://www.mt-archive.info/10/EAMT-2010-Espana-Bonet.pdf		Research paper	Research paper: Robust Estimation of Feature Weights in Statistical Machine Translation
Potential scope of a fully-integrated architecture for speech translation	Pérez, Alicia and Torres, M. Inés and Casacuberta, Francisco	http://www.mt-archive.info/10/EAMT-2010-Perez.pdf		Research paper	Research paper: Potential scope of a fully-integrated architecture for speech translation
Integration of statistical collocation segmentations in a phrase-based statistical machine translation system	Costa-jussa, Marta R. and Daudaravicius, Vidas and E.Banchs, and Rafael	http://www.mt-archive.info/10/EAMT-2010-Costa-jussa.pdf		Research paper	Research paper: Integration of statistical collocation segmentations in a phrase-based statistical machine translation system
On the Use of Confidence Measures within an Interactive-predictive Machine Translation System	González-Rubio, Jesús and Ortíz-Martínez, Daniel and Casacuberta, Francisco	http://www.mt-archive.info/10/EAMT-2010-Gonzalez-Rubio.pdf		Research paper	Research paper: On the Use of Confidence Measures within an Interactive-predictive Machine Translation System
Analysing Post-Editing Performance: Correlations with Years of Translation Experience	de Almeida, Giselle and O'Brien, Sharon	http://www.mt-archive.info/10/EAMT-2010-Almeida.pdf		Research paper	Research paper: Analysing Post-Editing Performance: Correlations with Years of Translation Experience
A Deterministic Annealing-Based Training Algorithm For Statistical Machine Translation Models	Gómez, Pascual Martínez and Hashimoto, Kei and Nankaku, Yoshihiko and Tokuda, Keiichi and Sanchis-Trilles, Germán	http://www.mt-archive.info/10/EAMT-2010-Martinez-Gomez.pdf		Research paper	Research paper: A Deterministic Annealing-Based Training Algorithm For Statistical Machine Translation Models
English to Bangla Phrase-Based Machine Translation	Islam, Zahurul and Tiedemann, Jörg and Eisele, Andreas	http://www.mt-archive.info/10/EAMT-2010-Islam.pdf		Research paper	Research paper: English to Bangla Phrase-Based Machine Translation
Translation practice in the workplace and Machine Translation	Karamanis, Nikiforos and Luz, Saturnino and Doherty, Gavin	http://www.mt-archive.info/10/EAMT-2010-Karamanis.pdf		Research paper	Research paper: Translation practice in the workplace and Machine Translation
TMX Markup: A Challenge When Adapting SMT to the Localisation Environment	Du, Jinhua and Roturier, Johann and Way, Andy	http://www.mt-archive.info/10/EAMT-2010-Du-2.pdf		User report	User report: TMX Markup: A Challenge When Adapting SMT to the Localisation Environment
Speeding up the Implementation Process of a Shallow Transfer Machine Translation System	Vičič, Jernej and Homola, Petr	http://www.mt-archive.info/10/EAMT-2010-Vicic.pdf		Research paper	Research paper: Speeding up the Implementation Process of a Shallow Transfer Machine Translation System
Bridging the Gap – EuroTermBank Terminology Delivered to Users’ Environment	Gornostay, Tatiana and Vasiljevs, Andrejs and Rirdance, Signe and Rozis, Roberts	http://www.mt-archive.info/10/EAMT-2010-Gornostay.pdf		User report	User report: Bridging the Gap – EuroTermBank Terminology Delivered to Users’ Environment
Lattice Score Based Data Cleaning for Phrase-Based Statistical Machine Translation	Jiang, Jie and Carson-Berndsen, Andy Way and Julie	http://www.mt-archive.info/10/EAMT-2010-Jiang.pdf		Research paper	Research paper: Lattice Score Based Data Cleaning for Phrase-Based Statistical Machine Translation
Chunk-Based EBMT	Kim, Jae Dong and Brown, Ralf and Carbonell, Jaime	http://www.mt-archive.info/10/EAMT-2010-Kim.pdf		Research paper	Research paper: Chunk-Based EBMT
Source reordering using MaxEnt classifiers and supertags	Khalilov, Maxim and Sima'an, Khalil	http://www.mt-archive.info/10/EAMT-2010-Khalilov.pdf		Research paper	Research paper: Source reordering using MaxEnt classifiers and supertags
 
Regular papers: Friday 28 May
Domain Adaptation in Statistical Machine Translation using Factored Translation Models	Niehues, Jan and Waibel, Alex	http://www.mt-archive.info/10/EAMT-2010-Niehues.pdf	http://www.mt-archive.info/10/EAMT-2010-Niehues-ppt.pdf	Research paper	Research paper: Domain Adaptation in Statistical Machine Translation using Factored Translation Models
Online Language Model adaptation via N-gram Mixtures for Statistical Machine Translation	Sanchis-Trilles, Germán and Cettolo, Mauro	http://www.mt-archive.info/10/EAMT-2010-Sanchis-Trilles.pdf	http://www.mt-archive.info/10/EAMT-2010-Sanchis-Trilles-ppt.pdf	Research paper	Research paper: Online Language Model adaptation via N-gram Mixtures for Statistical Machine Translation
Learning an Expert from Human Annotations in Statistical Machine Translation: the Case of Out-of-Vocabulary Words	Aziz, Wilker and Dymetman, Marc and Specia, Lucia and Mirkin, Shachar	http://www.mt-archive.info/10/EAMT-2010-Aziz.pdf	http://www.mt-archive.info/10/EAMT-2010-Aziz-ppt.pdf	Research paper	Research paper: Learning an Expert from Human Annotations in Statistical Machine Translation: the Case of Out-of-Vocabulary Words
The Impact of Source–Side Syntactic Reordering on Hierarchical Phrase-based SMT	Way, Jinhua Du and Andy	http://www.mt-archive.info/10/EAMT-2010-Du-1.pdf	http://www.mt-archive.info/10/EAMT-2010-Du-1-ppt.pdf	Research paper	Research paper: The Impact of Source–Side Syntactic Reordering on Hierarchical Phrase-based SMT
Hierarchical Hybrid Translation between English and German	Eisele, Yu Chen and Andreas	http://www.mt-archive.info/10/EAMT-2010-Chen.pdf	http://www.mt-archive.info/10/EAMT-2010-Chen-ppt.pdf	Research paper	Research paper: Hierarchical Hybrid Translation between English and German
A Novel Statistical Pre-Processing Model for Rule-Based Machine Translation System	Sun, Yanli and O’Brien, Sharon and O’Hagan, Minako and Hollowood, Fred	http://www.mt-archive.info/10/EAMT-2010-Sun.pdf	http://www.mt-archive.info/10/EAMT-2010-Sun-ppt.pdf	Research paper	Research paper: A Novel Statistical Pre-Processing Model for Rule-Based Machine Translation System
Using the Apertium Spanish-Brazilian Portuguese machine translation system for localization	François, Masselot and Petra, Ribiczey and Gema, Ramírez-Sánchez	http://www.mt-archive.info/10/EAMT-2010-Masselot.pdf	http://www.mt-archive.info/10/EAMT-2010-Masselot-ppt.pdf	User report	User report: Using the Apertium Spanish-Brazilian Portuguese machine translation system for localization
Employing Machine Translation in Glocalization Tasks – A Use Case Study	Schütz, Jörg and Andrä, Sven Christian	http://www.mt-archive.info/10/EAMT-2010-Andra.pdf	http://www.mt-archive.info/10/EAMT-2010-Andra-ppt.pdf	User report	User report: Employing Machine Translation in Glocalization Tasks – A Use Case Study
Haitian Creole: How to Build and Ship an MT Engine from Scratch in 4 days, 17 hours, & 30 minutes	Lewis, William	http://www.mt-archive.info/10/EAMT-2010-Lewis.pdf	http://www.mt-archive.info/10/EAMT-2010-Lewis-ppt.pdf	User report	User report: Haitian Creole: How to Build and Ship an MT Engine from Scratch in 4 days, 17 hours, & 30 minutes
Bottom-up Transfer in Example-based Machine Translation	Vandeghinste, Vincent and Martens, Scott	http://www.mt-archive.info/10/EAMT-2010-Vandeghinste.pdf	http://www.mt-archive.info/10/EAMT-2010-Vandeghinste-ppt.pdf	Research paper	Research paper: Bottom-up Transfer in Example-based Machine Translation
A Bootstrapped Interlingua-Based SMT Architecture	Rayner, Manny and Estrella, Paula and Bouillon, Pierrette	http://www.mt-archive.info/10/EAMT-2010-Rayner.pdf	http://www.mt-archive.info/10/EAMT-2010-Rayner-ppt.pdf	Research paper	Research paper: A Bootstrapped Interlingua-Based SMT Architecture
Automatic Determination of Number of clusters for creating Templates in Example-Based Machine Translation	Gangadharaiah, Rashmi and Brown, Ralf and Carbonell, Jaime	http://www.mt-archive.info/10/EAMT-2010-Gangadharaiah.pdf	http://www.mt-archive.info/10/EAMT-2010-Gangadharaiah-ppt.pdf	Research paper	Research paper: Automatic Determination of Number of clusters for creating Templates in Example-Based Machine Translation
European Community supported projects: Friday 28 May
Best Thesis Awards: Friday 28 May
