Title	Authors	Pdf	Presentation	Volume_Name	Raw_webtext
Cover Preliminary texts	Way.....i-ii, Foreword: Andy	http://www.mt-archive.info/10/EAMT-2011-cover.pdf			[Cover]
Preliminary texts	Way.....i-ii, Foreword: Andy	http://www.mt-archive.info/10/EAMT-2011-prelims.pdf			[Preliminary texts]
Invited talk
A Tale of Two Technologies	Hollowood, Fred	http://www.mt-archive.info/10/EAMT-2011-Hollowood-abs.pdf		Invited talk	A Tale of Two Technologies
Users
Tapta: A user-driven translation system for patent documents based on domain-aware Statistical Machine Translation	Pouliquen, Bruno and Mazenc, Christophe and Iorio, Aldo	http://www.mt-archive.info/10/EAMT-2011-Pouliquen.pdf	http://www.mt-archive.info/10/EAMT-2011-Pouliquen-ppt.pdf	Users	Tapta: A user-driven translation system for patent documents based on domain-aware
Statistical Machine Translation	Pouliquen, Bruno and Mazenc, Christophe and Iorio, Aldo	http://www.mt-archive.info/10/EAMT-2011-Pouliquen.pdf	http://www.mt-archive.info/10/EAMT-2011-Pouliquen-ppt.pdf	Users	Statistical Machine Translation
A Comparative Evaluation of Research vs. Online MT Systems	Toral, Antonio and Gaspari, Federico and Naskar, Sudip Kumar and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Toral-1.pdf	http://www.mt-archive.info/10/EAMT-2011-Toral-1-ppt.pdf	Users	A Comparative Evaluation of Research vs. Online MT Systems
Experiments on Domain Adaptation for Patent Machine Translation in the PLuTO project	Ceauşu, Alexandru and Tinsley, John and Way, Jian Zhang and Andy	http://www.mt-archive.info/10/EAMT-2011-Ceausu.pdf	http://www.mt-archive.info/10/EAMT-2011-Ceausu-ppt.pdf	Users	Experiments on Domain Adaptation for Patent Machine Translation in the PLuTO
project	Ceauşu, Alexandru and Tinsley, John and Way, Jian Zhang and Andy	http://www.mt-archive.info/10/EAMT-2011-Ceausu.pdf	http://www.mt-archive.info/10/EAMT-2011-Ceausu-ppt.pdf	Users	project
Bologna Translation Service: Online translation of course syllabi and study programmes in English	Depraetere, Heidi and Van Den Bogaert, Joachim and Van De Walle, Joeri	http://www.mt-archive.info/10/EAMT-2011-Depraetere.pdf		Users	Bologna Translation Service: Online translation of course syllabi and study programmes
in English	Depraetere, Heidi and Van Den Bogaert, Joachim and Van De Walle, Joeri	http://www.mt-archive.info/10/EAMT-2011-Depraetere.pdf		Users	in English
Evaluation of SMT in localization to under-resourced inflected language	Skadiņš, Raivis and Puriņš, Maris and Skadiņa, Inguna and Vasiļjevs, Andrejs	http://www.mt-archive.info/10/EAMT-2011-Skadins.pdf	http://www.mt-archive.info/10/EAMT-2011-Skadins-ppt.pdf	Users	Evaluation of SMT in localization to under-resourced inflected language
An innovative platform to allow translation of Internet sites	Hoffenberg, Théo and Brun-Franc, Christophe	http://www.mt-archive.info/10/EAMT-2011-Hoffenberg.pdf		Users	An innovative platform to allow translation of Internet sites
The Integration of Moses into Localization Industry	Hudik, Tomáš and Ruopp, Achim	http://www.mt-archive.info/10/EAMT-2011-Hudik.pdf		Users	The Integration of Moses into Localization Industry
SMT-CAT integration in a Technical Domain: Handling XML Markup Using Pre & Post-processing Methods	Tezcan, Arda and Vandeghinste, Vincent	http://www.mt-archive.info/10/EAMT-2011-Tezcan.pdf		Users	SMT-CAT integration in a Technical Domain: Handling XML Markup Using Pre &
Post-processing Methods	Tezcan, Arda and Vandeghinste, Vincent	http://www.mt-archive.info/10/EAMT-2011-Tezcan.pdf		Users	Post-processing Methods
Towards a User-Friendly Webservice Architecture for Statistical Machine Translation in the PANACEA project	Toral, Antonio and Pecina, Pavel and Poch, Andy Way and Marc	http://www.mt-archive.info/10/EAMT-2011-Toral-2.pdf		Users	Towards a User-Friendly Webservice Architecture for Statistical Machine Translation
in the PANACEA project	Toral, Antonio and Pecina, Pavel and Poch, Andy Way and Marc	http://www.mt-archive.info/10/EAMT-2011-Toral-2.pdf		Users	in the PANACEA project
Research Papers
Exploiting Objective Annotations for Minimising Translation Post-editing Effort	Specia, Lucia	http://www.mt-archive.info/10/EAMT-2011-Specia.pdf	http://www.mt-archive.info/10/EAMT-2011-Specia-ppt.pdf	Research Papers	Exploiting Objective Annotations for Minimising Translation Post-editing Effort
Using word alignments to assist computer-aided translation users by marking which target-side words to change or keep unedited	Esplà, Miquel and Sánchez-Martínez, Felipe and Forcada, Mikel L	http://www.mt-archive.info/10/EAMT-2011-Espla.pdf	http://www.mt-archive.info/10/EAMT-2011-Espla-ppt.pdf	Research Papers	Using word alignments to assist computer-aided translation users by marking which
target-side words to change or keep unedited	Esplà, Miquel and Sánchez-Martínez, Felipe and Forcada, Mikel L	http://www.mt-archive.info/10/EAMT-2011-Espla.pdf	http://www.mt-archive.info/10/EAMT-2011-Espla-ppt.pdf	Research Papers	target-side words to change or keep unedited
Combining Multi-Engine Machine Translation and Online Learning through Dynamic Phrase Tables	Sennrich, Rico	http://www.mt-archive.info/10/EAMT-2011-Sennrich.pdf	http://www.mt-archive.info/10/EAMT-2011-Sennrich-ppt.pdf	Research Papers	Combining Multi-Engine Machine Translation and Online Learning through Dynamic Phrase Tables
Choosing the best machine translation system to translate a sentence by using only source-language information	Sánchez-Martínez, Felipe	http://www.mt-archive.info/10/EAMT-2011-Sanchez-Martinez.pdf	http://www.mt-archive.info/10/EAMT-2011-Sanchez-Martinez-ppt.pdf	Research Papers	Choosing the best machine translation system to translate a sentence by using only
source-language information	Sánchez-Martínez, Felipe	http://www.mt-archive.info/10/EAMT-2011-Sanchez-Martinez.pdf	http://www.mt-archive.info/10/EAMT-2011-Sanchez-Martinez-ppt.pdf	Research Papers	source-language information
Searching Parallel Corpora for Contextually Equivalent Terms	Barrière, Caroline and Isabelle, Pierre	http://www.mt-archive.info/10/EAMT-2011-Barriere.pdf		Research Papers	Searching Parallel Corpora for Contextually Equivalent Terms
Rule-based Reordering Constraints for Phrase-based SMT	Goh, Chooi-Ling and Onishi, Takashi and Sumita, Eiichiro	http://www.mt-archive.info/10/EAMT-2011-Goh.pdf		Research Papers	Rule-based Reordering Constraints for Phrase-based SMT
Deriving translation units using small additional corpora	Q., Carlos A. Henríquez and Mariño, José B. and Banchs, Rafael E.	http://www.mt-archive.info/10/EAMT-2011-Henriquez.pdf		Research Papers	Deriving translation units using small additional corpora
BP2EP - Adaptation of Brazilian Portuguese texts to European Portuguese	Marujo, Luis and Grazina, Nuno and Luis, Tiago and Ling, Wang and Coheur, Luisa and Trancoso, Isabel	http://www.mt-archive.info/10/EAMT-2011-Marujo.pdf		Research Papers	BP2EP - Adaptation of Brazilian Portuguese texts to European Portuguese
Cognate Identification for a French - Romanian Lexical Alignment System: Empirical Study	Navlea, Mirabela and Todiraşcu, Amalia	http://www.mt-archive.info/10/EAMT-2011-Navlea.pdf		Research Papers	Cognate Identification for a French - Romanian Lexical Alignment System: Empirical Study
Rapid rule-based machine translation between Dutch and Afrikaans	Otte, Pim and Tyers, Francis M.	http://www.mt-archive.info/10/EAMT-2011-Otte.pdf		Research Papers	Rapid rule-based machine translation between Dutch and Afrikaans
Preliminary Experiments on Using Users' Post-Editions to Enhance a SMT System Oracle-based Training for Phrase-based Statistical Machine Translation	Srivastava, Ankit and Ma, Yanjun and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Potet.pdf		Research Papers	Preliminary Experiments on Using Users' Post-Editions to Enhance a SMT System Marion Potet, Emmanuelle Esperança-Rodier, Hervé Blanchon and Laurent Besacier    ….    161
Oracle-based Training for Phrase-based Statistical Machine Translation	Srivastava, Ankit and Ma, Yanjun and Way, Andy	http://www.mt-archive.info/10/EAMT-2011-Srivastava.pdf		Research Papers	Oracle-based Training for Phrase-based Statistical Machine Translation
The Sentence-Aligned European Patent Corpus	Täger, Wolfgang	http://www.mt-archive.info/10/EAMT-2011-Tager.pdf		Research Papers	The Sentence-Aligned European Patent Corpus
A resource-light phrase scheme for language-portable MT	Tambouratzis, George and Simistira, Fotini and Sofianopoulos, Sokratis and Tsimboukakis, Nikos	http://www.mt-archive.info/10/EAMT-2011-Tambouratzis.pdf		Research Papers	A resource-light phrase scheme for language-portable MT
Constrained Recombination in an Example-based Machine Translation System	Gavrila, Monica	http://www.mt-archive.info/10/EAMT-2011-Gavrila.pdf	http://www.mt-archive.info/10/EAMT-2011-Gavrila-ppt.pdf	Research Papers	Constrained Recombination in an Example-based Machine Translation System
Using Example-Based MT to Support Statistical MT when Translating Homogeneous  Data in a Resource-Poor Setting	Dandapat, Sandipan and Morrissey, Sara and Forcada, Andy Way and Mikel L.	http://www.mt-archive.info/10/EAMT-2011-Dandapat.pdf	http://www.mt-archive.info/10/EAMT-2011-Dandapat-ppt.pdf	Research Papers	Using Example-Based MT to Support Statistical MT when Translating Homogeneous
 Data in a Resource-Poor Setting	Dandapat, Sandipan and Morrissey, Sara and Forcada, Andy Way and Mikel L.	http://www.mt-archive.info/10/EAMT-2011-Dandapat.pdf	http://www.mt-archive.info/10/EAMT-2011-Dandapat-ppt.pdf	Research Papers	 Data in a Resource-Poor Setting
Combining Semantic and Syntactic Generalization in Example-Based Machine Translation	Ebling, Sarah and Way, Andy and Volk, Martin and Naskar, Sudip Kumar	http://www.mt-archive.info/10/EAMT-2011-Ebling.pdf	http://www.mt-archive.info/10/EAMT-2011-Ebling-ppt.pdf	Research Papers	Combining Semantic and Syntactic Generalization in Example-Based Machine Translation
Apertium-IceNLP: A rule-based Icelandic to English machine translation system	Brandt, Martha Dís and Loftsson, Hrafh and Sigurþórsson, Hlynur and Tyers, Francis M.	http://www.mt-archive.info/10/EAMT-2011-Brandt.pdf	http://www.mt-archive.info/10/EAMT-2011-Brandt-ppt.pdf	Research Papers	Apertium-IceNLP: A rule-based Icelandic to English machine translation system
From Statistical Term Extraction to Hybrid Machine Translation	Wolf, Petra and Bernardi, Ulrike and Federmann, Christian and Hunsicker, Sabine	http://www.mt-archive.info/10/EAMT-2011-Wolf.pdf	http://www.mt-archive.info/10/EAMT-2011-Wolf-ppt.pdf	Research Papers	From Statistical Term Extraction to Hybrid Machine Translation
Improving Machine Translation Quality Prediction with Syntactic Tree Kernels	Hardmeier, Christian	http://www.mt-archive.info/10/EAMT-2011-Hardmeier.pdf	http://www.mt-archive.info/10/EAMT-2011-Hardmeier-ppt.pdf	Research Papers	Improving Machine Translation Quality Prediction with Syntactic Tree Kernels
