Title	Authors	Pdf	Presentation	Volume_Name	Notes
Preface		http://www.mt-archive.info/10/FreeRBMT-2011-preface.pdf			Table of Contents
MOLTO: multilingual on-line translation	Aarne Ranta	http://www.mt-archive.info/10/FreeRBMT-2011-Ranta.pdf			                    Invited talks [absract]
FreeLing: open-source natural language processing for research and development	Lluís Padró	http://www.mt-archive.info/10/FreeRBMT-2011-Padro.pdf			                    Invited talks [absract]
Towards synchronous extensible dependency grammar	Michael Gasser	http://www.mt-archive.info/10/FreeRBMT-2011-Gasser.pdf			Techniques and formalisms for free/open source machine translation
Taking on new challenges in multi-word unit processing for machine translation	Johanna Monti and Anabela Barreiro and Annibale Elia and Federica Marano and Antonella Napoli	http://www.mt-archive.info/10/FreeRBMT-2011-Monti.pdf			Techniques and formalisms for free/open source machine translation
Bootstrapping a statistical speech translator from a rule-based one	Manny Rayner and Paula Estrella and Pierrette Bouillon	http://www.mt-archive.info/10/FreeRBMT-2011-Rayner.pdf			Techniques and formalisms for free/open source machine translation
Maca – a configurable tool to integrate Polish morphological data	Adam Radziszewski and Tomasz Śniatowski	http://www.mt-archive.info/10/FreeRBMT-2011-Radziszewski.pdf			Tools for free/open-source machine translation
Automatic acquisition of named entities for rule-based machine translation	Antonio Toral and Andy Way	http://www.mt-archive.info/10/FreeRBMT-2011-Toral-1.pdf			Tools for free/open-source machine translation
Apertium advanced web interface: a first step toward interactivity and language tools convergence	Arnaud Vié and Luis Villarejo Muñoz and Mireia Farrús Cabeceran and Jimmy O’Regan	http://www.mt-archive.info/10/FreeRBMT-2011-Vie.pdf			Tools for free/open-source machine translation
Rule-based machine translation between Bulgarian and Macedonian	Tihomir Rangelov	http://www.mt-archive.info/10/FreeRBMT-2011-Rangelov.pdf			Free/open-source linguistic data and language pairs
A widely used machine translation service and its migration to a free/open-source solution: the case of Softcatalà	Xavier Ivars-Ribes and Victor M. Sánchez-Cartagena	http://www.mt-archive.info/10/FreeRBMT-2011-Ivar-Ribes.pdf			Free/open-source linguistic data and language pairs
Shallow-transfer rule-based machine translation from Czech to Polish	Joanna Ruth and Jimmy O’Regan	http://www.mt-archive.info/10/FreeRBMT-2011-Ruth.pdf			Free/open-source linguistic data and language pairs
An Italian to Catalan RBMT system reusing data from existing language pairs	Antonio Toral and Mireia Ginestí-Rosell and Francis Tyers	http://www.mt-archive.info/10/FreeRBMT-2011-Toral-2.pdf			
