Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Overview of the IWSLT06 evaluation campaign	Michael Paul	http://www.mt-archive.info/05/IWSLT-2006-Paul.pdf				
Finite-state transducer-based statistical machine translation using joint probabilities	Srinivas Bangalore and Stephan Kanthak and Patrick Haffner	http://www.mt-archive.info/05/IWSLT-2006-Bangalore.pdf				
IWSLT-06: experiments with commercial MT systems and lessons from subjective evaluations	Christian Boitet and Youcef Bey and Mutsuko Tomokio and Wenjie Cao and Hervé Blanchon	http://www.mt-archive.info/05/IWSLT-2006-Boitet.pdf				
MATREX: DCU machine translation system for IWSLT 2006.	Nicolas Stroppa and Andy Way	http://www.mt-archive.info/05/IWSLT-2006-Stroppa.pdf				
Toward integrating word sense and entity disambiguation into statistical machine translation	Marine Carpuat and Yihai Shen and Xiaofeng Yu and Dekai Wu	http://www.mt-archive.info/05/IWSLT-2006-Carpuat.pdf				
IBM Arabic-to-English translation for IWSLT 2006	Young-Suk Lee	http://www.mt-archive.info/05/IWSLT-2006-Lee.pdf				
The ITC-irst SMT system for IWSLT 2006	Boxing Chen and Roldano Cattoni and Nicola Bertoldi and Mauro Cettolo and Marcello Federico	http://www.mt-archive.info/05/IWSLT-2006-Chen-1.pdf				
The JHU workshop 2006 IWSLT system	Wade Shen and Richard Zens and Nicola Bertoldi and Marcello Federico	http://www.mt-archive.info/05/IWSLT-2006-Shen-1.pdf				
Example-based machine translation based on deeper NLP	Toshiaki Nakazawa and Kun Yu and Daisuke Kawahara and Sadao Kurohashi	http://www.mt-archive.info/05/IWSLT-2006-Nakazawa.pdf				
The MIT-LL/AFRL IWSLT-2006 MT system	Wade Shen and Brian Delaney and Tim Anderson	http://www.mt-archive.info/05/IWSLT-2006-Shen-2.pdf				
Phrase reordering for statistical machine translation based on predicate-argument structure	Mamoru Komachi and Masaaki Nagata and Yuji Matsumoto	http://www.mt-archive.info/05/IWSLT-2006-Komachi.pdf				
