Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
Language technology in humanitarian aid and disaster response 	Scott Hourin	http://www.mt-archive.info/05/IWSLT-2008-Hourin.pdf				
Overview of the IWSLT 2008 evaluation campaign.  	Michael Paul	http://www.mt-archive.info/05/IWSLT-2008-Paul.pdf				
The CMU syntax-augmented machine translation system: SAMT on Hadoop with n-best alignments. 	Andreas Zollmann and Ashish Venugopal and Stephan Vogel	http://www.mt-archive.info/05/IWSLT-2008-Zollmann.pdf				
Exploiting alignment techniques in MATREX: the DCU machine translation system for IWSLT 2008. 	Yanjun Ma and John Tinsley and Hany Hassan and Jinhua Du and Andy Way	http://www.mt-archive.info/05/IWSLT-2008-Ma.pdf				
FBK @ IWSLT-2008. 	Nicola Bertoldi and Roldano Cattoni and Marcello Federico and Madalina Barbaiani	http://www.mt-archive.info/05/IWSLT-2008-Bertoldi-1.pdf				
The GREYC machine translation system for the IWSLT 2008 evaluation campaign. 	Yves Lepage and Adrien Lardilleux and Julien Gosme and Jean-Luc Manguin	http://www.mt-archive.info/05/IWSLT-2008-Lepage.pdf				
I2R multi-pass machine translation system for IWSLT 2008.	Boxing Chen and Deyi Xiong and Min Zhang and Aiti Aw and Haizhou Li	http://www.mt-archive.info/05/IWSLT-2008-Chen.pdf				
The ICT system description for IWSLT 2008.	Yang Liu and Zhongjun He and Haitao Mi and Yun Huang and Yang Feng and Wenbin Jiang and Yajuan Lu and Qun Liu	http://www.mt-archive.info/05/IWSLT-2008-Liu.pdf				
The LIG Arabic/English speech translation system at IWSLT08.	L.Besacier and A.Ben-Youssef and H.Blanchon	http://www.mt-archive.info/05/IWSLT-2008-Besacier.pdf				
The LIUM Arabic/English statistical machine translation system for IWSLT 2008.	Holger Schwenk and Yannick Estève and Sadaf Abdul Rauf	http://www.mt-archive.info/05/IWSLT-2008-Schwenk-1.pdf				
The MIT-LL/AFRL IWSLT-2008 MT system.	Wade Shen and Brian Delaney and Tim Anderson and Ray Slyh	http://www.mt-archive.info/05/IWSLT-2008-Shen.pdf				
The NICT/ATR speech translation system for IWSLT 2008.	Masao Utiyama and Andrew Finch and Hideo Okuma and Michael Paul and Hailong Cao and Hirofumi Yamamoto and Keiji Yasuda and Eiichiro Sumita	http://www.mt-archive.info/05/IWSLT-2008-Utiyama.pdf				
