Title	Authors	Pdf	Presentation	Volume_Name	Notes
Head finalization: translation from SVO to SOV	Hideki Isozaki	http://www.mt-archive.info/10/IWSLT-2012-Isozaki.pdf			abstract
Toward universal network-based speech translation 	Chai Wutiwiwatchai	http://www.mt-archive.info/10/IWSLT-2012-Wutiwiwatchai.pdf			abstract
Who can understand your speech better – deep neural network of Gaussian mixture model	Dong Yu	http://www.mt-archive.info/10/IWSLT-2012-Yu.pdf			abstract
Overview of the IWSLT 2012 evaluation campaign	M.Federico and M.Cettolo and L.Bentivogli and M.Paul and S.Stüker	http://www.mt-archive.info/10/IWSLT-2012-Federico.pdf			
The NICT ASR system for IWSLT2012	Hitoshi Yamamoto and Youzheng Wu and Chien-Lin Huang and Xugang Lu and Paul R.Dixon and Shigeki Matsuda and Chiori Hori and Hideki Kashioka	http://www.mt-archive.info/10/IWSLT-2012-Yamamoto.pdf			
The KIT translation systems for IWSLT 2012	Mohammed Mediani and Yuqi Zhang and Thanh-Le Ha and Jan Niehues and Eunach Cho and Teresa Herrmann and Rainer Kärgel and Alexander Waibel	http://www.mt-archive.info/10/IWSLT-2012-Mediani.pdf			
The UEDIN systems for the IWSLT 2012 evaluation	Eva Hasler and Peter Bell and Arnab Ghoshal and Barry Haddow and Philipp Koehn and Fergus McInnes and Steve Renals and Pawel Swietojanski	http://www.mt-archive.info/10/IWSLT-2012-Hasler-1.pdf			
The NAIST machine translation system for IWSLT2012	Graham Neubig and Kevin Duh and Masaya Ogushi and Takamoto Kano and Tetsuo Kiso and Sakriani Sakti and Tomoki Toda and Satoshi Nakamura	http://www.mt-archive.info/10/IWSLT-2012-Neubig.pdf			
FBK’s machine translation systems for IWSLT 2012’s TED lectures	N.Ruiz and A.Bisazza and R.Cattoni and M.Federico	http://www.mt-archive.info/10/IWSLT-2012-Ruiz-1.pdf			
The RWTH Aachen speech recognition and machine translation system for IWSLT 2012	Stephan Peitz and Saab Mansour and Markus Freitag and Minwei Feng and Matthias Huck and Joern Wuebker and Malte Nuhn and Markus Nußbaum-Thom and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2012-Peitz-1.pdf			
The HIT-LTRC machine translation system for IWSLT 2012	Xiaoning Zhu and Yiming Cui and Conghui Zhu and Tiejun Zhao and Hailong Cao	http://www.mt-archive.info/10/IWSLT-2012-Zhu.pdf			
FBK@IWSLT 2012 – ASR track	D.Falavigna and R.Gretter and F.Brugnara and D.Giuliani	http://www.mt-archive.info/10/IWSLT-2012-Falavigna-1.pdf			
The 2012 KIT and KIT-NAIST English ASR systems for the IWSLT evaluation	Christian Saam and Christian Mohr and Kevin Kilgour and Michael Heck and Matthias Sperber and Keigo Kubo and Sebatian Stüker and Sakriani Sakri and Graham Neubig and Tomoki Toda and Satoshi Nakamura and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2012-Saam.pdf			
The KIT-NAIST (contrastive) English ASR system for IWSLT 2012	Michael Heck and Keigo Kubo and Matthias Sperber and Sakriani Sakti and Sebastian Stüker and Christian Saam and Kevin Kilgour and Christian Mohr and Graham Neubig and Tomoki Toda and Satoshi Nakamura and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2012-Heck.pdf			
EBMT system of Kyoto University in OLYMPICS task at IWSLT 2012	Chenhui Chu and Toshiaki Nakazawa and Sadao Kurohashi	http://www.mt-archive.info/10/IWSLT-2012-Chu.pdf			
The LIG English to French machine translation system for IWSLT 2012	Laurent Besacier and Benjamin Lecouteux and Marwen Azouzi and Luong Ngoc Quang	http://www.mt-archive.info/10/IWSLT-2012-Besacier.pdf			
The MIT-LL/AFRL IWSLT 2012 MT system	Jennifer Drexler and Wade Shen and Tim Anderson and Raymond Slyh and Brian Ore and Eric Hansen Terry Gleason	http://www.mt-archive.info/10/IWSLT-2012-Drexler.pdf			
Minimum Bayes-risk decoding extended with similar examples: NAIST-NCT at IWSLT 2012	Hiroaki Shimizu and Masao Utiyama and Eiichiro Sumita and Satoshi Nakamura	http://www.mt-archive.info/10/IWSLT-2012-Shimizu.pdf			
The NICT translation system for IWSLT 2012	Andrew Finch and Ohnmar Htun and Eiichiro Sumita	http://www.mt-archive.info/10/IWSLT-2012-Finch.pdf			
TED Polish-to-English translation system for the IWSLT 2012	Krzysztof Marasek	http://www.mt-archive.info/10/IWSLT-2012-Marasek.pdf			
Forest-to-string translation using binarized dependency forest for IWSLT 2012 OLYMPICS task	Hwidong Na Jong-Hyeok Lee	http://www.mt-archive.info/10/IWSLT-2012-Na.pdf			
Romanian to English automatic MT experiments at IWSLT12 – system description paper	Ştefan Daniel Dumitrescu and Radu Ion and Dan Ştefănescu and Tiberiu Boroş and Dan Tufiş	http://www.mt-archive.info/10/IWSLT-2012-Dumitrescu.pdf			
The TÜBİTAK statistical machine translation system for IWSLT 2012	Coşkun Mermer and Hamza Kaya and İlknur Durgar El-Kahlout and Mehmet Uğur Doğan	http://www.mt-archive.info/10/IWSLT-2012-Mermer.pdf			
Active error detection and resolution for speech-to-speech translation	Rohit Prasad and Rohit Kumar and Sankaranarayanan Ananthakrishnan and Wei Chen and Sanjika Hewavitharana and Matthew Roy and Frederick Choi and Aaron Challenner and Enoch Kan and Arvid Neelakantan and Prem Natarajan	http://www.mt-archive.info/10/IWSLT-2012-Prasad.pdf			
A method for translation of paralinguistic information	Takatomo Kano and Sakriani Sakti and Shinnosuke Takamichi and Graham Neubig and Tomoki Toda and Satoshi Nakamura	http://www.mt-archive.info/10/IWSLT-2012-Kano.pdf			
Continuous space language models using restricted Boltzmann machines	Jan Niehues Alex Waibel	http://www.mt-archive.info/10/IWSLT-2012-Niehues.pdf			
Focusing language models for automatic speech recognition	Daniele Falavigna Roberto Gretter	http://www.mt-archive.info/10/IWSLT-2012-Falavigna-2.pdf			
Simulating human judgment in machine translation evaluation campaigns	Philipp Koehn	http://www.mt-archive.info/10/IWSLT-2012-Koehn.pdf			
Semi-supervised transliteration mining from parallel and comparable corpora	Walid Aransa and Holger Schwenk and Loic Barrault	http://www.mt-archive.info/10/IWSLT-2012-Aransa.pdf			
A simple and effective weighted phrase extraction for machine translation adaptation	Saab Mansour Hermann Ney	http://www.mt-archive.info/10/IWSLT-2012-Mansour.pdf			
Applications of data selection via cross-entropy difference for real-world statistical machine translation	Amittai Axelrod and QingJun Li and William D.Lewis	http://www.mt-archive.info/10/IWSLT-2012-Axelrod.pdf			
A universal approach to translating numerical and time expressions	Mei Tu and Yu Zhou Chengqing Zong	http://www.mt-archive.info/10/IWSLT-2012-Tu.pdf			
Evaluation of interactive user corrections for lecture transcription	Heinrich Kolkhorst and Kevin Kilgour and Sebastian Stüker and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2012-Kolkhorst.pdf			
Factored recurrent neural network language model in TED lecture transcription	Youzheng Wu and Hitoshi Yamamoto and Xugang Lu and Shigeki Matsuda and Chiori Hori and Hideki Kashioka	http://www.mt-archive.info/10/IWSLT-2012-Wu.pdf			
Incremental adaptation using translation information and post-editing analysis	Frédéric Blain and Holger Schwenk and Jean Senellart	http://www.mt-archive.info/10/IWSLT-2012-Blain.pdf			
Interactive-predictive speech-enabled computer-assisted translation	Shahram Khadivi Zeinab Vakil	http://www.mt-archive.info/10/IWSLT-2012-Khadivi.pdf			
MDI adaptation for the lazy: avoiding normalization in LM adaptation for lecture translation	Nick Ruiz and Marcello Federico	http://www.mt-archive.info/10/IWSLT-2012-Ruiz-2.pdf			
Segmentation and punctuation prediction in speech language translation using a monolingual translation system	Eunah Cho and Jan Niehues and Alex Waibel	http://www.mt-archive.info/10/IWSLT-2012-Cho.pdf			
Sequence labeling-based reordering model for phrase-based SMT	Minwei Feng and Jan-Thorsten Peter and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2012-Feng.pdf			
Sparse lexicalised features and topic adaptation for SMT	Eva Hasler and Barry Haddow and Philipp Koehn	http://www.mt-archive.info/10/IWSLT-2012-Hasler-2.pdf			
Spoken language translation using automatically transcribed text in training	Stephan Peitz and Simon Wiesler and Markus Nußbaum-Thom and Hermann Ney	http://www.mt-archive.info/10/IWSLT-2012-Peitz-2.pdf			
Towards a better understanding of statistical post-editing	Marion Potet and Laurent Besacier and Hervé Blanchon and Marwen Azouzi	http://www.mt-archive.info/10/IWSLT-2012-Potet.pdf			
