Title	Authors	Pdf	Presentation	Volume_Name	Pages	Notes
META, META-NET and META-FORUM	Hans Uszkoreit					
Language technologies for better intenet services	Thomas Hofmann					
An Overview of Multilingual LT Research in Europe	Josef van Genabith	http://www.mt-archive.info/10/META-FORUM-2011-VanGenabith.pdf				
Moses: The Success of an Open-Source Machine Translation Platform	Philipp Koehn	http://www.mt-archive.info/10/META-FORUM-2011-Koehn.pdf				
META-RESEARCH: Leading-Edge Machine Translation Research for Multilingual Europe	Jan Hajic	http://www.mt-archive.info/10/META-FORUM-2011-Hajic.pdf				
Visibility for the European Industrial LT Landscape	Jochen Hummel	http://www.mt-archive.info/10/META-FORUM-2011-Hummel.pdf				
Interactive Language Technology at Vodafone	László Podhorányi	http://www.mt-archive.info/10/META-FORUM-2011-Podhoranyi.pdf				
Role and Challenges of the Corporate Language Management at Daimler AG	Johannes Bursch	http://www.mt-archive.info/10/META-FORUM-2011-Bursch.pdf				
Introducing iTranslate4	Laszlo Tihanyi	http://www.mt-archive.info/10/META-FORUM-2011-Tihanyi.pdf				
Language Technology – From Research to Innovation	Rose Lockwood	http://www.mt-archive.info/10/META-FORUM-2011-Lockwood.pdf				
EC support for LT – What has been done so far, what are the future perspectives?	Roberto Cencioni	http://www.mt-archive.info/10/META-FORUM-2011-Cencioni.pdf				
META-SHARE: An Open Resource Exchange Infrastructure for Stimulating Research and Innovation	Stelios Piperidis	http://www.mt-archive.info/10/META-FORUM-2011-Piperidis.pdf				
The META-NET White Paper Series on European Languages	Andrejs Vasiljevs	http://www.mt-archive.info/10/META-FORUM-2011-Vasiljevs.pdf				
“Building Watson: language technologies for Deep QA and the Jeopardy! challenge”	Bran Boguraev					
Language Technology at European Institutions	Conrad Toft	http://www.mt-archive.info/10/META-FORUM-2011-Toft.pdf				
Machine Translation at the European Commission	Spyridon Pilos	http://www.mt-archive.info/10/META-FORUM-2011-Pilos.pdf				
The CESAR Project – enabling LRT for 70M+ Speakers	Marko Tadic	http://www.mt-archive.info/10/META-FORUM-2011-Tadic.pdf				
Polish LRTs – CESAR's story	Maciej Ogrodniczuk and Adam Przepiórkowski	http://www.mt-archive.info/10/META-FORUM-2011-Ogrodniczuk.pdf				
Furthering LRT in Bulgaria	Svetla Koeva	http://www.mt-archive.info/10/META-FORUM-2011-Koeva.pdf				
Hungarian Language Technology – From Platform to Alliance	Tamás Váradi	http://www.mt-archive.info/10/META-FORUM-2011-Varadi.pdf				
Introduction	Hans Uszoreit	http://www.mt-archive.info/10/META-FORUM-2011-Uszkoreit-1.pdf				
The Future European Multilingual Information Society	Joseph Mariani	http://www.mt-archive.info/10/META-FORUM-2011-Mariani.pdf				
The Strategic Research Agenda for Multilingual Europe – Summary of Discussions and Plan for Completion	Hans Uszoreit	http://www.mt-archive.info/10/META-FORUM-2011-Uszkoreit-2.pdf				
META Prize and META Seal of Recognition Award Ceremony	Georg Rehm and Josef van Genabith	http://www.mt-archive.info/10/META-FORUM-2011-Rehm.pdf				
“META: Towards Multilingual Europe”	Hans Uskoreit					
