Title	Authors	Pdf	Presentation	Volume_Name	Notes
Advances in Machine Translation in IBM	Mori Rimon and Michael McCord and Ulrike Schwall and Pilar Martínez				Part I: Project Descriptions
Architecture Sketch of EUROTRA-II	Jörg Schütz and George Thurmair and Roberto Cencioni				Part I: Project Descriptions
Multilingual Machine Translation Systems in the Future	Hozumi Tanaka	http://www.mt-archive.info/Nirenburg-1993-Tanaka.pdf			Part I: Project Descriptions
Speech Translation at ATR	Akira Kurematsu	http://www.mt-archive.info/Nirenburg-1993-Kurematsu.pdf			Part I: Project Descriptions
ULTRA: A Multilingual Machine Translator	David Farwell and Yorick Wilks				Part II: System Descriptions
Translation Techniques in Chinese	Wanying Jin				Part II: System Descriptions
Capturing Language-Specific Semantic Distinctions in Interlingua-Based MT	James Barnen and Inderjeet Mani and Elaine Rich and Chinatsu Aone and Kevin Knightand Juan Carlos Martinez				Part II: System Descriptions
Applying an experimental MT system to a realistic problem	Pierrette Bouillon and Katharina Boesefeldt				Part II: System Descriptions
ArchTran: A Corpus-based Statistics-oriented English-Chinese Machine Translation System	Shu-Chuan Chen and Jing-Shin Chang and Jong-Nae Wang and Keh-Yih Su				Part II: System Descriptions
The METAL System. Status	Thomas Schneider				Part II: System Descriptions
An Efficient Interlingua Translation System for Multi-lingual Document Production	Teruko Mitamura and Eric H. Nyberg and rd and Jaime G. Carbonell				Part II: System Descriptions
Multi-lingual Sentence Generation from the PIVOT Interlingua	Akitoshi Okumura and Kazunori Muraki and Susumu Akamine				Part II: System Descriptions
EJ/JE Machine Translation System ASTRANSAC - Extensions toward Personalization	Hideki Hirakawa and Hiroyasu Nogami and Shin-ya Amano				Part II: System Descriptions
Toward High Performance Machine Translation: Preliminary Results from Massively Parallel Memory-Based Translation on SNAP	Hiroaki Kitano and Dan Moldovan and Seungho Cha				Part II: System Descriptions
Connectionist and Symbolic Processing in Speech-to-Speech Translation: The JANUS System	A. N. Jain and A. E. McNair and A. Waibel and H. Saito and A. G. Hauptmann and J.Tebelskis				Part II: System Descriptions
Toward an MT System without Pre-Editing - Effects of New Methods in ALT-J/E	Satoru Ikehara and Satoshi Shirai and Akio Yokoo and Hiromi Nakaiwa				Part II: System Descriptions
KIELIKONE Machine Translation Workstation	H. Jäppinen and K. Hartonen and L. Kulikov and A. Nykänen and A. Ylä-Rotiala	http://www.mt-archive.info/Nirenburg-1993-Jappinen.pdf			Part III: MT Tools
The Translator’s Workbench: An Environment for Multi-Lingual Text Processing and Translation	Marianne Kugler and Gerd Heyer and Ralf Kese and Beate von Kleist-Retzowand Guenter Winkelmann				Part III: MT Tools
Automation of Bilingual Lexicon Compilation	I. Arturo Trujillo and David A. Plowman				Part III: MT Tools
Government Support for MT in Germany	Jan-Michael Czermak	http://www.mt-archive.info/Nirenburg-1993-Czermak.pdf			Part IV: MT and National Governments
Machine Translation: The Japanese Experience	Makoto Nagao	http://www.mt-archive.info/Nirenburg-1993-Nagao.pdf			Part IV: MT and National Governments
MT, the Federal Government, and the Role of Translator Associations	Deanna Hammond				Part IV: MT and National Governments
Forum: Building the Customer Base	Howard R. Teicher and Michael Gainet and Edith Losa and Maria Pilar Martinez-Perez and Muriel Jerome O'Keeffe and Sue Walker Toledo and Michael Zarenchak				PART V: MT in Use
Organizational Use of Machine Translation Systems	Zenshiro Kawasaki	http://www.mt-archive.info/Nirenburg-1993-Kawasaki.pdf			PART V: MT in Use
Machine Translation: Matching Reality to Expectations	Joann P. Ryan	http://www.mt-archive.info/Nirenburg-1993-Ryan.pdf			PART V: MT in Use
MT Application for the Translation Agency	Keizou Sakurai and Masahiko Ozeki and Yoshiyuki Nishihara				PART V: MT in Use
Forum: MT User Experience	Muriel Vasconcellos and Bernard Scon and John Chandioux and Hideki Tanaka				PART V: MT in Use
Forum: Translators and MT	Alex Gross and Claude Bédard and Harold Hille and Martin Kay and Frederick Kleinand Sergei Nirenburg				PART V: MT in Use
Forum: Evaluation of MT Systems	Margaret King and Yorick Wilks and Sture Allen and Ulrich Heid and Doris Albisser				PART V: MT in Use
Forum: Applications of MT Technology	Sergei Nirenburg and Rod Johnson and Richard Kitteredge and Lori Levin and Hiroshi Uchida and Steven Weinstein and Yorick Wilks and Stephen Richardson				PART VI: Applications of MT Technology
