Title	Authors	Pdf	Presentation	Volume_Name	Notes
Semitic linguistic phenomena and variations	Nizar Habash		http://www.mt-archive.info/00/MTS-2003-Habash-4.pdf		Invited Speakers
SMT -- TIDES -- and all that	Stephan Vogel (Carnegie-Mellon University)	http://www.mt-archive.info/00/MTS-2003-Vogel-2			Machine translation for Semitic languages: issues and approaches
The CMU Arabic-to-English statistical MT system	Alicia Tribble and Stephan Vogel (Carnegie-Mellon University)	http://www.mt-archive.info/00/MTS-2003-Tribble.pdf			Machine translation for Semitic languages: issues and approaches
Issues in Arabic MT	Alex Fraser (Information Sciences Institute)	http://www.mt-archive.info/00/MTS-2003-Fraser.pdf			Machine translation for Semitic languages: issues and approaches
	Y. Al-Onaizan				Machine translation for Semitic languages: issues and approaches
	C. Schafer				Machine translation for Semitic languages: issues and approaches
Roots & patterns vs. stems plus grammar-lexis specifications: on what basis should a multilingual database centred on Arabic be built?	Joseph Dichy and Ali Farghaly	http://www.mt-archive.info/00/MTS-2003-Dichy.pdf			Machine translation for Semitic languages: issues and approaches
Inductive coding of the Arabic lexicon	Ali Farghaly and Jean Senellart	http://www.mt-archive.info/00/MTS-2003-Farghaly.pdf			Machine translation for Semitic languages: issues and approaches
Application of corpus-based techniques to Amharic texts	Sisay Fissaha and Johann Haller	http://www.mt-archive.info/00/MTS-2003-Fissaha.pdf			Machine translation for Semitic languages: issues and approaches
Towards semantic composition of Arabic: a λ-DRT based approach	Bassam Haddad and Mustafa Yaseen	http://www.mt-archive.info/00/MTS-2003-Haddad.pdf			Machine translation for Semitic languages: issues and approaches
A corpus based morphological analyzer for unvocalized modern Hebrew	Alon Itai and Erel Segal	http://www.mt-archive.info/00/MTS-2003-Itai.pdf			Machine translation for Semitic languages: issues and approaches
A chart parser for analyzing modern standard Arabic sentence	Eman Othman and Khaled Shaalan and Ahmed Rafea	http://www.mt-archive.info/00/MTS-2003-Othman.pdf			Machine translation for Semitic languages: issues and approaches
A two-level syntax-based approach to Arabic-English statistical machine translation	Charles Schafer and David Yarowsky	http://www.mt-archive.info/00/MTS-2003-Schafer.pdf			Machine translation for Semitic languages: issues and approaches
Resources for processing Israeli Hebrew	Shuly Wintner and Shlomo Yona	http://www.mt-archive.info/00/MTS-2003-Wintner.pdf			Machine translation for Semitic languages: issues and approaches
