Title	Authors	Pdf	Presentation	Volume_Name	Notes
Investigations on Standard Arabic Geographical Classification	Ahmed Abdelali and Steve Helmreich and Ron Zacharski	http://www.mt-archive.info/05/MTS-2009-Abdelali.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Construction of a Persian Letter-to-Sound Conversion System	Mohammad Mehdi Arab and Ali Azimizadeh	http://www.mt-archive.info/05/MTS-2009-Mehdi-Arab.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Disfluency and Out-of-vocabulary Word Processing in Arabic Speech Understanding	Younès Bahou and Lamia Hadrich Belguith and Abdelmajid Ben Hamadou	http://www.mt-archive.info/05/MTS-2009-Bahou.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
NP Subject Detection in Verb-initial Arabic Clauses	Spence Green and Conal Sathi and Christopher D.Manning	http://www.mt-archive.info/05/MTS-2009-Green.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Automatic Extraction of Lemma-based Bilingual Dictionaries for Morphologically Rich Languages	Ibrahim M.Saleh and Nizar Habash	http://www.mt-archive.info/05/MTS-2009-Saleh.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Endoclitics in Pashto: Can They Really Do That?	Craig Kopris	http://www.mt-archive.info/05/MTS-2009-Kopris.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
A Unification based Approach to the Morphological Analysis and Generation of Arabic	Selçuk Köprü and Jude Miller	http://www.mt-archive.info/05/MTS-2009-Kopru.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Automatic Translation between English and Persian Texts	Chakaveh Saedi and Mehrnoush Shamsfard and Yasaman Motazedi	http://www.mt-archive.info/05/MTS-2009-Saedi.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Syntactic Generation of Arabic in Interlingua-based Machine Translation Framework	Khaled Shaalan and Azza Abdel Monem and Ahmed Rafea	http://www.mt-archive.info/05/MTS-2009-Shaalan.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
STeP-1: Standard Text Preparation for Persian Language	Mehrnoush Shamsfard and Soheila Kiani and Yaser Shahedi	http://www.mt-archive.info/05/MTS-2009-Shamsfard.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Corpus-based Analysis for Multi-token Units in Persian	Massoud Sharifi-Atashgah and Mahmood Bijankhan	http://www.mt-archive.info/05/MTS-2009-Sharifi-Atashgah.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
Developing English-Urdu Machine Translation via Hindi	R.Mahesh K.Sinha	http://www.mt-archive.info/05/MTS-2009-Sinha-2.pdf			CAASL3: Third Workshop on Computational Approaches to Arabic- Script-based Languages
