Title	Authors	Pdf	Presentation	Volume_Name	Notes
Front cover	Table of Contents	http://www.mt-archive.info/10/MTS-2011-cover.pdf			Summit XIII
Message from the President of International Association for Machine Translation	Hitoshi Isahara	http://www.mt-archive.info/10/MTS-2011-prelims.pdf			Preliminary
Message from the Program Committee Chair	Hiromi Nakaiwa	http://www.mt-archive.info/10/MTS-2011-prelims.pdf			
Tutorials		http://www.mt-archive.info/10/MTS-2011-tutorials.pdf			
Keynote	Zhendong Dong				
					
MT everywhere: Next Steps	Dr. Mike Dillinger	http://www.mt-archive.info/10/MTS-2011-Dillinger.pdf			Invited Talk 1
Strategic MT Research in Europe: Themes, Approaches, Results and Plans	Hans Uszkoreit				Invited Talk 2
Challenges of Patent MT -- Term and Structure Translation	Jun'ichi Tsujii				Introductory talk
MT for Patent Search at KIPO	YooChan Choi				Invited Talk
COPPA, CLIR and TAPTA: three tools to assist in overcoming the Patent language barrier at WIPO	Mr. Bruno Pouliquen	http://www.mt-archive.info/10/MTS-2011-Pouliquen.pdf			
Methods for Smoothing the Optimizer Instability in SMT	Mauro Cettolo and Nicola Bertoldi and Marcello Federico	http://www.mt-archive.info/10/MTS-2011-Cettolo.pdf			
Training Machine Translation with a Second-Order Taylor Approximation of Weighted Translation Instances	Aaron Phillips and Ralf Brown	http://www.mt-archive.info/10/MTS-2011-Phillips.pdf			
Maximum Rank Correlation Training for Statistical Machine Translation	Daqi Zheng and Yifan He and Yang Liu and Qun Liu	http://www.mt-archive.info/10/MTS-2011-Zheng-1.pdf			
POS Tagging of English Particles for Machine Translation	Jianjun Ma and Degen Huang and Haixia Liu and Wenfeng Sheng	http://www.mt-archive.info/10/MTS-2011-Ma-1.pdf			
Multi-stage Chinese Dependency Parsing Based on Dependency Direction	Wenjing Lang and Qiaoli Zhou and Guiping Zhang and Dongfeng Cai	http://www.mt-archive.info/10/MTS-2011-Lang.pdf			
Statistic Machine Translation Boosted with Spurious Word Deletion	Shujie Liu and Chi-Ho Li and Ming Zhou	http://www.mt-archive.info/10/MTS-2011-Liu-1.pdf			
